eve_id,id,max_off,mean_prob,dzmax,dzmin,max,lon,lat,Location,LocationCount,max_absdz,event_type,importance,uniform_wt,gridcount,grid_id
E01964N3926E02184N3685-BS-M707_E02022N3782_D010_S157D50R090_A001194_S013,BS_manning003/E01964N3926E02184N3685-BS-M707_E02022N3782_D010_S157D50R090_A001194_S013,0.1,2.54995387465739e-07,0.001,0.001,0.792,20.221,37.8271,37822022,34.0,0.001,1.0,2.5499538746573902e-08,1.8674136321195144e-05,85.0,"37.697,20.082"
E01964N3926E02184N3685-BS-M732_E02016N3760_D010_S157D70R090_A002108_S017,BS_manning003/E01964N3926E02184N3685-BS-M732_E02016N3760_D010_S157D70R090_A002108_S017,0.2,1.4887807324158991e-08,0.001,0.001,1.41,20.1689,37.6022,37602016,22.0,0.001,1.0,2.9775614648317986e-09,1.8674136321195144e-05,142.0,"37.367,20.082"
E01964N3926E02184N3685-BS-M754_E02073N3760_D010_S157D90R270_A003524_S022,BS_manning003/E01964N3926E02184N3685-BS-M754_E02073N3760_D010_S157D90R270_A003524_S022,0.3,6.618398570540548e-09,0.001,0.001,1.399,20.7364,37.6022,37602073,16.0,0.001,1.0,1.9855195711621643e-09,1.8674136321195144e-05,222.0,"37.367,20.412"
E02020N3739E02658N3366-BS-M707_E02160N3535_D010_S022D50R270_A001194_S013,BS_manning003/E02020N3739E02658N3366-BS-M707_E02160N3535_D010_S022D50R270_A001194_S013,0.18,1.9132315184833948e-08,0.001,0.001,0.88,21.6075,35.3539,35352160,2.0,0.001,1.0,3.4438167332701104e-09,1.8674136321195144e-05,260.0,"35.057,21.402"
E01964N3926E02184N3685-BS-M707_E02040N3737_D010_S157D70R090_A001194_S013,BS_manning003/E01964N3926E02184N3685-BS-M707_E02040N3737_D010_S157D70R090_A001194_S013,0.08,1.4896773415838053e-07,0.001,0.001,0.603,20.4002,37.3774,37372040,20.0,0.001,1.0,1.1917418732670443e-08,1.8674136321195144e-05,142.0,"37.367,20.082"
E02020N3739E02658N3366-BS-M754_E02221N3557_D010_S022D50R090_A003524_S022,BS_manning003/E02020N3739E02658N3366-BS-M754_E02221N3557_D010_S022D50R090_A003524_S022,0.74,8.448302956827365e-10,0.001,0.001,2.602,22.2124,35.5788,35572221,3.0,0.001,1.0,6.25174418805225e-10,1.8674136321195144e-05,406.0,"35.387,22.062"
E02020N3739E02658N3366-BS-M732_E02226N3580_D010_S022D50R270_A002108_S017,BS_manning003/E02020N3739E02658N3366-BS-M732_E02226N3580_D010_S022D50R270_A002108_S017,0.26,5.373354555604584e-09,0.001,0.001,1.086,22.2667,35.8036,35802226,5.0,0.001,1.0,1.3970721844571918e-09,1.8674136321195144e-05,373.0,"35.717,22.062"
E01964N3926E02184N3685-BS-M732_E02045N3760_D010_S337D70R090_A002108_S017,BS_manning003/E01964N3926E02184N3685-BS-M732_E02045N3760_D010_S337D70R090_A002108_S017,0.28,3.038146947922229e-09,0.001,0.001,1.469,20.4527,37.6022,37602045,34.0,0.001,1.0,8.506811454182242e-10,1.8674136321195144e-05,222.0,"37.367,20.412"
E01964N3926E02184N3685-BS-M754_E02016N3760_D010_S337D50R090_A003524_S022,BS_manning003/E01964N3926E02184N3685-BS-M754_E02016N3760_D010_S337D50R090_A003524_S022,0.51,3.101779397017977e-09,-0.001,-0.001,2.171,20.1689,37.6022,37602016,22.0,0.001,1.0,1.5819074924791682e-09,1.8674136321195144e-05,142.0,"37.367,20.082"
E02020N3739E02658N3366-BS-M707_E02148N3602_D010_S202D50R270_A001194_S013,BS_manning003/E02020N3739E02658N3366-BS-M707_E02148N3602_D010_S202D50R270_A001194_S013,0.22,1.8651899616852033e-08,0.001,0.001,1.044,21.4875,36.0284,36022148,8.0,0.001,1.0,4.103417915707447e-09,1.8674136321195144e-05,416.0,"35.717,21.402"
