id	count	max	logsum	mean	sd
E01964N3926E02184N3685-PS-Str_PNo_Var-M792_E02117N3755_S000	2625	0.59	6.28	0.2	0.12
E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02434N3452_S001	175109	7.82	12.19	1.13	0.97
E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02206N3569_S004	28006	3.89	10.19	0.95	0.8
E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02304N3498_S001	134781	10.09	11.79	0.98	0.97
E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02393N3468_S002	185510	8.25	12.29	1.17	0.99
E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02236N3526_S004	29215	3.59	10.19	0.91	0.78
E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02184N3638_S004	59105	4.5	10.92	0.94	0.9
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02194N3513_S001	32508	3.82	10.32	0.93	0.83
E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02287N3501_S003	61352	5.95	10.97	0.95	0.93
E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01755N3814_S004	278522	6.86	12.87	1.39	1.05
E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02270N3527_S002	73545	6.9	11.11	0.91	0.96
E01548N3896E01854N3659-PS-Mur_PYes_Var-M837_E01660N3790_S000	27162	3.6	10.13	0.92	0.78
E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01804N3797_S001	180333	6.31	12.14	1.04	0.94
E01849N3766E02950N3220-PS-Str_PYes_Var-M871_E02095N3592_S001	70460	7.29	11.12	0.96	0.99
E02113N3823E02873N3483-PS-Str_PNo_Var-M850_E02367N3571_S000	6118	1.27	7.92	0.45	0.28
E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02183N3593_S001	21859	3.26	9.92	0.93	0.76
E02020N3739E02658N3366-PS-Str_PYes_Var-M888_E02133N3599_S002	95308	6.0	11.44	0.98	0.93
E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02226N3538_S004	226464	9.22	12.59	1.3	1.06
E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01686N3772_S005	205650	6.79	12.33	1.1	0.99
E02020N3739E02658N3366-PS-Mur_PYes_Var-M850_E02213N3635_S000	6678	1.44	8.12	0.5	0.32
E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01721N3784_S001	251598	7.05	12.67	1.26	0.99
E01548N3896E01854N3659-PS-Str_PYes_Hom-M837_E01663N3752_S000	24202	4.31	10.07	0.97	0.82
E01548N3896E01854N3659-PS-Str_PYes_Var-M837_E01779N3815_S000	61570	4.27	10.96	0.93	0.87
E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02434N3452_S005	193047	8.93	12.34	1.19	1.0
E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01683N3810_S003	221563	6.95	12.46	1.16	1.01
E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02144N3587_S005	30010	4.1	10.31	1.0	0.88
E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02218N3525_S004	30179	5.57	10.28	0.97	0.89
E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01727N3708_S001	132051	5.57	11.75	0.96	0.92
E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02189N3538_S004	153425	7.46	12.09	1.16	0.99
E02113N3823E02873N3483-PS-Str_PNo_Hom-M837_E02318N3569_S000	5509	1.25	7.71	0.4	0.27
E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01723N3765_S002	213298	6.07	12.39	1.13	0.97
E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02102N3607_S004	27738	3.5	10.18	0.95	0.77
E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02223N3573_S001	54562	6.23	10.89	0.98	0.92
E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01766N3824_S005	236439	6.48	12.57	1.22	1.0
E01548N3896E01854N3659-PS-Str_PYes_Var-M837_E01693N3677_S000	72358	4.91	11.1	0.92	0.92
E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02368N3461_S005	41627	6.32	10.55	0.92	0.9
E02020N3739E02658N3366-PS-Mur_PYes_Var-M888_E02217N3548_S004	89166	5.72	11.34	0.95	0.87
E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02206N3569_S003	54702	5.91	10.89	0.98	0.92
E02020N3739E02658N3366-PS-Str_PYes_Hom-M824_E02253N3579_S000	6122	1.3	7.97	0.47	0.28
E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02253N3527_S001	113735	6.2	11.6	0.96	0.91
E02113N3823E02873N3483-PS-Mur_PNo_Var-M871_E02358N3562_S004	6761	1.71	8.34	0.62	0.39
E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02359N3451_S001	212456	11.61	12.5	1.26	1.05
E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01677N3724_S002	201051	6.34	12.25	1.04	0.97
E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01760N3738_S001	261180	7.02	12.72	1.28	1.03
E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02175N3577_S001	55889	6.15	10.91	0.98	0.92
E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02122N3652_S004	79427	5.99	11.17	0.89	0.93
