id	count	max	logsum	mean	sd	dzmin	dzmax
PS_manning003/E01964N3926E02184N3685-PS-Str_PYes_Hom-M792_E02033N3761_S000	3842	0.769	7.085	0.31	0.181	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M850_E02272N3440_S000	7261	1.691	8.374	0.597	0.379	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02515N3431_S001	24298	3.832	9.986	0.894	0.77	0.004	0.004
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02090N3619_S005	23711	3.224	9.965	0.897	0.697	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M774_E02076N3673_S000	4548	0.988	7.266	0.314	0.214	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02233N3624_S002	21009	3.064	9.823	0.879	0.682	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M754_E02309N3460_S000	2245	0.497	6.069	0.192	0.115	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02220N3597_S003	31058	4.373	10.292	0.95	0.835	0.004	0.004
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02156N3574_S004	20922	3.79	9.862	0.917	0.723	0.002	0.004
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02229N3514_S005	38837	4.491	10.551	0.984	0.898	0.005	0.005
PS_manning003/E01517N3917E01678N3772-PS-Str_PNo_Hom-M732_E01587N3805_S000	4544	1.07	7.304	0.327	0.227	-0.001	0.001
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M707_E01778N3834_S000	1671	0.363	5.45	0.139	0.076	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02076N3673_S002	29452	4.446	10.167	0.884	0.806	0.002	0.004
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02220N3597_S005	17336	2.578	9.524	0.789	0.627	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M850_E02344N3478_S000	5997	1.117	7.895	0.447	0.278	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M837_E02121N3611_S000	8155	1.946	8.572	0.647	0.415	0.001	0.001
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M774_E01755N3814_S000	5909	1.222	7.811	0.417	0.26	0.001	0.001
PS_manning003/E02113N3823E02873N3483-PS-Str_PNo_Hom-M774_E02148N3750_S000	1611	0.423	5.363	0.132	0.076	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02134N3641_S004	51021	4.607	10.798	0.959	0.878	0.005	0.005
PS_manning003/E01548N3896E01854N3659-PS-Str_PNo_Hom-M754_E01634N3808_S000	4564	0.996	7.298	0.324	0.219	0.004	0.005
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M850_E02183N3593_S000	11125	1.814	8.93	0.679	0.452	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M895_E02277N3489_S002	126222	8.248	11.8	1.056	0.962	0.01	0.01
PS_manning003/E02113N3823E02873N3483-PS-Str_PNo_Var-M871_E02293N3602_S002	14974	2.15	9.345	0.764	0.537	0.002	0.004
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02359N3451_S003	46132	5.734	10.631	0.897	0.883	0.008	0.008
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M809_E02140N3614_S000	5813	1.336	7.865	0.448	0.28	0.001	0.001
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Var-M754_E01623N3797_S000	3695	0.883	7.001	0.297	0.187	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M809_E02297N3425_S000	6773	1.472	8.244	0.561	0.35	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02253N3503_S002	29681	4.141	10.25	0.953	0.852	0.005	0.005
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M809_E02227N3634_S000	3096	0.652	6.639	0.247	0.14	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M824_E02210N3510_S000	10763	1.748	8.84	0.642	0.419	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02239N3505_S003	33517	6.081	10.406	0.987	0.942	0.007	0.008
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M754_E01766N3824_S000	5348	1.117	7.64	0.389	0.253	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PNo_Hom-M754_E02175N3668_S000	1590	0.462	5.318	0.128	0.073	0.001	0.001
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M837_E01748N3747_S000	19620	2.654	9.743	0.869	0.631	0.018	0.022
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02232N3550_S005	25293	3.997	10.113	0.975	0.844	0.002	0.002
PS_manning003/E01849N3766E02950N3220-PS-Str_PYes_Var-M861_E02099N3565_S004	28290	4.25	10.208	0.958	0.802	0.002	0.004
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02313N3510_S001	38172	4.503	10.447	0.902	0.851	0.004	0.004
PS_manning003/E01849N3766E02950N3220-PS-Str_PYes_Var-M809_E02022N3645_S000	16216	2.5	9.433	0.771	0.571	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M850_E02122N3652_S000	12214	2.231	9.135	0.759	0.544	0.001	0.002
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02229N3514_S005	38070	4.177	10.517	0.97	0.819	0.004	0.004
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02242N3492_S001	33100	3.751	10.33	0.925	0.814	0.002	0.002
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M754_E01813N3845_S000	9302	1.853	8.646	0.611	0.398	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M888_E02425N3440_S004	22677	3.657	9.939	0.914	0.788	0.002	0.004
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M792_E02230N3611_S000	3784	0.89	6.878	0.256	0.172	0.001	0.001
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M754_E01661N3771_S000	4813	1.001	7.346	0.322	0.209	0.001	0.002
PS_manning003/E02113N3823E02873N3483-PS-Str_PNo_Var-M837_E02287N3633_S000	4300	1.115	7.239	0.324	0.201	0.001	0.001
PS_manning003/E02113N3823E02873N3483-PS-Mur_PNo_Hom-M861_E02350N3576_S001	13012	2.58	9.26	0.808	0.576	0.002	0.004
PS_manning003/E01964N3926E02184N3685-PS-Mur_PYes_Hom-M774_E02066N3753_S000	3633	0.754	6.855	0.261	0.164	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02274N3465_S001	35557	4.489	10.419	0.942	0.827	0.004	0.004
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M871_E02218N3525_S001	19867	4.395	9.804	0.911	0.793	0.004	0.004
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02275N3583_S003	20369	3.28	9.759	0.849	0.68	0.004	0.004
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M809_E02159N3533_S000	7724	1.643	8.425	0.59	0.368	0.001	0.001
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Hom-M824_E01804N3797_S000	26163	3.659	10.083	0.915	0.763	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M861_E02184N3552_S004	14848	2.895	9.406	0.819	0.605	0.002	0.002
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01793N3787_S002	172486	6.099	12.12	1.064	0.961	0.06	0.077
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M824_E01644N3837_S000	22989	3.251	9.944	0.906	0.688	0.008	0.016
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02226N3538_S001	25454	3.563	10.085	0.943	0.819	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M895_E02515N3431_S005	34311	3.998	10.381	0.939	0.803	0.01	0.011
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M809_E01770N3767_S000	18660	2.746	9.645	0.828	0.664	0.004	0.004
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M880_E02218N3525_S004	55775	4.61	10.84	0.915	0.862	0.005	0.007
PS_manning003/E02113N3823E02873N3483-PS-Str_PNo_Hom-M824_E02510N3490_S000	2541	0.534	6.275	0.209	0.12	0.001	0.001
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Hom-M754_E01682N3667_S000	4751	1.032	7.42	0.351	0.233	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M837_E02250N3552_S000	7279	1.578	8.378	0.598	0.364	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02328N3482_S001	23007	3.836	9.998	0.955	0.823	0.008	0.008
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M837_E02155N3547_S000	7838	1.837	8.519	0.639	0.42	0.001	0.001
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01673N3781_S005	101865	5.286	11.614	1.087	0.955	0.062	0.077
PS_manning003/E02113N3823E02873N3483-PS-Str_PYes_Hom-M792_E02187N3749_S000	2412	0.635	6.124	0.189	0.111	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M850_E02144N3668_S000	10069	1.69	8.807	0.664	0.442	0.002	0.002
PS_manning003/E01964N3926E02184N3685-PS-Mur_PYes_Hom-M809_E02053N3710_S000	5929	1.118	7.868	0.44	0.272	0.001	0.001
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M792_E01646N3818_S000	8547	1.635	8.449	0.546	0.382	0.007	0.01
