id	count	max	logsum	mean	sd
E01964N3926E02184N3685-PS-Str_PNo_Var-M792_E02117N3755_S000	853	0.35	4.78	0.14	0.09
E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02434N3452_S001	45913	10.74	11.24	1.65	1.46
E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02206N3569_S004	15508	6.32	9.62	0.97	0.81
E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02304N3498_S001	46192	10.05	11.23	1.62	1.67
E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02393N3468_S002	47187	10.49	11.27	1.66	1.44
E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02236N3526_S004	17986	6.22	9.85	1.06	0.86
E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02184N3638_S004	27639	8.12	10.46	1.26	1.15
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02194N3513_S001	16360	5.99	9.66	0.96	0.78
E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02287N3501_S003	27726	9.58	10.54	1.36	1.28
E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01755N3814_S004	35858	6.27	10.76	1.31	1.05
E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02270N3527_S002	33791	8.65	10.81	1.46	1.48
E01548N3896E01854N3659-PS-Mur_PYes_Var-M837_E01660N3790_S000	14587	4.23	9.36	0.79	0.6
E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01804N3797_S001	38096	7.68	10.85	1.36	1.13
E01849N3766E02950N3220-PS-Str_PYes_Var-M871_E02095N3592_S001	26190	8.08	10.63	1.57	1.44
E02113N3823E02873N3483-PS-Str_PNo_Var-M850_E02367N3571_S000	3339	0.87	6.76	0.26	0.2
E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02183N3593_S001	14050	4.93	9.45	0.9	0.74
E02020N3739E02658N3366-PS-Str_PYes_Var-M888_E02133N3599_S002	26245	7.92	10.53	1.43	1.31
E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02226N3538_S004	47152	9.47	11.25	1.63	1.55
E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01686N3772_S005	35470	7.28	10.68	1.23	1.0
E02020N3739E02658N3366-PS-Mur_PYes_Var-M850_E02213N3635_S000	3875	2.43	7.46	0.45	0.42
E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01721N3784_S001	34529	6.21	10.66	1.23	0.98
E01548N3896E01854N3659-PS-Str_PYes_Hom-M837_E01663N3752_S000	13777	5.09	9.32	0.81	0.69
E01548N3896E01854N3659-PS-Str_PYes_Var-M837_E01779N3815_S000	19331	4.64	9.88	1.01	0.74
E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02434N3452_S005	48337	10.77	11.33	1.73	1.51
E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01683N3810_S003	35174	6.28	10.67	1.22	0.94
