id	count	max	logsum	mean	sd	dzmin	dzmax
PS_manning003/E01964N3926E02184N3685-PS-Str_PYes_Hom-M792_E02033N3761_S000	1347	0.556	5.554	0.191	0.136	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M850_E02272N3440_S000	7768	3.199	8.401	0.573	0.56	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02515N3431_S001	22567	2.341	9.782	0.785	0.628	0.004	0.005
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02090N3619_S005	9855	3.941	8.817	0.684	0.595	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M774_E02076N3673_S000	1191	0.772	5.606	0.228	0.154	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02233N3624_S002	13043	3.979	9.269	0.813	0.556	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M754_E02309N3460_S000	571	0.357	4.237	0.119	0.077	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02220N3597_S003	19920	6.614	10.014	1.122	0.91	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02156N3574_S004	13396	4.808	9.364	0.87	0.714	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02229N3514_S005	17642	5.547	9.866	1.092	0.913	0.005	0.005
PS_manning003/E01517N3917E01678N3772-PS-Str_PNo_Hom-M732_E01587N3805_S000	686	0.47	4.53	0.134	0.087	0.001	0.001
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M707_E01778N3834_S000	510	0.425	4.035	0.109	0.075	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02076N3673_S002	13111	3.554	9.224	0.773	0.523	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02220N3597_S005	11223	3.921	9.004	0.725	0.543	0.002	0.002
