id	count	dmax	logsum	mean	sd	dzmin	dzmax	hmax
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01719N3535_D010_S067D70R090_A006995_S075	108402	11.398	11.652	1.06	1.092	-0.006	-0.006	13.26
BS_4-8_manning003_extreme/E01470N3877E01631N3641-BS-M809_E01559N3737_D010_S067D90R090_A012497_S042	307677	13.806	13.114	1.611	1.128	0.845	1.699	14.165
BS_4-8_manning003_extreme/E00979N4372E01586N3827-BS-M809_E01517N3827_D010_S157D70R090_A006995_S075	172886	8.352	12.276	1.241	1.192	-0.323	-0.067	8.666
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01882N3378_D010_S067D30R090_A006995_S075	77919	9.878	11.26	0.997	1.061	-0.005	-0.005	11.858
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01758N3445_D010_S067D50R090_A006995_S075	90116	9.618	11.454	1.046	1.075	-0.009	-0.008	11.283
BS_4-8_manning003_extreme/E01267N3753E01646N3535-BS-M809_E01547N3670_D010_S022D70R090_A006995_S075	242967	19.867	12.793	1.48	1.4	0.123	0.272	21.132
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M792_E01794N3490_D010_S067D30R090_A004781_S062	25352	4.586	10.087	0.947	0.872	-0.005	-0.004	6.379
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01739N3490_D010_S247D30R090_A006995_S075	81828	6.921	11.307	0.995	1.003	-0.01	-0.01	7.598
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01859N3400_D010_S067D30R090_A006995_S075	75321	8.398	11.207	0.978	1.028	-0.005	-0.005	11.117
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01640N3557_D010_S067D70R270_A006995_S075	82345	10.489	11.329	1.011	1.043	0.007	0.008	13.326
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M792_E01844N3467_D010_S067D70R270_A004781_S062	33334	5.93	10.344	0.932	0.951	0.002	0.002	7.289
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01824N3355_D010_S067D30R090_A006995_S075	55436	8.396	10.848	0.928	1.014	-0.006	-0.005	11.196
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01762N3467_D010_S067D50R090_A006995_S075	108892	9.737	11.694	1.1	1.089	-0.009	-0.008	11.342
BS_4-8_manning003_extreme/E01267N3753E01646N3535-BS-M809_E01589N3580_D010_S067D70R090_A006995_S075	90269	15.051	11.436	1.025	1.187	-0.008	-0.006	16.764
BS_4-8_manning003_extreme/E01548N3896E01854N3659-BS-M732_E01591N3760_D010_S337D30R090_A002108_S017	16928	3.045	9.628	0.897	0.764	-0.009	-0.007	3.777
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01688N3512_D010_S067D30R090_A006995_S075	68280	7.7	11.078	0.948	1.008	-0.015	-0.013	10.135
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01790N3467_D010_S067D30R090_A006995_S075	76640	7.267	11.218	0.972	1.007	-0.008	-0.008	8.514
BS_4-8_manning003_extreme/E01108N3882E01527N3690-BS-M809_E01445N3737_D010_S067D90R270_A012497_S042	273946	8.625	12.809	1.334	1.117	0.937	1.865	9.202
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01851N3355_D010_S067D70R090_A006995_S075	96341	14.954	11.574	1.104	1.207	-0.003	-0.003	16.475
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01786N3445_D010_S067D30R090_A006995_S075	76217	7.636	11.218	0.977	1.015	-0.008	-0.007	8.476
