id	count	dmax	logsum	mean	sd	dzmin	dzmax	hmax
PS_manning003/E01964N3926E02184N3685-PS-Str_PYes_Hom-M792_E02033N3761_S000	1347	0.557	5.558	0.192	0.136	0.001	0.001	0.688
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M850_E02272N3440_S000	7768	3.2	8.403	0.574	0.56	0.001	0.001	3.928
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02515N3431_S001	22617	2.342	9.789	0.788	0.63	0.004	0.005	2.475
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02090N3619_S005	9879	3.941	8.823	0.687	0.597	0.002	0.002	5.38
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M774_E02076N3673_S000	1191	0.773	5.61	0.228	0.154	0.001	0.001	0.894
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02233N3624_S002	13067	3.98	9.274	0.815	0.558	0.002	0.002	4.965
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M754_E02309N3460_S000	571	0.357	4.243	0.12	0.077	0.001	0.001	0.383
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02220N3597_S003	19944	6.615	10.018	1.124	0.912	0.002	0.002	7.491
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02156N3574_S004	13420	4.809	9.369	0.873	0.716	0.002	0.002	5.887
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02229N3514_S005	17707	5.548	9.874	1.096	0.915	0.005	0.005	6.732
PS_manning003/E01517N3917E01678N3772-PS-Str_PNo_Hom-M732_E01587N3805_S000	686	0.471	4.535	0.134	0.087	0.001	0.001	0.517
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M707_E01778N3834_S000	510	0.426	4.042	0.11	0.075	0.001	0.001	0.444
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02076N3673_S002	13135	3.555	9.229	0.776	0.524	0.002	0.002	3.877
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02220N3597_S005	11247	3.921	9.01	0.728	0.545	0.002	0.002	4.457
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M850_E02344N3478_S000	4070	1.705	7.25	0.346	0.293	0.002	0.002	1.891
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M837_E02121N3611_S000	4251	2.082	7.55	0.447	0.414	0.001	0.001	2.332
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M774_E01755N3814_S000	2110	1.515	6.541	0.328	0.28	0.001	0.001	1.613
PS_manning003/E02113N3823E02873N3483-PS-Str_PNo_Hom-M774_E02148N3750_S000	330	0.139	3.14	0.067	0.037	0.001	0.001	0.14
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02134N3641_S004	19869	6.453	10.066	1.184	1.002	0.004	0.004	7.14
PS_manning003/E01548N3896E01854N3659-PS-Str_PNo_Hom-M754_E01634N3808_S000	555	0.324	4.145	0.112	0.067	0.001	0.002	0.331
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M850_E02183N3593_S000	7379	2.899	8.265	0.527	0.477	0.001	0.001	3.206
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M895_E02277N3489_S002	42271	9.229	11.04	1.475	1.394	0.01	0.01	11.305
PS_manning003/E02113N3823E02873N3483-PS-Str_PNo_Var-M871_E02293N3602_S002	9274	1.788	8.687	0.639	0.375	0.002	0.002	1.836
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02359N3451_S003	29526	8.359	10.501	1.231	1.125	0.008	0.008	9.645
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M809_E02140N3614_S000	2608	2.042	6.943	0.397	0.349	0.001	0.001	2.325
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Var-M754_E01623N3797_S000	795	0.363	4.722	0.14	0.087	0.001	0.001	0.417
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M809_E02297N3425_S000	1778	1.269	6.389	0.334	0.254	0.001	0.001	1.405
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02253N3503_S002	18846	6.514	9.964	1.127	0.959	0.005	0.005	7.401
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M809_E02227N3634_S000	1320	0.614	5.483	0.182	0.137	0.001	0.001	0.714
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M824_E02210N3510_S000	6975	2.768	8.198	0.521	0.46	0.001	0.001	3.5
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02239N3505_S003	32338	8.805	10.678	1.342	1.247	0.007	0.008	9.441
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M754_E01766N3824_S000	1751	1.508	6.3	0.31	0.247	0.001	0.001	1.598
PS_manning003/E02020N3739E02658N3366-PS-Str_PNo_Hom-M754_E02175N3668_S000	387	0.193	3.459	0.08	0.044	0.001	0.001	0.215
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M837_E01748N3747_S000	12723	3.576	9.152	0.741	0.615	0.011	0.014	4.121
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02232N3550_S005	17792	7.445	9.992	1.228	1.105	0.002	0.002	8.855
PS_manning003/E01849N3766E02950N3220-PS-Str_PYes_Var-M861_E02099N3565_S004	14875	6.068	9.569	0.962	0.819	0.002	0.002	7.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02313N3510_S001	23320	5.427	9.964	0.911	0.764	0.004	0.004	7.137
PS_manning003/E01849N3766E02950N3220-PS-Str_PYes_Var-M809_E02022N3645_S000	5397	2.724	7.859	0.48	0.499	0.001	0.001	3.459
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M850_E02122N3652_S000	7255	3.348	8.25	0.527	0.493	0.001	0.001	4.024
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02229N3514_S005	20947	7.056	10.124	1.19	0.97	0.004	0.004	7.919
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02242N3492_S001	18888	6.77	9.981	1.144	0.971	0.002	0.002	8.678
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M754_E01813N3845_S000	4624	2.671	7.616	0.439	0.418	0.001	0.001	2.904
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M888_E02425N3440_S004	10971	1.956	8.984	0.727	0.453	0.004	0.004	2.226
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M792_E02230N3611_S000	1039	0.553	5.27	0.186	0.126	0.001	0.001	0.678
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M754_E01661N3771_S000	1234	0.487	5.332	0.167	0.123	0.001	0.001	0.598
PS_manning003/E02113N3823E02873N3483-PS-Str_PNo_Var-M837_E02287N3633_S000	1689	0.605	5.811	0.197	0.153	0.001	0.001	0.687
PS_manning003/E02113N3823E02873N3483-PS-Mur_PNo_Hom-M861_E02350N3576_S001	7160	1.393	8.201	0.509	0.304	0.002	0.002	1.465
PS_manning003/E01964N3926E02184N3685-PS-Mur_PYes_Hom-M774_E02066N3753_S000	1169	0.496	5.186	0.152	0.115	0.001	0.001	0.523
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02274N3465_S001	26019	5.662	10.129	0.963	0.806	0.004	0.004	6.853
