id	count	max	logsum	mean	sd
E01964N3926E02184N3685-PS-Str_PNo_Var-M792_E02117N3755_S000	2625	0.66	6.92	0.38	0.09
E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02434N3452_S001	175109	11.15	13.22	3.15	1.14
E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02206N3569_S004	28006	4.31	11.0	2.14	0.67
E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02304N3498_S001	134781	11.73	12.9	2.96	1.09
E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02393N3468_S002	185510	11.09	13.25	3.08	1.18
E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02236N3526_S004	29215	3.83	11.02	2.1	0.59
E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02184N3638_S004	59105	5.46	11.95	2.63	0.8
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02194N3513_S001	32508	4.49	11.2	2.25	0.73
E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02287N3501_S003	61352	8.54	12.01	2.69	0.81
E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01755N3814_S004	278522	7.66	13.76	3.38	1.36
E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02270N3527_S002	73545	10.76	12.23	2.78	0.96
E01548N3896E01854N3659-PS-Mur_PYes_Var-M837_E01660N3790_S000	27162	3.91	10.94	2.07	0.68
E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01804N3797_S001	180333	7.95	13.15	2.85	1.19
E01849N3766E02950N3220-PS-Str_PYes_Var-M871_E02095N3592_S001	70460	11.1	12.2	2.83	0.97
E02113N3823E02873N3483-PS-Str_PNo_Var-M850_E02367N3571_S000	6118	1.4	8.51	0.81	0.28
E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02183N3593_S001	21859	3.93	10.67	1.97	0.63
E02020N3739E02658N3366-PS-Str_PYes_Var-M888_E02133N3599_S002	95308	7.21	12.52	2.88	0.89
E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02226N3538_S004	226464	11.16	13.55	3.39	1.27
E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01686N3772_S005	205650	8.06	13.3	2.9	1.32
E02020N3739E02658N3366-PS-Mur_PYes_Var-M850_E02213N3635_S000	6678	1.64	8.7	0.9	0.27
E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01721N3784_S001	251598	7.72	13.58	3.14	1.29
