id	count	max	logsum	mean	sd
E01964N3926E02184N3685-PS-Str_PNo_Var-M792_E02117N3755_S000	853	0.37	5.38	0.25	0.09
E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02434N3452_S001	45913	12.23	12.12	4.01	2.17
E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02206N3569_S004	15508	7.09	10.48	2.29	1.03
E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02304N3498_S001	46192	11.06	12.19	4.28	2.52
E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02393N3468_S002	47187	13.14	12.16	4.04	2.04
E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02236N3526_S004	17986	7.08	10.7	2.46	1.05
E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02184N3638_S004	27639	9.27	11.33	3.0	1.52
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02194N3513_S001	16360	7.2	10.51	2.25	0.92
E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02287N3501_S003	27726	11.13	11.42	3.28	1.79
E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01755N3814_S004	35858	7.33	11.6	3.06	1.33
E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02270N3527_S002	33791	10.18	11.74	3.72	2.13
E01548N3896E01854N3659-PS-Mur_PYes_Var-M837_E01660N3790_S000	14587	4.69	10.27	1.98	0.82
E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01804N3797_S001	38096	8.76	11.71	3.21	1.5
E01849N3766E02950N3220-PS-Str_PYes_Var-M871_E02095N3592_S001	26190	9.56	11.53	3.87	2.05
E02113N3823E02873N3483-PS-Str_PNo_Var-M850_E02367N3571_S000	3339	0.92	7.43	0.5	0.24
E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02183N3593_S001	14050	5.78	10.3	2.12	0.95
E02020N3739E02658N3366-PS-Str_PYes_Var-M888_E02133N3599_S002	26245	8.65	11.4	3.39	1.75
E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02226N3538_S004	47152	12.9	12.2	4.2	2.29
