ID	Source_Region	Type	Mag	Long	Lat	SlipModel	Scaling	RuptureModel	Rigidity
E01964N3926E02184N3685-PS-Str_PNo_Var-M792_E02117N3755_S000	E01964N3926E02184N3685	PS	7.92	21.17	37.55	S000	Str	PNo	Var
E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02434N3452_S001	E02020N3739E02658N3366	PS	8.95	24.34	34.52	S001	Str	PYes	Var
E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02206N3569_S004	E02020N3739E02658N3366	PS	8.71	22.06	35.69	S004	Mur	PYes	Var
E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02304N3498_S001	E02020N3739E02658N3366	PS	8.95	23.04	34.98	S001	Str	PYes	Var
E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02393N3468_S002	E02020N3739E02658N3366	PS	9.02	23.93	34.68	S002	Str	PYes	Var
E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02236N3526_S004	E02020N3739E02658N3366	PS	8.71	22.36	35.26	S004	Mur	PYes	Var
E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02184N3638_S004	E02020N3739E02658N3366	PS	8.71	21.84	36.38	S004	Mur	PYes	Var
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02194N3513_S001	E02020N3739E02658N3366	PS	8.8	21.94	35.13	S001	Mur	PYes	Hom
E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02287N3501_S003	E02020N3739E02658N3366	PS	8.71	22.87	35.01	S003	Str	PYes	Var
E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01755N3814_S004	E01548N3896E01854N3659	PS	8.61	17.55	38.14	S004	Str	PYes	Var
E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02270N3527_S002	E02020N3739E02658N3366	PS	8.8	22.7	35.27	S002	Str	PYes	Var
E01548N3896E01854N3659-PS-Mur_PYes_Var-M837_E01660N3790_S000	E01548N3896E01854N3659	PS	8.37	16.6	37.9	S000	Mur	PYes	Var
E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01804N3797_S001	E01548N3896E01854N3659	PS	8.61	18.04	37.97	S001	Str	PYes	Var
E01849N3766E02950N3220-PS-Str_PYes_Var-M871_E02095N3592_S001	E01849N3766E02950N3220	PS	8.71	20.95	35.92	S001	Str	PYes	Var
E02113N3823E02873N3483-PS-Str_PNo_Var-M850_E02367N3571_S000	E02113N3823E02873N3483	PS	8.5	23.67	35.71	S000	Str	PNo	Var
E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02183N3593_S001	E02020N3739E02658N3366	PS	8.61	21.83	35.93	S001	Str	PYes	Hom
E02020N3739E02658N3366-PS-Str_PYes_Var-M888_E02133N3599_S002	E02020N3739E02658N3366	PS	8.88	21.33	35.99	S002	Str	PYes	Var
E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02226N3538_S004	E02020N3739E02658N3366	PS	9.02	22.26	35.38	S004	Str	PYes	Var
E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01686N3772_S005	E01548N3896E01854N3659	PS	8.61	16.86	37.72	S005	Str	PYes	Var
E02020N3739E02658N3366-PS-Mur_PYes_Var-M850_E02213N3635_S000	E02020N3739E02658N3366	PS	8.5	22.13	36.35	S000	Mur	PYes	Var
E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01721N3784_S001	E01548N3896E01854N3659	PS	8.61	17.21	37.84	S001	Str	PYes	Var
E01548N3896E01854N3659-PS-Str_PYes_Hom-M837_E01663N3752_S000	E01548N3896E01854N3659	PS	8.37	16.63	37.52	S000	Str	PYes	Hom
E01548N3896E01854N3659-PS-Str_PYes_Var-M837_E01779N3815_S000	E01548N3896E01854N3659	PS	8.37	17.79	38.15	S000	Str	PYes	Var
