eve_id,id,max_off,mean_prob,dzmax,dzmin,max,lon,lat,Location,LocationCount,max_absdz,event_type,importance,uniform_wt,gridcount,grid_id
E01470N3877E01631N3641-BS-M774_E01559N3737_D010_S247D50R270_A005608_S028,BS_manning003/E01470N3877E01631N3641-BS-M774_E01559N3737_D010_S247D50R270_A005608_S028,1.47,1.9156450488849383e-08,0.779,0.076,6.493,15.5904,37.3774,37371559,705.0,0.779,0.0,2.8159982218608592e-08,1.8674136321195144e-05,713.0,"37.367,15.462"
E01267N3753E01646N3535-BS-M732_E01502N3737_D010_S337D50R090_A001180_S030,BS_manning003/E01267N3753E01646N3535-BS-M732_E01502N3737_D010_S337D50R090_A001180_S030,0.26,3.936469035542861e-08,-0.163,-1.609,0.378,15.0245,37.3774,37371502,919.0,1.609,0.0,1.023481949241144e-08,1.8674136321195144e-05,1174.0,"37.367,14.802"
E01267N3753E01646N3535-BS-M707_E01527N3715_D062_S247D30R090_A000668_S023,BS_manning003/E01267N3753E01646N3535-BS-M707_E01527N3715_D062_S247D30R090_A000668_S023,0.43,4.41352852947014e-08,0.112,0.014,1.641,15.2708,37.1526,37151527,1118.0,0.112,0.0,1.89781726767216e-08,1.8674136321195144e-05,1118.0,"37.037,15.132"
E01470N3877E01631N3641-BS-M754_E01534N3760_D140_S337D10R270_A003524_S022,BS_manning003/E01470N3877E01631N3641-BS-M754_E01534N3760_D140_S337D10R270_A003524_S022,0.73,2.810877137984169e-09,0.59,0.156,4.004,15.3446,37.6022,37601534,569.0,0.59,0.0,2.051940310728443e-09,1.8674136321195144e-05,1884.0,"37.367,15.132"
E01267N3753E01646N3535-BS-M809_E01530N3737_D144_S022D70R270_A006995_S075,BS_manning003/E01267N3753E01646N3535-BS-M809_E01530N3737_D144_S022D70R270_A006995_S075,1.19,7.398657437483535e-10,-0.002,-1.029,8.087,15.3075,37.3774,37371530,1315.0,1.029,0.0,8.804402350605408e-10,1.8674136321195144e-05,1884.0,"37.367,15.132"
E01267N3753E01646N3535-BS-M809_E01530N3737_D144_S337D50R270_A006995_S075,BS_manning003/E01267N3753E01646N3535-BS-M809_E01530N3737_D144_S337D50R270_A006995_S075,1.83,2.707341690694257e-09,2.485,0.002,6.814,15.3075,37.3774,37371530,1315.0,2.485,0.0,4.95443529397049e-09,1.8674136321195144e-05,1884.0,"37.367,15.132"
E01267N3753E01646N3535-BS-M774_E01470N3715_D107_S112D50R090_A003139_S050,BS_manning003/E01267N3753E01646N3535-BS-M774_E01470N3715_D107_S112D50R090_A003139_S050,0.18,1.939928256991348e-08,0.24,0.138,1.044,14.7066,37.1526,37151470,237.0,0.24,0.0,3.491870862584426e-09,1.8674136321195144e-05,237.0,"37.037,14.472"
E01267N3753E01646N3535-BS-M792_E01502N3737_D125_S022D10R090_A004781_S062,BS_manning003/E01267N3753E01646N3535-BS-M792_E01502N3737_D125_S022D10R090_A004781_S062,0.49,4.663759089178152e-09,0.675,-1.307,4.223,15.0245,37.3774,37371502,919.0,1.307,0.0,2.2852419536972943e-09,1.8674136321195144e-05,1174.0,"37.367,14.802"
E01267N3753E01646N3535-BS-M774_E01498N3715_D010_S067D90R270_A003139_S050,BS_manning003/E01267N3753E01646N3535-BS-M774_E01498N3715_D010_S067D90R270_A003139_S050,1.36,5.373907531522017e-09,-0.26,-1.292,5.224,14.9887,37.1526,37151498,656.0,1.292,0.0,7.308514242869944e-09,1.8674136321195144e-05,656.0,"37.037,14.802"
E01267N3753E01646N3535-BS-M754_E01498N3715_D091_S022D30R270_A001972_S039,BS_manning003/E01267N3753E01646N3535-BS-M754_E01498N3715_D091_S022D30R270_A001972_S039,0.62,4.850651611826834e-08,1.516,0.64,3.485,14.9887,37.1526,37151498,656.0,1.516,0.0,3.0074039993326374e-08,1.8674136321195144e-05,656.0,"37.037,14.802"
E01267N3753E01646N3535-BS-M792_E01551N3692_D010_S337D30R270_A004781_S062,BS_manning003/E01267N3753E01646N3535-BS-M792_E01551N3692_D010_S337D30R270_A004781_S062,1.71,2.975332466784969e-09,2.879,-0.246,7.583,15.5157,36.9278,36921551,1188.0,2.879,0.0,5.087818518202297e-09,1.8674136321195144e-05,1188.0,"36.707,15.462"
E01267N3753E01646N3535-BS-M774_E01495N3692_D010_S202D30R090_A003139_S050,BS_manning003/E01267N3753E01646N3535-BS-M774_E01495N3692_D010_S202D30R090_A003139_S050,1.56,1.2459703968065134e-08,0.213,-1.321,3.873,14.9532,36.9278,36921495,334.0,1.321,0.0,1.9437138190181613e-08,1.8674136321195144e-05,334.0,"36.707,14.802"
E01267N3753E01646N3535-BS-M774_E01498N3715_D010_S112D90R090_A003139_S050,BS_manning003/E01267N3753E01646N3535-BS-M774_E01498N3715_D010_S112D90R090_A003139_S050,0.94,2.74266003036812e-09,0.892,0.198,5.592,14.9887,37.1526,37151498,656.0,0.892,0.0,2.578100428546033e-09,1.8674136321195144e-05,656.0,"37.037,14.802"
E01267N3753E01646N3535-BS-M754_E01530N3737_D172_S157D30R090_A001972_S039,BS_manning003/E01267N3753E01646N3535-BS-M754_E01530N3737_D172_S157D30R090_A001972_S039,1.11,1.5573219252727884e-08,0.184,-0.23,3.689,15.3075,37.3774,37371530,1315.0,0.23,0.0,1.7286273370527953e-08,1.8674136321195144e-05,1884.0,"37.367,15.132"
E01267N3753E01646N3535-BS-M732_E01530N3737_D010_S067D30R270_A001180_S030,BS_manning003/E01267N3753E01646N3535-BS-M732_E01530N3737_D010_S067D30R270_A001180_S030,0.8,9.158068796721952e-09,1.417,-0.137,5.892,15.3075,37.3774,37371530,1315.0,1.417,0.0,7.326455037377561e-09,1.8674136321195144e-05,1884.0,"37.367,15.132"
E01267N3753E01646N3535-BS-M792_E01547N3670_D010_S337D50R090_A004781_S062,BS_manning003/E01267N3753E01646N3535-BS-M792_E01547N3670_D010_S337D50R090_A004781_S062,0.83,8.762714324752024e-09,0.257,-1.07,2.742,15.479,36.7029,36701547,617.0,1.07,0.0,7.273052889544179e-09,1.8674136321195144e-05,1599.0,"36.377,15.462"
E01108N3882E01527N3690-BS-M774_E01506N3760_D010_S067D30R090_A005608_S028,BS_manning003/E01108N3882E01527N3690-BS-M774_E01506N3760_D010_S067D30R090_A005608_S028,0.72,1.761594580341729e-08,0.211,-0.579,3.03,15.0608,37.6022,37601506,255.0,0.579,0.0,1.2683480978460451e-08,1.8674136321195144e-05,1174.0,"37.367,14.802"
E01470N3877E01631N3641-BS-M754_E01559N3737_D140_S067D50R090_A003524_S022,BS_manning003/E01470N3877E01631N3641-BS-M754_E01559N3737_D140_S067D50R090_A003524_S022,0.64,2.4389730066704445e-08,0.062,-0.571,3.193,15.5904,37.3774,37371559,705.0,0.571,0.0,1.5609427242690846e-08,1.8674136321195144e-05,713.0,"37.367,15.462"
E01267N3753E01646N3535-BS-M754_E01523N3692_D010_S022D50R090_A001972_S039,BS_manning003/E01267N3753E01646N3535-BS-M754_E01523N3692_D010_S022D50R090_A001972_S039,1.09,4.3414368423796166e-08,0.108,0.025,2.947,15.2345,36.9278,36921523,927.0,0.108,0.0,4.732166158193783e-08,1.8674136321195144e-05,927.0,"36.707,15.132"
E01267N3753E01646N3535-BS-M774_E01551N3692_D107_S112D70R090_A003139_S050,BS_manning003/E01267N3753E01646N3535-BS-M774_E01551N3692_D107_S112D70R090_A003139_S050,1.08,3.641158297941103e-09,0.425,0.137,3.6,15.5157,36.9278,36921551,1188.0,0.425,0.0,3.9324509617763924e-09,1.8674136321195144e-05,1188.0,"36.707,15.462"
E01470N3877E01631N3641-BS-M754_E01538N3782_D010_S157D30R270_A003524_S022,BS_manning003/E01470N3877E01631N3641-BS-M754_E01538N3782_D010_S157D30R270_A003524_S022,0.62,1.7493390132927556e-08,-0.036,-0.115,4.148,15.3821,37.8271,37821538,393.0,0.115,0.0,1.0845901882415085e-08,1.8674136321195144e-05,393.0,"37.697,15.132"
E01267N3753E01646N3535-BS-M754_E01527N3715_D091_S067D70R090_A001972_S039,BS_manning003/E01267N3753E01646N3535-BS-M754_E01527N3715_D091_S067D70R090_A001972_S039,1.11,7.953621976396039e-09,0.469,0.15,4.673,15.2708,37.1526,37151527,1118.0,0.469,0.0,8.828520393799603e-09,1.8674136321195144e-05,1118.0,"37.037,15.132"
E01267N3753E01646N3535-BS-M774_E01470N3715_D010_S067D10R270_A003139_S050,BS_manning003/E01267N3753E01646N3535-BS-M774_E01470N3715_D010_S067D10R270_A003139_S050,1.56,1.4211527644248595e-09,0.913,0.028,4.917,14.7066,37.1526,37151470,237.0,0.913,0.0,2.2169983125027807e-09,1.8674136321195144e-05,237.0,"37.037,14.472"
E01267N3753E01646N3535-BS-M754_E01498N3715_D010_S202D70R270_A001972_S039,BS_manning003/E01267N3753E01646N3535-BS-M754_E01498N3715_D010_S202D70R270_A001972_S039,1.35,1.9547383031691853e-08,2.337,0.105,9.174,14.9887,37.1526,37151498,656.0,2.337,0.0,2.6388967092784004e-08,1.8674136321195144e-05,656.0,"37.037,14.802"
E01267N3753E01646N3535-BS-M809_E01467N3692_D010_S247D10R090_A006995_S075,BS_manning003/E01267N3753E01646N3535-BS-M809_E01467N3692_D010_S247D10R090_A006995_S075,1.26,1.819088925271117e-09,1.176,0.043,7.096,14.672,36.9278,36921467,100.0,1.176,0.0,2.292052045841608e-09,1.8674136321195144e-05,100.0,"36.707,14.472"
E01267N3753E01646N3535-BS-M809_E01491N3670_D010_S022D50R090_A006995_S075,BS_manning003/E01267N3753E01646N3535-BS-M809_E01491N3670_D010_S022D50R090_A006995_S075,3.84,6.541628988558267e-09,1.304,-4.437,13.139,14.9182,36.7029,36701491,152.0,4.437,0.0,2.5119855316063746e-08,1.8674136321195144e-05,222.0,"36.377,14.802"
E01267N3753E01646N3535-BS-M680_E01530N3737_D092_S292D50R270_A000357_S016,BS_manning003/E01267N3753E01646N3535-BS-M680_E01530N3737_D092_S292D50R270_A000357_S016,0.22,3.840619960899784e-08,0.109,-0.014,1.45,15.3075,37.3774,37371530,1315.0,0.109,0.0,8.449363913979526e-09,1.8674136321195144e-05,1884.0,"37.367,15.132"
E01470N3877E01631N3641-BS-M809_E01555N3715_D010_S112D50R090_A012497_S042,BS_manning003/E01470N3877E01631N3641-BS-M809_E01555N3715_D010_S112D50R090_A012497_S042,2.34,5.612241828850372e-09,0.724,-2.499,5.584,15.5529,37.1526,37151555,772.0,2.499,0.0,1.3132645879509868e-08,1.8674136321195144e-05,772.0,"37.037,15.462"
E01267N3753E01646N3535-BS-M754_E01527N3715_D172_S022D50R090_A001972_S039,BS_manning003/E01267N3753E01646N3535-BS-M754_E01527N3715_D172_S022D50R090_A001972_S039,0.77,3.512060569246467e-08,0.092,-0.182,3.036,15.2708,37.1526,37151527,1118.0,0.182,0.0,2.70428663831978e-08,1.8674136321195144e-05,1118.0,"37.037,15.132"
E01470N3877E01631N3641-BS-M774_E01583N3715_D010_S067D50R270_A005608_S028,BS_manning003/E01470N3877E01631N3641-BS-M774_E01583N3715_D010_S067D50R270_A005608_S028,1.07,1.4344751362054576e-08,-0.033,-0.101,4.759,15.8349,37.1526,37151583,575.0,0.101,0.0,1.5348883957398395e-08,1.8674136321195144e-05,597.0,"37.037,15.792"
E01267N3753E01646N3535-BS-M732_E01527N3715_D010_S022D90R270_A001180_S030,BS_manning003/E01267N3753E01646N3535-BS-M732_E01527N3715_D010_S022D90R270_A001180_S030,0.85,5.754492114713831e-09,-0.037,-0.251,3.504,15.2708,37.1526,37151527,1118.0,0.251,0.0,4.891318297506756e-09,1.8674136321195144e-05,1118.0,"37.037,15.132"
E01267N3753E01646N3535-BS-M792_E01519N3670_D125_S202D70R090_A004781_S062,BS_manning003/E01267N3753E01646N3535-BS-M792_E01519N3670_D125_S202D70R090_A004781_S062,0.75,2.357324950621026e-09,-0.117,-0.48,3.192,15.1986,36.7029,36701519,388.0,0.48,0.0,1.7679937129657692e-09,1.8674136321195144e-05,840.0,"36.377,15.132"
E01267N3753E01646N3535-BS-M754_E01498N3715_D091_S247D50R270_A001972_S039,BS_manning003/E01267N3753E01646N3535-BS-M754_E01498N3715_D091_S247D50R270_A001972_S039,0.97,6.717074249419146e-08,0.588,-0.025,3.808,14.9887,37.1526,37151498,656.0,0.588,0.0,6.515562021936572e-08,1.8674136321195144e-05,656.0,"37.037,14.802"
E01267N3753E01646N3535-BS-M732_E01530N3737_D076_S247D30R090_A001180_S030,BS_manning003/E01267N3753E01646N3535-BS-M732_E01530N3737_D076_S247D30R090_A001180_S030,0.79,1.445902952489264e-08,0.195,-0.838,3.39,15.3075,37.3774,37371530,1315.0,0.838,0.0,1.1422633324665189e-08,1.8674136321195144e-05,1884.0,"37.367,15.132"
E01470N3877E01631N3641-BS-M754_E01534N3760_D010_S022D10R090_A003524_S022,BS_manning003/E01470N3877E01631N3641-BS-M754_E01534N3760_D010_S022D10R090_A003524_S022,0.38,1.3223554729834749e-08,-0.018,-0.417,1.908,15.3446,37.6022,37601534,569.0,0.417,0.0,5.024950797337204e-09,1.8674136321195144e-05,1884.0,"37.367,15.132"
E01108N3882E01527N3690-BS-M809_E01442N3715_D010_S247D50R090_A012497_S042,BS_manning003/E01108N3882E01527N3690-BS-M809_E01442N3715_D010_S247D50R090_A012497_S042,2.05,2.5517210299078444e-09,-0.996,-2.097,4.871,14.4245,37.1526,37151442,20.0,2.097,0.0,5.231028111311081e-09,1.8674136321195144e-05,23.0,"37.037,14.142"
E01267N3753E01646N3535-BS-M809_E01502N3737_D010_S022D90R090_A006995_S075,BS_manning003/E01267N3753E01646N3535-BS-M809_E01502N3737_D010_S022D90R090_A006995_S075,2.13,1.303717100736383e-09,3.768,-3.758,2.116,15.0245,37.3774,37371502,919.0,3.768,0.0,2.7769174245684962e-09,1.8674136321195144e-05,1174.0,"37.367,14.802"
E01267N3753E01646N3535-BS-M792_E01530N3737_D010_S112D30R090_A004781_S062,BS_manning003/E01267N3753E01646N3535-BS-M792_E01530N3737_D010_S112D30R090_A004781_S062,2.07,5.441441114925871e-09,0.236,-2.465,6.622,15.3075,37.3774,37371530,1315.0,2.465,0.0,1.1263783107896552e-08,1.8674136321195144e-05,1884.0,"37.367,15.132"
E01267N3753E01646N3535-BS-M792_E01495N3692_D010_S202D50R270_A004781_S062,BS_manning003/E01267N3753E01646N3535-BS-M792_E01495N3692_D010_S202D50R270_A004781_S062,2.4,1.0950209585962197e-08,2.337,0.353,12.957,14.9532,36.9278,36921495,334.0,2.337,0.0,2.6280503006309276e-08,1.8674136321195144e-05,334.0,"36.707,14.802"
E01267N3753E01646N3535-BS-M774_E01498N3715_D010_S022D30R270_A003139_S050,BS_manning003/E01267N3753E01646N3535-BS-M774_E01498N3715_D010_S022D30R270_A003139_S050,1.43,3.149470731840684e-08,2.282,-0.23,5.274,14.9887,37.1526,37151498,656.0,2.282,0.0,4.503743146532178e-08,1.8674136321195144e-05,656.0,"37.037,14.802"
E01470N3877E01631N3641-BS-M809_E01534N3760_D010_S202D30R090_A012497_S042,BS_manning003/E01470N3877E01631N3641-BS-M809_E01534N3760_D010_S202D30R090_A012497_S042,1.68,1.603423838104217e-07,-0.22,-1.113,4.43,15.3446,37.6022,37601534,569.0,1.113,0.0,2.693752048015085e-07,1.8674136321195144e-05,1884.0,"37.367,15.132"
E01470N3877E01631N3641-BS-M754_E01534N3760_D140_S292D70R090_A003524_S022,BS_manning003/E01470N3877E01631N3641-BS-M754_E01534N3760_D140_S292D70R090_A003524_S022,0.69,1.1468072671607754e-08,0.274,0.195,3.488,15.3446,37.6022,37601534,569.0,0.274,0.0,7.912970143409351e-09,1.8674136321195144e-05,1884.0,"37.367,15.132"
E01108N3882E01527N3690-BS-M732_E01506N3760_D010_S292D70R090_A002108_S017,BS_manning003/E01108N3882E01527N3690-BS-M732_E01506N3760_D010_S292D70R090_A002108_S017,0.9,4.2905176685975425e-09,0.494,0.106,3.793,15.0608,37.6022,37601506,255.0,0.494,0.0,3.8614659017377884e-09,1.8674136321195144e-05,1174.0,"37.367,14.802"
E01267N3753E01646N3535-BS-M792_E01523N3692_D125_S112D30R090_A004781_S062,BS_manning003/E01267N3753E01646N3535-BS-M792_E01523N3692_D125_S112D30R090_A004781_S062,1.34,1.1438366166689732e-08,0.025,-0.231,4.788,15.2345,36.9278,36921523,927.0,0.231,0.0,1.5327410663364246e-08,1.8674136321195144e-05,927.0,"36.707,15.132"
E01470N3877E01631N3641-BS-M774_E01534N3760_D010_S112D70R090_A005608_S028,BS_manning003/E01470N3877E01631N3641-BS-M774_E01534N3760_D010_S112D70R090_A005608_S028,1.28,9.329335485157135e-09,-0.196,-0.697,4.834,15.3446,37.6022,37601534,569.0,0.697,0.0,1.1941549421001134e-08,1.8674136321195144e-05,1884.0,"37.367,15.132"
E01267N3753E01646N3535-BS-M809_E01467N3692_D010_S067D70R270_A006995_S075,BS_manning003/E01267N3753E01646N3535-BS-M809_E01467N3692_D010_S067D70R270_A006995_S075,2.11,1.3079481944046998e-09,-0.364,-1.124,10.594,14.672,36.9278,36921467,100.0,1.124,0.0,2.759770690193916e-09,1.8674136321195144e-05,100.0,"36.707,14.472"
E01267N3753E01646N3535-BS-M774_E01527N3715_D107_S157D10R270_A003139_S050,BS_manning003/E01267N3753E01646N3535-BS-M774_E01527N3715_D107_S157D10R270_A003139_S050,0.88,1.432829757135888e-09,0.628,-0.872,4.376,15.2708,37.1526,37151527,1118.0,0.872,0.0,1.2608901862795815e-09,1.8674136321195144e-05,1118.0,"37.037,15.132"
E01267N3753E01646N3535-BS-M792_E01502N3737_D125_S337D50R090_A004781_S062,BS_manning003/E01267N3753E01646N3535-BS-M792_E01502N3737_D125_S337D50R090_A004781_S062,1.42,1.4896547342465705e-08,-1.278,-2.438,1.953,15.0245,37.3774,37371502,919.0,2.438,0.0,2.1153097226301295e-08,1.8674136321195144e-05,1174.0,"37.367,14.802"
E01267N3753E01646N3535-BS-M809_E01530N3737_D010_S247D30R090_A006995_S075,BS_manning003/E01267N3753E01646N3535-BS-M809_E01530N3737_D010_S247D30R090_A006995_S075,2.31,2.0603722111136284e-09,0.564,-2.395,8.953,15.3075,37.3774,37371530,1315.0,2.395,0.0,4.7594598076724815e-09,1.8674136321195144e-05,1884.0,"37.367,15.132"
E01470N3877E01631N3641-BS-M774_E01534N3760_D010_S112D50R090_A005608_S028,BS_manning003/E01470N3877E01631N3641-BS-M774_E01534N3760_D010_S112D50R090_A005608_S028,1.24,3.265964097416409e-08,-0.018,-0.477,4.528,15.3446,37.6022,37601534,569.0,0.477,0.0,4.0497954807963475e-08,1.8674136321195144e-05,1884.0,"37.367,15.132"
E01470N3877E01631N3641-BS-M792_E01538N3782_D010_S067D50R090_A008541_S034,BS_manning003/E01470N3877E01631N3641-BS-M792_E01538N3782_D010_S067D50R090_A008541_S034,0.93,2.0323683090365557e-08,-0.045,-0.59,3.342,15.3821,37.8271,37821538,393.0,0.59,0.0,1.8901025274039967e-08,1.8674136321195144e-05,393.0,"37.697,15.132"
E01470N3877E01631N3641-BS-M732_E01534N3760_D115_S112D70R090_A002108_S017,BS_manning003/E01470N3877E01631N3641-BS-M732_E01534N3760_D115_S112D70R090_A002108_S017,0.44,1.5682296954301292e-08,-0.072,-0.309,2.421,15.3446,37.6022,37601534,569.0,0.309,0.0,6.900210659892569e-09,1.8674136321195144e-05,1884.0,"37.367,15.132"
E01267N3753E01646N3535-BS-M774_E01523N3692_D010_S112D90R270_A003139_S050,BS_manning003/E01267N3753E01646N3535-BS-M774_E01523N3692_D010_S112D90R270_A003139_S050,1.02,4.184638329116806e-09,-0.074,-0.297,3.591,15.2345,36.9278,36921523,927.0,0.297,0.0,4.2683310956991425e-09,1.8674136321195144e-05,927.0,"36.707,15.132"
E01108N3882E01527N3690-BS-M792_E01474N3737_D010_S067D90R090_A008541_S034,BS_manning003/E01108N3882E01527N3690-BS-M792_E01474N3737_D010_S067D90R090_A008541_S034,1.06,5.169969870646458e-10,1.739,-1.739,4.889,14.7416,37.3774,37371474,120.0,1.739,0.0,5.480168062885244e-10,1.8674136321195144e-05,274.0,"37.367,14.472"
E01267N3753E01646N3535-BS-M754_E01530N3737_D010_S112D30R090_A001972_S039,BS_manning003/E01267N3753E01646N3535-BS-M754_E01530N3737_D010_S112D30R090_A001972_S039,1.31,1.5411818878180517e-08,0.311,-1.704,4.241,15.3075,37.3774,37371530,1315.0,1.704,0.0,2.018948273041648e-08,1.8674136321195144e-05,1884.0,"37.367,15.132"
E01267N3753E01646N3535-BS-M754_E01502N3737_D091_S157D90R270_A001972_S039,BS_manning003/E01267N3753E01646N3535-BS-M754_E01502N3737_D091_S157D90R270_A001972_S039,0.91,5.145114703715664e-09,0.547,-0.927,2.283,15.0245,37.3774,37371502,919.0,0.927,0.0,4.6820543803812555e-09,1.8674136321195144e-05,1174.0,"37.367,14.802"
E01267N3753E01646N3535-BS-M732_E01498N3715_D208_S247D50R090_A001180_S030,BS_manning003/E01267N3753E01646N3535-BS-M732_E01498N3715_D208_S247D50R090_A001180_S030,0.3,7.338172071744726e-08,-0.022,-0.358,0.963,14.9887,37.1526,37151498,656.0,0.358,0.0,2.2014516215234182e-08,1.8674136321195144e-05,656.0,"37.037,14.802"
E01267N3753E01646N3535-BS-M792_E01523N3692_D010_S112D50R270_A004781_S062,BS_manning003/E01267N3753E01646N3535-BS-M792_E01523N3692_D010_S112D50R270_A004781_S062,1.26,1.3409416918159422e-08,-0.066,-0.291,5.249,15.2345,36.9278,36921523,927.0,0.291,0.0,1.6895865316880873e-08,1.8674136321195144e-05,927.0,"36.707,15.132"
E01470N3877E01631N3641-BS-M732_E01538N3782_D010_S202D70R090_A002108_S017,BS_manning003/E01470N3877E01631N3641-BS-M732_E01538N3782_D010_S202D70R090_A002108_S017,0.33,1.582367109278624e-08,0.01,-0.123,1.866,15.3821,37.8271,37821538,393.0,0.123,0.0,5.2218114606194595e-09,1.8674136321195144e-05,393.0,"37.697,15.132"
E01267N3753E01646N3535-BS-M809_E01523N3692_D010_S112D90R270_A006995_S075,BS_manning003/E01267N3753E01646N3535-BS-M809_E01523N3692_D010_S112D90R270_A006995_S075,1.66,1.7132959289313872e-09,-0.298,-0.884,6.255,15.2345,36.9278,36921523,927.0,0.884,0.0,2.844071242026103e-09,1.8674136321195144e-05,927.0,"36.707,15.132"
E01267N3753E01646N3535-BS-M774_E01502N3737_D107_S292D50R270_A003139_S050,BS_manning003/E01267N3753E01646N3535-BS-M774_E01502N3737_D107_S292D50R270_A003139_S050,0.97,2.494750344566018e-08,1.972,0.61,4.92,15.0245,37.3774,37371502,919.0,1.972,0.0,2.4199078342290374e-08,1.8674136321195144e-05,1174.0,"37.367,14.802"
E01470N3877E01631N3641-BS-M774_E01559N3737_D010_S292D70R270_A005608_S028,BS_manning003/E01470N3877E01631N3641-BS-M774_E01559N3737_D010_S292D70R270_A005608_S028,0.99,4.856047517967888e-09,1.704,-0.942,7.967,15.5904,37.3774,37371559,705.0,1.704,0.0,4.8074870427882095e-09,1.8674136321195144e-05,713.0,"37.367,15.462"
E01267N3753E01646N3535-BS-M792_E01544N3647_D010_S157D30R090_A004781_S062,BS_manning003/E01267N3753E01646N3535-BS-M792_E01544N3647_D010_S157D30R090_A004781_S062,0.51,3.425300394413333e-09,0.132,0.082,3.471,15.4427,36.4781,36471544,310.0,0.132,0.0,1.7469032011507995e-09,1.8674136321195144e-05,840.0,"36.377,15.132"
E01267N3753E01646N3535-BS-M774_E01502N3737_D107_S337D50R270_A003139_S050,BS_manning003/E01267N3753E01646N3535-BS-M774_E01502N3737_D107_S337D50R270_A003139_S050,0.68,2.402696697430541e-08,1.969,0.89,3.606,15.0245,37.3774,37371502,919.0,1.969,0.0,1.6338337542527682e-08,1.8674136321195144e-05,1174.0,"37.367,14.802"
E01267N3753E01646N3535-BS-M754_E01523N3692_D172_S067D50R270_A001972_S039,BS_manning003/E01267N3753E01646N3535-BS-M754_E01523N3692_D172_S067D50R270_A001972_S039,0.59,3.755947723542496e-08,-0.051,-0.103,1.985,15.2345,36.9278,36921523,927.0,0.103,0.0,2.216009156890073e-08,1.8674136321195144e-05,927.0,"36.707,15.132"
