idx,eve_id,MIH,P05,P16,P50,P84,P95,Pmean
0,E01267N3753E01646N3535-BS-M754_E01498N3715_D010_S067D50R090_A001972_S039,1.65,4.1524886352522186e-07,7.623234496517648e-07,1.7573392299190485e-06,5.3113740327127675e-06,1.0775256095345193e-05,3.0186332371178574e-06
4,E01267N3753E01646N3535-BS-M754_E01502N3737_D091_S247D30R090_A001972_S039,1.2,5.645881197578327e-07,1.07478523249563e-06,2.4171596423065796e-06,7.395397758827585e-06,1.4147679735655424e-05,4.150620701037057e-06
5,E01267N3753E01646N3535-BS-M754_E01527N3715_D010_S067D50R090_A001972_S039,1.36,4.946841657502419e-07,9.61306382757599e-07,2.1633700308780443e-06,6.5385076121932805e-06,1.2786575774016038e-05,3.6623123832679853e-06
6,E01267N3753E01646N3535-BS-M754_E01502N3737_D172_S247D30R090_A001972_S039,0.95,7.131639407467362e-07,1.3576234515734277e-06,3.053254285018839e-06,9.341555063782217e-06,1.7870753350301595e-05,5.242889306573121e-06
8,E01267N3753E01646N3535-BS-M754_E01527N3715_D091_S067D50R090_A001972_S039,1.08,6.229356161299343e-07,1.210533963472532e-06,2.7242437425871672e-06,8.233676252391539e-06,1.6101613937649827e-05,4.611800778930064e-06
10,E01267N3753E01646N3535-BS-M774_E01498N3715_D010_S067D50R090_A003139_S050,2.07,6.075085224455562e-08,1.9935847679704626e-07,5.357063912822904e-07,2.0175561928400334e-06,4.106335460693861e-06,1.081331788396147e-06
11,E01267N3753E01646N3535-BS-M774_E01502N3737_D010_S247D30R090_A003139_S050,1.69,7.4691305386626e-08,2.443451840796181e-07,6.638045266229972e-07,2.483962943950468e-06,4.856490511220834e-06,1.324471480461548e-06
12,E01267N3753E01646N3535-BS-M774_E01527N3715_D107_S067D50R090_A003139_S050,1.38,9.206666576449944e-08,3.076259636902036e-07,8.139916465875307e-07,2.989398582350081e-06,5.6941413056558445e-06,1.621997682594215e-06
13,E01267N3753E01646N3535-BS-M732_E01527N3715_D076_S067D50R090_A001180_S030,0.75,1.683989402348473e-06,2.8762697164454154e-06,5.985397298398093e-06,1.5054803066394873e-05,2.8571992071576925e-05,9.060233691830518e-06
14,E01267N3753E01646N3535-BS-M774_E01527N3715_D010_S067D50R090_A003139_S050,1.84,6.904999932337457e-08,2.3071947276765268e-07,6.104937349406479e-07,2.242048936762561e-06,4.270605979241883e-06,1.2164982619456615e-06
15,E01267N3753E01646N3535-BS-M732_E01502N3737_D010_S247D30R090_A001180_S030,1.06,1.2142806427647124e-06,2.0229877023363348e-06,4.266349032122264e-06,1.0983817858091277e-05,1.9341612251496134e-05,6.410542706483835e-06
16,E01267N3753E01646N3535-BS-M754_E01527N3715_D172_S067D50R090_A001972_S039,0.68,9.89368331500484e-07,1.922612765515198e-06,4.3267400617560895e-06,1.3077015224386561e-05,2.5573151548032076e-05,7.324624766535971e-06
18,E01267N3753E01646N3535-BS-M707_E01502N3737_D062_S247D30R090_A000668_S023,0.66,2.0935003915033724e-06,3.516175736721674e-06,6.806954093029197e-06,1.4843263486763781e-05,2.6188106594716764e-05,9.276486898705001e-06
19,E01267N3753E01646N3535-BS-M707_E01502N3737_D010_S247D30R090_A000668_S023,0.82,1.6850125102344217e-06,2.830092666141835e-06,5.478767928535695e-06,1.1947016952761094e-05,2.1078232137211055e-05,7.466440674567449e-06
20,E01267N3753E01646N3535-BS-M792_E01498N3715_D010_S067D50R090_A004781_S062,2.41,0.0,0.0,9.898326940368594e-08,1.1598078527170962e-06,3.4857132643905226e-06,7.208079696626745e-07
21,E01267N3753E01646N3535-BS-M792_E01498N3715_D125_S067D50R090_A004781_S062,1.38,0.0,0.0,1.728620864223791e-07,2.0254615398900015e-06,6.087368816797943e-06,1.2588023238311934e-06
22,E01267N3753E01646N3535-BS-M792_E01502N3737_D125_S247D30R090_A004781_S062,1.89,0.0,0.0,1.277836694856659e-07,1.4869735104972e-06,4.402283710060151e-06,9.191255062894415e-07
23,E01267N3753E01646N3535-BS-M792_E01502N3737_D010_S247D30R090_A004781_S062,2.06,0.0,0.0,1.1723841520772259e-07,1.3642621042911203e-06,4.038988452433827e-06,8.432753431490517e-07
24,E01267N3753E01646N3535-BS-M792_E01527N3715_D125_S067D50R090_A004781_S062,1.67,0.0,0.0,1.4516215117206937e-07,1.703185533009803e-06,4.985336711663876e-06,1.0402079083155946e-06
27,E01267N3753E01646N3535-BS-M809_E01498N3715_D010_S067D50R090_A006995_S075,2.86,0.0,0.0,2.671483524245673e-09,2.462243158261015e-07,9.036032049419385e-07,1.7367790699840825e-07
28,E01267N3753E01646N3535-BS-M707_E01502N3737_D115_S247D30R090_A000668_S023,0.5,2.763420516784451e-06,4.64135197247261e-06,8.98517940279854e-06,1.959310780252819e-05,3.456830070502614e-05,1.2244962706290623e-05
29,E01267N3753E01646N3535-BS-M774_E01498N3715_D107_S067D50R090_A003139_S050,1.09,1.1537088453782574e-07,3.7859820822925283e-07,1.0173506696828812e-06,3.831505797411805e-06,7.798270095079165e-06,2.053538350440386e-06
32,E01267N3753E01646N3535-BS-M707_E01527N3715_D062_S067D50R090_A000668_S023,0.41,3.2445430337111423e-06,5.664995075061488e-06,1.1066093714294966e-05,2.4349393382505827e-05,4.286608860257353e-05,1.493288134913489e-05
34,E01267N3753E01646N3535-BS-M809_E01527N3715_D010_S067D50R090_A006995_S075,2.76,0.0,0.0,2.811264039457681e-09,2.692785821285277e-07,9.54028379390648e-07,1.7997058478820544e-07
42,E01267N3753E01646N3535-BS-M809_E01502N3737_D144_S247D30R090_A006995_S075,2.29,0.0,0.0,3.328178182768533e-09,3.148291304192975e-07,1.1670106089843424e-06,2.1690777904604674e-07
44,E01267N3753E01646N3535-BS-M809_E01502N3737_D010_S247D30R090_A006995_S075,2.47,0.0,0.0,3.085638881999975e-09,2.9188611686647415e-07,1.0819653014470218e-06,2.0110073441920908e-07
45,E01267N3753E01646N3535-BS-M680_E01527N3715_D010_S067D50R090_A000357_S016,0.14,1.950073356412228e-06,3.221274060750099e-06,6.117623271134737e-06,1.1446200648091056e-05,1.8695439411939763e-05,7.4566315712549e-06
48,E01108N3882E01527N3690-BS-M774_E01477N3760_D010_S247D30R090_A005608_S028,0.7,0.0,0.0,1.0651740146789231e-06,8.067859908829695e-06,1.08674729599601e-05,3.1976525742571664e-06
56,E01267N3753E01646N3535-BS-M680_E01502N3737_D051_S247D30R090_A000357_S016,0.41,6.69912365735293e-07,1.0828388501478908e-06,2.0691388536913327e-06,3.865757907671126e-06,6.2589982331519225e-06,2.546166877989472e-06
62,E01470N3877E01631N3641-BS-M732_E01534N3760_D010_S202D30R090_A002108_S017,0.64,2.026695810600614e-06,3.4338985121820134e-06,7.607494022342159e-06,1.722370143110693e-05,3.051918461416029e-05,1.0617461357613874e-05
69,E01267N3753E01646N3535-BS-M792_E01502N3737_D010_S067D50R090_A004781_S062,2.53,0.0,0.0,8.897927610674551e-08,1.1235792995064786e-06,3.1991105898001765e-06,6.866194493624687e-07
70,E01267N3753E01646N3535-BS-M707_E01502N3737_D220_S247D30R090_A000668_S023,0.28,4.9346794942579485e-06,8.288128522272517e-06,1.6044963219283107e-05,3.4987692504514625e-05,6.172910840183237e-05,2.1866004832661544e-05
71,E01470N3877E01631N3641-BS-M809_E01534N3760_D010_S202D30R090_A012497_S042,1.75,0.0,0.0,2.479292095771656e-11,4.46330251750113e-07,1.5201331195176685e-06,2.838393222945407e-07
73,E01267N3753E01646N3535-BS-M680_E01502N3737_D010_S247D30R090_A000357_S016,0.59,4.655323219516443e-07,7.524812348485343e-07,1.4378761525651634e-06,2.6863741392290882e-06,4.349473348461505e-06,1.7693702033486167e-06
75,E01267N3753E01646N3535-BS-M707_E01527N3715_D115_S067D50R090_A000668_S023,0.27,4.926898680820625e-06,8.602399928797075e-06,1.6804068232818284e-05,3.697500476602737e-05,6.509294935946351e-05,2.2675856863500783e-05
76,E01267N3753E01646N3535-BS-M680_E01502N3737_D092_S247D30R090_A000357_S016,0.3,9.155468998382336e-07,1.4798797618687843e-06,2.8278231000448214e-06,5.283202473817206e-06,8.553964251974293e-06,3.4797613999189464e-06
89,E01267N3753E01646N3535-BS-M754_E01498N3715_D091_S022D50R090_A001972_S039,1.14,3.8853689795248313e-07,7.757233922550588e-07,2.2371620703961118e-06,7.368393875039087e-06,1.529877645083779e-05,4.3690744221442726e-06
108,E01267N3753E01646N3535-BS-M774_E01498N3715_D010_S202D50R090_A003139_S050,2.6,2.992874350577603e-08,1.0541409086490537e-07,3.7199330857393414e-07,1.3425237639982272e-06,3.4354996954230165e-06,8.609064623000053e-07
111,E01267N3753E01646N3535-BS-M680_E01502N3737_D133_S247D30R090_A000357_S016,0.22,1.248473045233955e-06,2.0180178570937965e-06,3.8561224091520285e-06,7.2043670097507355e-06,1.1664496707237676e-05,4.745129181707655e-06
218,E01470N3877E01631N3641-BS-M774_E01534N3760_D010_S157D50R090_A005608_S028,1.67,7.259817739064022e-09,1.3632446588893764e-07,6.35738053932636e-07,2.2154296069628436e-06,4.900627169728072e-06,1.3403334143592915e-06
282,E01470N3877E01631N3641-BS-M754_E01555N3715_D010_S202D50R270_A003524_S022,1.19,2.7716257298172933e-07,7.852056214039973e-07,2.2369588398539195e-06,6.594497496474181e-06,1.5337524180671605e-05,4.185499866591991e-06
464,E01380N4178E01687N3892-BS-M809_E01648N3917_D010_S157D50R270_A012497_S042,0.32,0.0,0.0,6.434580548916302e-12,5.530593412658041e-06,1.1955482654110695e-05,2.4324104473865656e-06
532,E01470N3877E01631N3641-BS-M774_E01559N3737_D010_S292D50R090_A005608_S028,1.61,8.742304289743817e-09,1.3604163522204108e-07,6.493908935997531e-07,2.4728202090633943e-06,5.013324625886073e-06,1.3902837279378986e-06
613,E01470N3877E01631N3641-BS-M774_E01555N3715_D010_S022D30R090_A005608_S028,1.3,7.302462476823057e-09,1.3547298229701112e-07,7.784745372401166e-07,2.8360921649739225e-06,6.0024496813542915e-06,1.7218129246000136e-06
646,E01267N3753E01646N3535-BS-M774_E01502N3737_D010_S112D30R090_A003139_S050,2.14,3.030898953749927e-08,1.2880467082869563e-07,4.741149902029943e-07,1.6002719337630832e-06,3.993688532726565e-06,1.0459611224205699e-06
728,E01108N3882E01527N3690-BS-M754_E01506N3760_D010_S247D50R090_A003524_S022,0.76,0.0,0.0,3.577366012811428e-06,1.4894806106975489e-05,2.2038422190108487e-05,6.5536116332164055e-06
813,E01470N3877E01631N3641-BS-M707_E01538N3782_D094_S022D30R270_A001194_S013,0.16,8.617782516915598e-06,1.4172157246389349e-05,2.9076953123525513e-05,5.9843080909491403e-05,0.00010116860569919499,3.826550845715605e-05
964,E01470N3877E01631N3641-BS-M754_E01534N3760_D140_S022D50R090_A003524_S022,0.8,4.577397470685519e-07,1.0864687961452327e-06,3.4991208966913856e-06,9.61359285871972e-06,2.1643649847846083e-05,6.225931051555498e-06
1199,E01470N3877E01631N3641-BS-M774_E01538N3782_D010_S247D50R270_A005608_S028,0.87,1.5030259393505685e-08,2.422674050831255e-07,1.2666772652529364e-06,4.1235464547186614e-06,9.806473689934378e-06,2.572823910321856e-06
1252,E01598N4052E01840N3892-BS-M792_E01798N3940_D010_S292D50R090_A008541_S034,1.4,6.139120635893894e-11,5.5278591393237633e-08,7.277325886118776e-07,3.1749377325684925e-06,7.856409298404225e-06,1.7785113910054586e-06
1346,E01380N4178E01687N3892-BS-M809_E01619N3917_D010_S022D30R270_A012497_S042,0.21,0.0,0.0,6.953510056325647e-12,6.236986288183404e-06,1.2910078160072947e-05,2.720966096341066e-06
1415,E01267N3753E01646N3535-BS-M792_E01470N3715_D010_S067D50R090_A004781_S062,2.04,0.0,0.0,7.791753693526073e-08,1.3454951678128562e-06,4.261680787362264e-06,8.515427484740409e-07
1444,E01380N4178E01687N3892-BS-M809_E01677N3917_D010_S157D50R270_A012497_S042,0.38,0.0,0.0,4.739630103597398e-12,4.304724951424339e-06,9.539683922570883e-06,1.8735952481146868e-06
1481,E01470N3877E01631N3641-BS-M680_E01583N3715_D010_S022D50R090_A000638_S009,0.39,3.2940750385002496e-07,6.536712239531276e-07,1.8517992850997153e-06,4.404893566096821e-06,7.458479156702982e-06,2.6767395383991907e-06
1495,E01267N3753E01646N3535-BS-M809_E01523N3692_D010_S337D50R090_A006995_S075,1.39,0.0,0.0,3.736179181982302e-09,4.759217181883342e-07,1.774554735771856e-06,3.573516647593144e-07
1707,E01470N3877E01631N3641-BS-M774_E01534N3760_D010_S112D90R270_A005608_S028,1.51,3.1522539093815505e-09,4.752088981673411e-08,5.098063597204032e-07,2.652668645409293e-06,6.4667564613521395e-06,1.482355498000009e-06
1838,E01108N3882E01527N3690-BS-M680_E01506N3760_D010_S247D30R090_A000638_S009,0.16,2.5902624153632684e-06,4.091797956736248e-06,6.389942993513343e-06,8.919811063757202e-06,1.052133454355605e-05,6.5245526248480175e-06
1898,E01267N3753E01646N3535-BS-M680_E01527N3715_D092_S067D50R090_A000357_S016,0.12,2.2750855824809326e-06,3.7581530708751156e-06,7.1372271496571935e-06,1.3353900756106231e-05,2.1811345980596384e-05,8.699403499797393e-06
1968,E01267N3753E01646N3535-BS-M809_E01498N3715_D010_S202D50R090_A006995_S075,3.97,0.0,0.0,1.120036787334308e-09,1.6641314535668435e-07,7.318308948678429e-07,1.2511808917265642e-07
2075,E01267N3753E01646N3535-BS-M650_E01530N3737_D010_S022D30R090_A000178_S012,0.55,4.0105695662053036e-08,9.384244269020664e-08,2.6223100842699417e-07,6.55647937645313e-07,1.0654451680169423e-06,3.7673661342976765e-07
2076,E01470N3877E01631N3641-BS-M809_E01538N3782_D010_S202D50R090_A012497_S042,2.29,0.0,0.0,1.6524660143504437e-11,2.7398590917395337e-07,1.1167114217130282e-06,2.169077790460465e-07
2120,E01470N3877E01631N3641-BS-M650_E01534N3760_D010_S112D50R090_A000318_S006,0.17,1.708650589916135e-07,3.5380401428360956e-07,8.913503983881771e-07,2.064773604679366e-06,3.4203020787062703e-06,1.2188537493315972e-06
