idx,eve_id,MIH,P05,P16,P50,P84,P95,Pmean
2,E01267N3753E01646N3535-BS-M707_E01527N3715_D010_S067D50R090_A000668_S023,0.5966263,1.983399735554771e-06,3.4630299604762023e-06,6.76473916927896e-06,1.4884863567533361e-05,2.6204179730470177e-05,9.128519058373429e-06
5,E01267N3753E01646N3535-BS-M754_E01527N3715_D010_S067D50R090_A001972_S039,1.1444283,5.109612042995131e-07,9.929371122879755e-07,2.2345533430334582e-06,6.753650015825636e-06,1.3207303990515929e-05,3.7828167453825913e-06
6,E01267N3753E01646N3535-BS-M754_E01502N3737_D172_S247D30R090_A001972_S039,0.4074173,1.4453835671289571e-06,2.7515224973355585e-06,6.188091289656949e-06,1.8932715760254744e-05,3.6219011855387176e-05,1.062586821210029e-05
8,E01267N3753E01646N3535-BS-M754_E01527N3715_D091_S067D50R090_A001972_S039,0.6958122,8.403969668862439e-07,1.6331207349089844e-06,3.675253299133154e-06,1.1107980294692027e-05,2.1722545901680603e-05,6.221739913628615e-06
9,E01267N3753E01646N3535-BS-M774_E01502N3737_D107_S247D30R090_A003139_S050,1.0727081,1.0520336968048842e-07,3.441623706710297e-07,9.349745950805826e-07,3.498683956752038e-06,6.840410191749485e-06,1.8655298909156508e-06
11,E01267N3753E01646N3535-BS-M774_E01502N3737_D010_S247D30R090_A003139_S050,1.1413765,9.887404095279196e-08,3.2345660063442346e-07,8.78723910503818e-07,3.288193352279428e-06,6.42887199798859e-06,1.7532943991551753e-06
12,E01267N3753E01646N3535-BS-M774_E01527N3715_D107_S067D50R090_A003139_S050,0.8789215,1.2923670288350673e-07,4.318236675408448e-07,1.1426241594191949e-06,4.196307243012215e-06,7.993034634034772e-06,2.276846140158514e-06
14,E01267N3753E01646N3535-BS-M774_E01527N3715_D010_S067D50R090_A003139_S050,1.361103,8.345357901160022e-08,2.788467188820396e-07,7.378405162085148e-07,2.7097322219473186e-06,5.161438913952724e-06,1.4702553919705824e-06
16,E01267N3753E01646N3535-BS-M754_E01527N3715_D172_S067D50R090_A001972_S039,0.58441925,1.0005804264702858e-06,1.9444009269418093e-06,4.375773186162327e-06,1.3225211535051772e-05,2.5862961313217113e-05,7.407631656776761e-06
20,E01267N3753E01646N3535-BS-M792_E01498N3715_D010_S067D50R090_A004781_S062,1.8127708,0.0,0.0,1.1800209725104817e-07,1.3826554715089637e-06,4.155464636517273e-06,8.593053416792695e-07
