idx,l2n,TRUE,truemax,id,eve_id,max_off,wave_period,dominant_period,mean_prob,dzmax,dzmin,dmax,lon,lat,max_absdz,event_type,Mag,SR
0,0.017136499,1347,0.5572482943534851,PS_manning003/E01964N3926E02184N3685-PS-Str_PYes_Hom-M792_E02033N3761_S000,E01964N3926E02184N3685-PS-Str_PYes_Hom-M792_E02033N3761_S000,0.18,19,26.7,8.044025980719022e-06,0.001,0.001,0.557,20.33,37.61,0.001,1,7.92,HL
1,0.1488391146044588,7768,3.19974947,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M850_E02272N3440_S000,E02020N3739E02658N3366-PS-Str_PYes_Hom-M850_E02272N3440_S000,0.48,17,8,1.424721293201083e-07,0.001,0.001,3.2,22.72,34.4,0.001,1,8.5,HL
2,0.3200979130371905,22617,2.342205047607422,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02515N3431_S001,E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02515N3431_S001,0.61,15,26.7,7.063590725773581e-09,0.005,0.004,2.342,25.15,34.31,0.005,1,8.8,HL
3,0.1908901659260257,9879,3.941338062286377,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02090N3619_S005,E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02090N3619_S005,0.81,20,12.6,2.87054430475798e-08,0.002,0.002,3.941,20.9,36.19,0.002,1,8.61,HL
4,0.019295788,1191,0.7730192542076111,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M774_E02076N3673_S000,E02020N3739E02658N3366-PS-Str_PYes_Hom-M774_E02076N3673_S000,0.18,20,9.6,1.2193333959257664e-06,0.001,0.001,0.773,20.76,36.73,0.001,1,7.74,HL
5,0.2383273827319271,13067,3.980204582214356,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02233N3624_S002,E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02233N3624_S002,0.9,11,26.7,1.8913621717267352e-08,0.002,0.002,3.98,22.33,36.24,0.002,1,8.61,HL
6,0.005152992,571,0.357454389,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M754_E02309N3460_S000,E02020N3739E02658N3366-PS-Str_PYes_Var-M754_E02309N3460_S000,0.09,16,8,1.3172027234045947e-06,0.001,0.001,0.357,23.09,34.6,0.001,1,7.54,HL
7,0.4315915969026694,19944,6.614719867706299,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02220N3597_S003,E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02220N3597_S003,1.49,15,7.7,2.021875546991984e-08,0.002,0.002,6.615,22.2,35.97,0.002,1,8.71,HL
8,0.2761575130971442,13420,4.808519840240479,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02156N3574_S004,E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02156N3574_S004,0.9,18,9.6,2.8179384452012565e-08,0.002,0.002,4.809,21.56,35.74,0.002,1,8.61,HL
9,0.4012951839396709,17707,5.548115253448486,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02229N3514_S005,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02229N3514_S005,1.43,17,9.6,6.856568140512544e-09,0.005,0.005,5.548,22.29,35.14,0.005,1,8.8,HL
10,0.006942601,686,0.4708513915538788,PS_manning003/E01517N3917E01678N3772-PS-Str_PNo_Hom-M732_E01587N3805_S000,E01517N3917E01678N3772-PS-Str_PNo_Hom-M732_E01587N3805_S000,0.13,78,8,1.4521011864510177e-05,0.001,0.001,0.471,15.87,38.05,0.001,1,7.32,CL
11,0.004153727,510,0.4260227084159851,PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M707_E01778N3834_S000,E01548N3896E01854N3659-PS-Mur_PYes_Hom-M707_E01778N3834_S000,0.1,16,8.6,1.7035789583832091e-06,0.001,0.001,0.426,17.78,38.34,0.001,1,7.07,CL
12,0.2263213613983887,13135,3.5547244548797607,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02076N3673_S002,E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02076N3673_S002,0.91,17,7.7,3.0853331020915594e-08,0.002,0.002,3.555,20.76,36.73,0.002,1,8.61,HL
13,0.203364274,11247,3.9213032722473145,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02220N3597_S005,E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02220N3597_S005,0.68,12,7.7,3.110875655443902e-08,0.002,0.002,3.921,22.2,35.97,0.002,1,8.61,HL
14,0.060441166,4070,1.7053323984146118,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M850_E02344N3478_S000,E02020N3739E02658N3366-PS-Str_PYes_Hom-M850_E02344N3478_S000,0.35,13,8,1.9717964067459174e-07,0.002,0.002,1.705,23.44,34.78,0.002,1,8.5,HL
15,0.083426394,4251,2.082228183746338,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M837_E02121N3611_S000,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M837_E02121N3611_S000,0.44,20,7.5,1.1034198048132153e-07,0.001,0.001,2.082,21.21,36.11,0.001,1,8.37,HL
16,0.041368928,2110,1.5145937204360962,PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M774_E01755N3814_S000,E01548N3896E01854N3659-PS-Mur_PYes_Hom-M774_E01755N3814_S000,0.4,15,8,1.884692610229323e-07,0.001,0.001,1.515,17.55,38.14,0.001,1,7.74,CL
17,0,330,0.1386236846446991,PS_manning003/E02113N3823E02873N3483-PS-Str_PNo_Hom-M774_E02148N3750_S000,E02113N3823E02873N3483-PS-Str_PNo_Hom-M774_E02148N3750_S000,0.06,0,60,1.1219957949311518e-05,0.001,0.001,0.139,21.48,37.5,0.001,1,7.74,HL
18,0.4615239100806486,19869,6.453418731689453,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02134N3641_S004,E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02134N3641_S004,1.48,21,7.7,7.314898346768627e-09,0.004,0.004,6.453,21.34,36.41,0.004,1,8.8,HL
19,0.003996401,555,0.3241312801837921,PS_manning003/E01548N3896E01854N3659-PS-Str_PNo_Hom-M754_E01634N3808_S000,E01548N3896E01854N3659-PS-Str_PNo_Hom-M754_E01634N3808_S000,0.1,0,34.3,3.057623774298517e-06,0.002,0.001,0.324,16.34,38.08,0.002,1,7.54,CL
20,0.1284481486491777,7379,2.89896822,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M850_E02183N3593_S000,E02020N3739E02658N3366-PS-Mur_PYes_Var-M850_E02183N3593_S000,0.48,16,8,1.854496816997601e-07,0.001,0.001,2.899,21.83,35.93,0.001,1,8.5,HL
21,0.8810620332917122,42271,9.228589057922363,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M895_E02277N3489_S002,E02020N3739E02658N3366-PS-Mur_PYes_Var-M895_E02277N3489_S002,2.32,19,26.7,7.902725316745727e-09,0.01,0.01,9.229,22.77,34.89,0.01,1,8.95,HL
22,0.1504582941014732,9274,1.7877298593521118,PS_manning003/E02113N3823E02873N3483-PS-Str_PNo_Var-M871_E02293N3602_S002,E02113N3823E02873N3483-PS-Str_PNo_Var-M871_E02293N3602_S002,0.76,14,80,5.7781957265295123e-08,0.002,0.002,1.788,22.93,36.02,0.002,1,8.71,HL
23,0.6050893238152256,29526,8.359268188476562,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02359N3451_S003,E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02359N3451_S003,1.43,13,80,2.7870144965899632e-08,0.008,0.008,8.359,23.59,34.51,0.008,1,8.88,HL
24,0.056674083,2608,2.041592121124268,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M809_E02140N3614_S000,E02020N3739E02658N3366-PS-Str_PYes_Hom-M809_E02140N3614_S000,0.36,13,7.7,3.445824550765833e-07,0.001,0.001,2.042,21.4,36.14,0.001,1,8.09,HL
