id	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86
PS_manning003/E01964N3926E02184N3685-PS-Str_PYes_Hom-M792_E02033N3761_S000	0	0	71	71	48	51	55	50	50	0	0	11	0	13	48	17	17	17	12	15	11	17	15	0	0	61	32	27	10	24	17	12	28	24	84	58	63	25	29	10	21	16	15	18	13	140	11	26	26	24	25	27	27	28	19	17	14	30	39	40	33	31	34	35	42	16	21	22	23	21	78	10	12	11	72	118	119	13	12	12	60	55	157	143	158	158	158
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M850_E02272N3440_S000	45	30	34	35	16	17	15	14	11	0	0	10	0	12	12	10	13	11	10	10	10	15	10	0	0	16	15	10	15	11	18	17	13	16	14	17	19	13	10	14	14	10	13	14	17	16	17	15	16	13	13	13	18	15	17	19	13	12	13	12	14	12	11	11	14	13	14	15	14	12	12	14	12	12	12	17	17	12	13	13	19	18	18	13	13	14	19
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02515N3431_S001	62	12	13	13	14	13	63	61	53	0	0	53	0	53	14	14	14	14	13	14	14	17	55	0	0	12	24	15	11	12	18	14	15	16	11	17	10	12	12	14	15	16	15	16	15	15	13	13	15	15	14	14	13	13	15	10	12	52	14	59	59	52	54	11	11	15	16	14	14	14	14	14	14	14	56	55	10	14	14	13	12	13	12	14	14	13	13
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02090N3619_S005	69	43	43	23	45	26	27	28	45	0	0	17	0	18	18	18	19	20	19	20	26	27	28	0	0	26	27	28	28	25	28	20	25	27	19	27	26	18	25	26	18	18	19	19	23	23	20	25	24	25	25	25	20	19	20	28	19	25	28	29	27	27	36	35	37	18	22	22	19	19	20	17	18	22	16	16	55	20	19	19	20	20	26	26	18	19	18
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M774_E02076N3673_S000	0	0	70	45	45	46	34	33	45	0	0	48	0	54	55	56	76	66	72	71	62	58	60	0	0	32	31	28	24	24	30	32	30	30	42	23	41	46	29	69	72	36	38	20	19	43	25	24	24	25	24	23	23	23	20	22	41	36	36	34	36	37	35	39	41	41	50	25	23	20	52	53	53	47	43	42	41	39	38	42	41	40	40	41	214	214	72
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02233N3624_S002	45	45	46	47	47	47	48	39	50	0	0	11	0	13	14	10	10	10	12	14	16	11	13	0	0	14	14	13	10	15	24	16	11	23	10	13	15	15	12	15	22	21	23	12	12	11	11	10	11	13	12	22	14	10	11	12	10	23	10	26	36	31	33	33	42	12	11	10	14	13	10	11	13	11	12	12	11	10	10	10	10	11	10	20	12	10	10
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M754_E02309N3460_S000	0	0	0	0	0	19	35	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	166	54	54	58	0	16	0	60	130	19	139	70	184	68	98	17	17	18	16	113	14	113	113	161	88	0	0	71	16	19	0	30	36	36	27	38	0	0	0	35	0	0	0	72	0	0	0	0	0	0	0	0	0	0	237	296	0	0	0	0	0
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02220N3597_S003	37	37	37	18	18	20	48	38	49	0	0	10	0	13	13	11	16	10	12	14	12	13	15	0	0	10	24	23	15	11	15	14	10	13	15	20	21	12	12	13	13	13	11	10	11	16	10	12	10	10	11	12	13	14	15	14	14	14	11	12	14	36	14	15	15	15	16	14	15	14	14	15	13	16	13	17	18	13	13	12	12	13	16	14	14	14	14
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02156N3574_S004	20	20	19	20	18	20	21	21	18	0	0	19	0	18	19	12	12	12	12	12	18	20	21	0	0	12	21	21	13	12	22	13	18	20	12	20	11	12	12	12	12	19	18	19	17	18	13	13	13	20	19	13	14	23	18	23	14	20	14	13	22	23	12	12	12	19	20	22	20	14	15	13	21	14	20	19	18	21	15	15	21	15	21	22	13	14	17
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02229N3514_S005	20	20	20	20	20	19	20	20	18	0	0	19	0	18	18	19	18	18	18	12	18	18	11	0	0	10	19	21	13	24	19	13	17	18	22	20	21	12	12	18	18	18	18	17	17	18	13	22	18	18	18	18	21	22	17	21	18	19	18	20	23	23	24	12	12	17	19	21	19	18	17	19	21	13	21	19	18	17	16	16	21	17	21	22	14	13	17
