eve_id,id,max_off,mean_prob,dzmax,dzmin,max,lon,lat,Location,LocationCount,max_absdz,event_type,importance,uniform_wt,gridcount,grid_id
E01964N3926E02184N3685-PS-Str_PYes_Hom-M792_E02033N3761_S000,PS_manning003/E01964N3926E02184N3685-PS-Str_PYes_Hom-M792_E02033N3761_S000,0.18,8.044025980719022e-06,0.001,0.001,0.556,20.33,37.61,37612032,27.0,0.001,1.0,1.4479246765294238e-06,1.8674136321195144e-05,142.0,"37.367,20.082"
E02020N3739E02658N3366-PS-Str_PYes_Hom-M850_E02272N3440_S000,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M850_E02272N3440_S000,0.48,1.424721293201083e-07,0.001,0.001,3.199,22.72,34.4,34402272,27.0,0.001,1.0,6.838662207365198e-08,1.8674136321195144e-05,230.0,"34.397,22.392"
E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02515N3431_S001,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02515N3431_S001,0.61,7.063590725773581e-09,0.005,0.004,2.341,25.15,34.31,34312515,35.0,0.005,1.0,4.308790342721884e-09,1.8674136321195144e-05,137.0,"34.067,25.032"
E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02090N3619_S005,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02090N3619_S005,0.81,2.87054430475798e-08,0.002,0.002,3.941,20.9,36.19,36192090,63.0,0.002,1.0,2.325140886853964e-08,1.8674136321195144e-05,232.0,"36.047,20.742"
E02020N3739E02658N3366-PS-Str_PYes_Hom-M774_E02076N3673_S000,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M774_E02076N3673_S000,0.18,1.2193333959257664e-06,0.001,0.001,0.772,20.76,36.73,36722076,49.0,0.001,1.0,2.1948001126663794e-07,1.8674136321195144e-05,252.0,"36.707,20.742"
E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02233N3624_S002,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02233N3624_S002,0.9,1.8913621717267352e-08,0.002,0.002,3.979,22.33,36.24,36242233,26.0,0.002,1.0,1.7022259545540617e-08,1.8674136321195144e-05,190.0,"36.047,22.062"
E02020N3739E02658N3366-PS-Str_PYes_Var-M754_E02309N3460_S000,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M754_E02309N3460_S000,0.09,1.3172027234045947e-06,0.001,0.001,0.357,23.09,34.6,34602309,75.0,0.001,1.0,1.1854824510641352e-07,1.8674136321195144e-05,491.0,"34.397,23.052"
E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02220N3597_S003,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02220N3597_S003,1.49,2.021875546991984e-08,0.002,0.002,6.614,22.2,35.97,35972220,55.0,0.002,1.0,3.012594565018056e-08,1.8674136321195144e-05,373.0,"35.717,22.062"
E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02156N3574_S004,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02156N3574_S004,0.9,2.8179384452012565e-08,0.002,0.002,4.808,21.56,35.74,35742156,87.0,0.002,1.0,2.5361446006811307e-08,1.8674136321195144e-05,416.0,"35.717,21.402"
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02229N3514_S005,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02229N3514_S005,1.43,6.856568140512544e-09,0.005,0.005,5.547,22.29,35.14,35142229,121.0,0.005,1.0,9.804892440932938e-09,1.8674136321195144e-05,720.0,"35.057,22.062"
E01517N3917E01678N3772-PS-Str_PNo_Hom-M732_E01587N3805_S000,PS_manning003/E01517N3917E01678N3772-PS-Str_PNo_Hom-M732_E01587N3805_S000,0.13,1.4521011864510177e-05,0.001,0.001,0.47,15.87,38.05,38041587,32.0,0.001,1.0,1.887731542386323e-06,1.8674136321195144e-05,149.0,"38.027,15.792"
E01548N3896E01854N3659-PS-Mur_PYes_Hom-M707_E01778N3834_S000,PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M707_E01778N3834_S000,0.1,1.7035789583832091e-06,0.001,0.001,0.425,17.78,38.34,38341778,32.0,0.001,1.0,1.7035789583832093e-07,1.8674136321195144e-05,172.0,"38.027,17.772"
E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02076N3673_S002,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02076N3673_S002,0.91,3.0853331020915594e-08,0.002,0.002,3.554,20.76,36.73,36722076,49.0,0.002,1.0,2.8076531229033192e-08,1.8674136321195144e-05,252.0,"36.707,20.742"
