,Train_size,Depth,Site,True,Pred,Bias,Pred_low,Pred_high,Sigma
0,225,2.5,1,9.790820556949785e-06,2.1093948152635353e-05,1.1303127595685569e-05,5.842100290896688e-05,7.420202302235469e-06,1.2750200151682852e-05
1,225,2.5,2,6.9633672609836665e-06,1.1862430218346881e-05,4.899062957363215e-06,2.7138717974378206e-05,5.426225300269159e-06,5.428123168527262e-06
2,225,2.5,3,1.6397590145028309e-06,2.927226920753124e-06,1.2874679062502932e-06,5.8952783435375635e-06,2.21991727511277e-07,1.4183216540065717e-06
3,225,2.5,4,1.7544427594776545e-05,2.6038550683935322e-05,8.494123089158776e-06,6.199969390401361e-05,1.2107282312413584e-05,1.2473102897900006e-05
4,225,2.5,5,0.0001627210058078646,0.0002331164891996532,7.03954833917886e-05,0.00048141606645089776,0.00010344065152346884,9.449385373185723e-05
5,225,2.5,6,4.980955713710995e-06,6.952402592092221e-06,1.971446878381226e-06,1.3144815309316342e-05,4.384946233545526e-06,2.189967268942704e-06
6,225,2.5,7,2.0570886881830543e-05,3.5327237471795655e-05,1.4756350589965112e-05,7.528000646157194e-05,1.4406846122196905e-05,1.5218290084843759e-05
7,225,2.5,8,9.768929627346277e-07,1.1877644755042373e-06,2.1087151276960965e-07,3.098750725303477e-06,2.782061302798259e-07,7.051361487559127e-07
8,225,2.5,9,1.4935754808249986e-05,1.5497746636223477e-05,5.619918279734907e-07,2.780588301688522e-05,5.62498498082705e-06,5.5452245090145424e-06
9,225,2.5,10,1.585005364599623e-06,2.828960884994404e-06,1.243955520394781e-06,6.609880439412177e-06,7.154803079091623e-07,1.4736000328757538e-06
10,225,2.5,11,8.031347903566456e-07,9.181077070571072e-07,1.1497291670046159e-07,1.9511678109403035e-06,2.5849806633690727e-07,4.2316743615084906e-07
11,225,2.5,12,2.2698084423608207e-08,1e-11,-2.2688084423608206e-08,1e-11,1e-11,0.0
12,529,2.5,1,9.790820556949785e-06,1.9748307248090364e-05,9.95748669114058e-06,4.6795563501520505e-05,6.575743870176392e-06,1.0054954907836029e-05
13,529,2.5,2,6.9633672609836665e-06,9.737009920215062e-06,2.7736426592313957e-06,1.938508093051192e-05,3.956220421794481e-06,3.85721512717936e-06
14,529,2.5,3,1.6397590145028309e-06,2.132957485851289e-06,4.93198471348458e-07,5.503360258683488e-06,3.5488199913667423e-07,1.2871195648867035e-06
