Unnamed: 0,mse,r2,g,l2n,true,pred,truemax,predmax,id,eve_id,max_off,wave_period,dominant_period,mean_prob,dzmax,dzmin,count,dmax,lon,lat,Location,LocationCount,max_absdz,event_type,importance,uniform_wt,gridcount,grid_id,max_off_bin,split,Mag,SR
3665,4.831738112144372,0.2784397818895865,0.1312102145383787,5.090776420789336,506132.0,516077.0,12.119913101196287,11.85817813873291,BS_manning003/E01267N3753E01646N3535-BS-M809_E01495N3692_D010_S022D50R270_A006995_S075,E01267N3753E01646N3535-BS-M809_E01495N3692_D010_S022D50R270_A006995_S075,1.74,10,30.0,7.599786278762831e-09,4.424,-1.354,521860,12.12,14.9532,36.9278,36921495,334.0,4.424,0.0,1.3223628125047324e-08,1.8674136321195144e-05,990.0,"36.857,14.742","(1.0, 2.0]",test,8.0933,BS
5370,3.7914193149334414,0.4825107236577493,0.1447631817337811,4.224813501422636,488868.0,479180.0,11.478797912597656,9.41618537902832,BS_manning003/E01267N3753E01646N3535-BS-M809_E01530N3737_D010_S292D50R270_A006995_S075,E01267N3753E01646N3535-BS-M809_E01530N3737_D010_S292D50R270_A006995_S075,2.12,20,30.0,2.967496458114349e-09,4.362,-1.389,504953,11.479,15.3075,37.3774,37371530,1315.0,4.362,0.0,6.291092491202421e-09,1.8674136321195144e-05,1315.0,"37.157,15.042","(2.0, 3.0]",test,8.0933,BS
5324,2.846431892343848,0.5019879338343336,0.1986651745338455,3.220821936376267,343044.0,374442.0,9.155719757080078,8.644797325134277,BS_manning003/E01267N3753E01646N3535-BS-M809_E01547N3670_D010_S337D70R270_A006995_S075,E01267N3753E01646N3535-BS-M809_E01547N3670_D010_S337D70R270_A006995_S075,1.03,37,30.0,6.841985087127807e-10,4.53,-2.546,348448,9.156,15.479,36.7029,36701547,617.0,4.53,0.0,7.047244639741641e-10,1.8674136321195144e-05,617.0,"36.557,15.342","(1.0, 2.0]",test,8.0933,BS
3079,2.493795728798914,0.5537842417226646,0.1647383640033441,3.2284860289647863,389763.0,359583.0,15.578797340393066,11.63600730895996,BS_manning003/E01267N3753E01646N3535-BS-M809_E01530N3737_D010_S292D70R270_A006995_S075,E01267N3753E01646N3535-BS-M809_E01530N3737_D010_S292D70R270_A006995_S075,1.73,14,24.0,7.83038287666727e-10,4.453,-2.605,389763,15.579,15.3075,37.3774,37371530,1315.0,4.453,0.0,1.3546562376634379e-09,1.8674136321195144e-05,1315.0,"37.157,15.042","(1.0, 2.0]",test,8.0933,BS
9334,2.300376267548657,0.6383864098523809,0.1256902684056106,3.405990498677808,415524.0,463064.0,11.605239868164062,9.787181854248049,BS_manning003/E01267N3753E01646N3535-BS-M809_E01527N3715_D010_S337D70R270_A006995_S075,E01267N3753E01646N3535-BS-M809_E01527N3715_D010_S337D70R270_A006995_S075,1.82,28,30.0,2.3292130012489523e-09,4.469,-2.61,415987,11.605,15.2708,37.1526,37151527,1118.0,4.469,0.0,4.239167662273093e-09,1.8674136321195144e-05,2045.0,"36.857,15.042","(1.0, 2.0]",test,8.0933,BS
3040,2.294479829689753,0.5624123269425576,0.116025506419545,3.663669218785984,468160.0,367081.0,20.05205345153809,16.660669326782227,BS_manning003/E01267N3753E01646N3535-BS-M809_E01502N3737_D010_S202D70R270_A006995_S075,E01267N3753E01646N3535-BS-M809_E01502N3737_D010_S202D70R270_A006995_S075,2.37,23,12.6,1.483529119372424e-09,4.444,-2.613,470043,20.052,15.0245,37.3774,37371502,919.0,4.444,0.0,3.515964012912645e-09,1.8674136321195144e-05,919.0,"37.157,14.742","(2.0, 3.0]",test,8.0933,BS
3368,2.291854044529987,0.4603901009298536,0.096661347957383,4.045209314952226,508231.0,491738.0,9.450637817382812,8.495817184448242,BS_manning003/E01267N3753E01646N3535-BS-M809_E01498N3715_D010_S022D70R270_A006995_S075,E01267N3753E01646N3535-BS-M809_E01498N3715_D010_S022D70R270_A006995_S075,1.79,12,21.8,5.8503319000301005e-09,4.458,-2.609,517590,9.451,14.9887,37.1526,37151498,656.0,4.458,0.0,1.047209410105388e-08,1.8674136321195144e-05,990.0,"36.857,14.742","(1.0, 2.0]",test,8.0933,BS
10520,2.102699323188713,0.4689000014241927,0.2505147428589536,2.469642266471747,305287.0,147480.0,21.46976852416992,16.853967666625977,BS_4-8_manning003/E01267N3753E01646N3535-BS-M809_E01502N3737_D010_S067D90R090_A006995_S075,E01267N3753E01646N3535-BS-M809_E01502N3737_D010_S067D90R090_A006995_S075,3.66,14,12.6,3.7576874752030247e-10,3.751,-3.761,305587,21.47,15.0245,37.3774,37371502,919.0,3.761,0.0,1.375313615924307e-09,1.8674136321195144e-05,919.0,"37.157,14.742","(3.0, 99.0]",test,8.0933,BS
1761,1.803521409483188,0.7029350132621355,0.0748755882526628,3.908742440933724,439446.0,416065.0,12.437792778015137,12.530579566955566,BS_manning003/E01267N3753E01646N3535-BS-M809_E01530N3737_D010_S067D50R270_A006995_S075,E01267N3753E01646N3535-BS-M809_E01530N3737_D010_S067D50R270_A006995_S075,1.52,16,12.6,2.620543754709513e-09,4.369,-1.386,453105,12.438,15.3075,37.3774,37371530,1315.0,4.369,0.0,3.98322650715846e-09,1.8674136321195144e-05,1315.0,"37.157,15.042","(1.0, 2.0]",test,8.0933,BS
8602,1.7520848229026895,0.6377630537781744,0.0768497042010356,3.9068681448257214,506574.0,463581.0,17.57069206237793,15.284372329711914,BS_manning003/E01267N3753E01646N3535-BS-M809_E01498N3715_D010_S202D50R270_A006995_S075,E01267N3753E01646N3535-BS-M809_E01498N3715_D010_S202D50R270_A006995_S075,2.18,11,30.0,2.302188677092816e-08,3.648,1.524,508519,17.571,14.9887,37.1526,37151498,656.0,3.648,0.0,5.01877131606234e-08,1.8674136321195144e-05,990.0,"36.857,14.742","(2.0, 3.0]",test,8.0933,BS
9970,1.7139607179290408,0.6624024493963738,0.0961176277176037,3.411319620518949,417831.0,380971.0,12.85208511352539,11.622690200805664,BS_manning003/E01267N3753E01646N3535-BS-M809_E01502N3737_D010_S112D70R270_A006995_S075,E01267N3753E01646N3535-BS-M809_E01502N3737_D010_S112D70R270_A006995_S075,2.49,13,30.0,1.2963634270357191e-09,4.447,-2.61,422064,12.852,15.0245,37.3774,37371502,919.0,4.447,0.0,3.2279449333189404e-09,1.8674136321195144e-05,919.0,"37.157,14.742","(2.0, 3.0]",test,8.0933,BS
8455,1.653842759687744,0.7662358897483121,0.0716488055744452,3.770790481277334,378985.0,345530.0,14.988609313964844,14.74521541595459,BS_manning003/E01267N3753E01646N3535-BS-M809_E01470N3715_D010_S067D50R270_A006995_S075,E01267N3753E01646N3535-BS-M809_E01470N3715_D010_S067D50R270_A006995_S075,2.11,15,30.0,4.0900865642631035e-09,4.383,-1.371,384083,14.989,14.7066,37.1526,37151470,237.0,4.383,0.0,8.630082650595147e-09,1.8674136321195144e-05,337.0,"36.857,14.442","(2.0, 3.0]",test,8.0933,BS
7591,1.573472307575711,0.7081666805710385,0.0611348791351228,4.118962517278987,503201.0,466237.0,16.924095153808594,12.520071029663086,BS_manning003/E01267N3753E01646N3535-BS-M809_E01502N3737_D010_S247D50R270_A006995_S075,E01267N3753E01646N3535-BS-M809_E01502N3737_D010_S247D50R270_A006995_S075,2.15,10,12.0,5.626234195662826e-09,4.205,1.357,508504,16.924,15.0245,37.3774,37371502,919.0,4.205,0.0,1.2096403520675076e-08,1.8674136321195144e-05,919.0,"37.157,14.742","(2.0, 3.0]",test,8.0933,BS
5619,1.5089212559549492,0.6769556535651975,0.077645590499174,3.55026186956665,496176.0,468852.0,21.051660537719727,11.868331909179688,BS_manning003/E01267N3753E01646N3535-BS-M809_E01502N3737_D010_S247D70R270_A006995_S075,E01267N3753E01646N3535-BS-M809_E01502N3737_D010_S247D70R270_A006995_S075,2.66,31,21.8,1.1759768596086503e-09,4.452,-2.615,496176,21.052,15.0245,37.3774,37371502,919.0,4.452,0.0,3.1280984465590104e-09,1.8674136321195144e-05,919.0,"37.157,14.742","(2.0, 3.0]",test,8.0933,BS
