,mse,r2,g,l2n,true,pred,truemax,predmax,id,eve_id,max_off,wave_period,dominant_period,mean_prob,dzmax,dzmin,count,dmax,lon,lat,Location,LocationCount,max_absdz,event_type,importance,uniform_wt,gridcount,grid_id,max_off_bin
0,0.002749766931803731,-4.5651525231258665,0.5529978755442029,0.02226302648006125,3191.0,6671.0,0.7076811790466309,1.1982160806655884,BS_manning003/E01267N3753E01646N3535-BS-M732_E01551N3692_D142_S157D70R090_A001180_S030,E01267N3753E01646N3535-BS-M732_E01551N3692_D142_S157D70R090_A001180_S030,0.1,97,24.0,6.7048156720963825e-09,-0.001,-0.045,3191,0.708,15.5157,36.9278,36921551,1188.0,0.045,1.0,6.704815672096383e-10,1.8674136321195144e-05,1960.0,"36.857,15.342","(0.0, 0.1]"
1,0.0038822727160321108,0.9410021461587117,0.03325055651072795,0.2598294825082762,25682.0,20671.0,3.8047146797180176,2.887000560760498,BS_manning003/E01267N3753E01646N3535-BS-M809_E01512N3625_D010_S022D50R090_A006995_S075,E01267N3753E01646N3535-BS-M809_E01512N3625_D010_S022D50R090_A006995_S075,0.79,13,24.0,1.967459557178661e-09,0.13,0.068,25682,3.805,15.128,36.2533,36251512,65.0,0.13,0.0,1.554293050171142e-09,1.8674136321195144e-05,89.0,"35.957,15.042","(0.3, 1.0]"
2,0.006160580169284632,0.6085530937907819,0.29153720618031465,0.12600861339538516,8928.0,7119.0,3.5654687881469727,1.2748814821243286,BS_manning003/E01267N3753E01646N3535-BS-M707_E01575N3670_D010_S067D50R090_A000668_S023,E01267N3753E01646N3535-BS-M707_E01575N3670_D010_S067D50R090_A000668_S023,0.66,17,4.6,1.4187102600285996e-08,-0.002,-0.002,8928,3.565,15.7595,36.7029,36701575,602.0,0.002,1.0,9.363487716188758e-09,1.8674136321195144e-05,602.0,"36.557,15.642","(0.3, 1.0]"
3,0.0018507129906200049,-1.306319255846466,0.38742254567020595,0.028383418313474563,3678.0,6194.0,0.8529588580131531,1.1452993154525757,BS_manning003/E01267N3753E01646N3535-BS-M707_E01575N3670_D062_S202D50R270_A000668_S023,E01267N3753E01646N3535-BS-M707_E01575N3670_D062_S202D50R270_A000668_S023,0.14,29,12.6,1.5904053684698453e-08,0.001,0.001,3678,0.853,15.7595,36.7029,36701575,602.0,0.001,1.0,2.2265675158577837e-09,1.8674136321195144e-05,602.0,"36.557,15.642","(0.1, 0.3]"
4,0.017170619902315117,0.7663205061945474,0.16854369997676188,0.2751957016306188,31005.0,15714.0,3.6227946281433105,2.2449159622192383,BS_manning003/E01267N3753E01646N3535-BS-M754_E01498N3715_D172_S022D30R270_A001972_S039,E01267N3753E01646N3535-BS-M754_E01498N3715_D172_S022D30R270_A001972_S039,0.48,10,30.0,4.850651611826834e-08,1.066,0.619,31005,3.623,14.9887,37.1526,37151498,656.0,1.066,0.0,2.3283127736768804e-08,1.8674136321195144e-05,990.0,"36.857,14.742","(0.3, 1.0]"
5,0.0011287059402814044,0.596820118705772,0.15367823302291084,0.053058361060211154,4809.0,6682.0,1.2123608589172363,1.2153106927871704,BS_manning003/E01446N4259E02038N3783-BS-M707_E01975N3827_D062_S337D50R090_A000668_S023,E01446N4259E02038N3783-BS-M707_E01975N3827_D062_S337D50R090_A000668_S023,0.23,29,7.1,5.70996421474381e-08,0.001,0.001,4809,1.212,19.7544,38.2767,38271975,259.0,0.001,1.0,1.3132917693910764e-08,1.8674136321195144e-05,259.0,"38.057,19.542","(0.1, 0.3]"
6,0.001682856496260139,0.7960530313465771,0.12329227510291363,0.09124160712299606,9431.0,6949.0,1.8237106800079346,1.3996390104293823,BS_manning003/E01267N3753E01646N3535-BS-M774_E01502N3737_D107_S022D30R090_A003139_S050,E01267N3753E01646N3535-BS-M774_E01502N3737_D107_S022D30R090_A003139_S050,0.45,14,24.0,1.8697483904717883e-08,-0.272,-1.888,9431,1.824,15.0245,37.3774,37371502,919.0,1.888,0.0,8.413867757123048e-09,1.8674136321195144e-05,919.0,"37.157,14.742","(0.3, 1.0]"
7,0.000892405231397006,0.7651346154084055,0.09638043347659864,0.061850818346751164,6199.0,7122.0,1.3284752368927002,1.3393043279647827,BS_manning003/E01470N3877E01631N3641-BS-M707_E01559N3737_D094_S247D30R270_A001194_S013,E01470N3877E01631N3641-BS-M707_E01559N3737_D094_S247D30R270_A001194_S013,0.23,29,6.5,2.3290328606885356e-08,-0.001,-0.025,6199,1.328,15.5904,37.3774,37371559,705.0,0.025,1.0,5.3567755795836315e-09,1.8674136321195144e-05,705.0,"37.157,15.342","(0.1, 0.3]"
8,0.00365922715895912,0.8340549967092332,0.09961645504274408,0.14934545769115498,14159.0,9709.0,3.3072683811187744,2.07376766204834,BS_manning003/E01267N3753E01646N3535-BS-M792_E01523N3692_D010_S337D50R090_A004781_S062,E01267N3753E01646N3535-BS-M792_E01523N3692_D010_S337D50R090_A004781_S062,0.9,29,12.6,1.6077075034171952e-08,-0.678,-2.781,14159,3.307,15.2345,36.9278,36921523,927.0,2.781,0.0,1.4469367530754756e-08,1.8674136321195144e-05,2045.0,"36.857,15.042","(0.3, 1.0]"
9,0.00359731862285523,0.9565081501849994,0.02282792785069454,0.29136409517346334,29678.0,25988.0,4.614051342010498,4.092409133911133,BS_manning003/E01446N4259E02038N3783-BS-M792_E01904N3895_D010_S292D50R090_A004781_S062,E01446N4259E02038N3783-BS-M792_E01904N3895_D010_S292D50R090_A004781_S062,1.2,20,24.0,1.6903656840387462e-09,0.001,0.001,29678,4.614,19.0453,38.9512,38951904,54.0,0.001,1.0,2.0284388208464955e-09,1.8674136321195144e-05,140.0,"38.657,18.942","(1.0, 2.0]"
