,Train_size,Depth,Site,True,Pred,Bias,Pred_high,Pred_low,Sigma
0,228,2.5,1,2.4456497292828046e-06,2.1211621222752507e-06,-3.244876070075539e-07,4.044530736014689e-06,6.266598694354692e-07,8.544677166448049e-07
1,228,2.5,2,8.375779829530438e-05,8.832260011098796e-05,4.564801815683584e-06,0.00015630111523317643,4.592454934280899e-05,2.759414147259186e-05
2,228,2.5,3,9.213575713941165e-07,1.386507579910632e-06,4.6515000851651554e-07,2.938396021953486e-06,3.0659316130067735e-07,6.579507151632021e-07
3,228,2.5,4,5.316615684514291e-06,3.5126180602239237e-06,-1.8039976242903674e-06,1.1892132245706477e-05,1.2327184294209511e-06,2.6648534540713816e-06
4,550,2.5,1,2.4456497292828046e-06,2.285219499904051e-06,-1.604302293787538e-07,5.290788693323066e-06,9.613847101981674e-07,1.0823509957812246e-06
5,550,2.5,2,8.375779829530438e-05,0.00010870311202249923,2.4945313727194857e-05,0.00017178787880956734,7.088443862300491e-05,2.5225860046640608e-05
6,550,2.5,3,9.213575713941165e-07,1.3837839672563274e-06,4.6242639586221087e-07,2.514548126353249e-06,5.922619198869039e-07,4.805715516165862e-07
7,550,2.5,4,5.316615684514291e-06,6.421564477472876e-06,1.1049487929585848e-06,1.6126482798505243e-05,2.933792094888877e-06,3.2981726759040917e-06
8,961,2.5,1,2.4456497292828046e-06,2.340120307511372e-06,-1.055294217714327e-07,4.292089904354428e-06,1.3468424772691458e-06,7.363118567713206e-07
9,961,2.5,2,8.375779829530438e-05,0.00010240588622275355,1.8648087927449178e-05,0.00014805763908448975,7.357169146032357e-05,1.8621486906041544e-05
10,961,2.5,3,9.213575713941165e-07,1.1786050640093974e-06,2.572474926152809e-07,1.7930680862630553e-06,5.488903528220057e-07,3.110444333602624e-07
11,961,2.5,4,5.316615684514291e-06,6.586982275659135e-06,1.2703665911448437e-06,1.4895881238066666e-05,2.895642746965642e-06,3.000059622775256e-06
12,1773,2.5,1,2.4456497292828046e-06,2.369896036052983e-06,-7.575369322982146e-08,3.896526570742301e-06,1.4576677989807743e-06,6.097146929403817e-07
13,1773,2.5,2,8.375779829530438e-05,9.969346171517244e-05,1.593566341986806e-05,0.0001415126447556435,7.233010017433227e-05,1.729563614532781e-05
14,1773,2.5,3,9.213575713941165e-07,1.1331418190074827e-06,2.1178424761336616e-07,1.6516694469042379e-06,5.714282551885961e-07,2.700602979289105e-07
15,1773,2.5,4,5.316615684514291e-06,5.869221466138151e-06,5.526057816238602e-07,1.0625095268697923e-05,3.0690148595855077e-06,1.889020102278104e-06
16,3669,2.5,1,2.4456497292828046e-06,2.2182813298680567e-06,-2.2736839941474796e-07,3.477111369503646e-06,1.5353360561873233e-06,4.854438283290807e-07
17,3669,2.5,2,8.375779829530438e-05,9.448203563056447e-05,1.0724237335260088e-05,0.00012817356049936552,7.205615975620352e-05,1.4029350185790498e-05
18,3669,2.5,3,9.213575713941165e-07,1.0878470943378862e-06,1.6648952294376974e-07,1.6758620595713678e-06,6.960750267296771e-07,2.4494675821042265e-07
19,3669,2.5,4,5.316615684514291e-06,6.0316481789680435e-06,7.150324944537524e-07,1.0405982674457093e-05,3.5795135915243054e-06,1.7066172707331969e-06
20,6941,2.5,1,2.4456497292828046e-06,2.436262467608857e-06,-9.387261673947823e-09,3.562243606826082e-06,1.521513543153501e-06,5.101825159181452e-07
21,6941,2.5,2,8.375779829530438e-05,8.914405237925116e-05,5.386254083946786e-06,0.00011764494440022886,7.071034903071592e-05,1.1733648842378237e-05
22,6941,2.5,3,9.213575713941165e-07,1.1804880211427247e-06,2.5913044974860815e-07,1.6423163650126224e-06,7.115189526598984e-07,2.32699353088181e-07
23,6941,2.5,4,5.316615684514291e-06,5.70616994182312e-06,3.895542573088291e-07,9.612083962724184e-06,3.2882637764771623e-06,1.5809550465617556e-06
