Unnamed: 0,mse,r2,g,l2n,true,pred,truemax,predmax,id,eve_id,max_off,wave_period,dominant_period,mean_prob,dzmax,dzmin,count,dmax,lon,lat,Location,LocationCount,max_absdz,event_type,importance,uniform_wt,gridcount,grid_id,max_off_bin,split,Mag
2509,3.2970892994818186,0.3785074716590927,0.2736297715505026,2.979965494305839,146046.0,99609.0,23.064395904541016,16.586456298828125,BS_manning003/E01267N3753E01646N3535-BS-M809_E01551N3692_D010_S112D70R270_A006995_S075,E01267N3753E01646N3535-BS-M809_E01551N3692_D010_S112D70R270_A006995_S075,1.06,10,7.5,1.1965799632857879e-09,4.447,-2.61,146046,23.064,15.5157,36.9278,36921551,1188.0,4.447,0.0,1.268374761082935e-09,1.8674136321195144e-05,1960.0,"36.857,15.342","(1.0, 2.0]",test,8.0933
2247,2.7305746496938665,0.4633582192688236,0.2104016146320424,3.048071968159203,158247.0,101438.0,21.40766906738281,16.02599334716797,BS_manning003/E01267N3753E01646N3535-BS-M809_E01470N3715_D010_S112D50R270_A006995_S075,E01267N3753E01646N3535-BS-M809_E01470N3715_D010_S112D50R270_A006995_S075,1.75,16,7.3,3.6394440926203397e-09,4.403,-1.344,158607,21.408,14.7066,37.1526,37151470,237.0,4.403,0.0,6.369027162085594e-09,1.8674136321195144e-05,337.0,"36.857,14.442","(1.0, 2.0]",test,8.0933
12861,2.024586151166148,0.5241281411350511,0.2707525939543015,2.266653991601397,60519.0,78597.0,13.72043800354004,10.39357089996338,BS_manning003/E01267N3753E01646N3535-BS-M809_E01572N3647_D010_S337D50R270_A006995_S075,E01267N3753E01646N3535-BS-M809_E01572N3647_D010_S337D50R270_A006995_S075,4.33,17,8.3,1.3745700619223359e-09,4.47,-1.295,61524,13.72,15.7223,36.4781,36471572,380.0,4.47,0.0,5.951888368123714e-09,1.8674136321195144e-05,380.0,"36.257,15.642","(3.0, 99.0]",test,8.0933
4131,1.9100010068069213,0.6094905472775434,0.1889723863324467,2.7397279246920667,104106.0,82908.0,12.67685890197754,13.27238941192627,BS_manning003/E01267N3753E01646N3535-BS-M809_E01527N3715_D010_S292D50R270_A006995_S075,E01267N3753E01646N3535-BS-M809_E01527N3715_D010_S292D50R270_A006995_S075,2.68,13,10.4,7.979446997579383e-09,4.368,-1.394,104733,12.677,15.2708,37.1526,37151527,1118.0,4.368,0.0,2.138491795351275e-08,1.8674136321195144e-05,2045.0,"36.857,15.042","(2.0, 3.0]",test,8.0933
5324,1.755214406463956,0.6836380572653848,0.0961037899881163,3.3620814305333804,177168.0,116468.0,19.522035598754883,17.876577377319336,BS_manning003/E01267N3753E01646N3535-BS-M809_E01547N3670_D010_S337D70R270_A006995_S075,E01267N3753E01646N3535-BS-M809_E01547N3670_D010_S337D70R270_A006995_S075,2.39,16,8.3,6.841985087127807e-10,4.464,-2.593,178199,19.522,15.479,36.7029,36701547,617.0,4.464,0.0,1.635234435823546e-09,1.8674136321195144e-05,617.0,"36.557,15.342","(2.0, 3.0]",test,8.0933
3928,1.6881013251567922,0.4551217298903141,0.2760197661605688,2.1275158567982566,107231.0,72301.0,17.814170837402344,10.396428108215332,BS_manning003/E01267N3753E01646N3535-BS-M809_E01523N3692_D010_S112D30R270_A006995_S075,E01267N3753E01646N3535-BS-M809_E01523N3692_D010_S112D30R270_A006995_S075,1.13,26,8.0,6.1362312958624356e-09,3.321,-0.437,107231,17.814,15.2345,36.9278,36921523,927.0,3.321,0.0,6.933941364324551e-09,1.8674136321195144e-05,2045.0,"36.857,15.042","(1.0, 2.0]",test,8.0933
10890,1.5373039417569558,0.6145593383304806,0.1880237467898573,2.433139349684416,114213.0,61244.0,18.45284652709961,15.088380813598633,BS_4-8_manning003/E01267N3753E01646N3535-BS-M809_E01551N3692_D010_S112D90R090_A006995_S075,E01267N3753E01646N3535-BS-M809_E01551N3692_D010_S112D90R090_A006995_S075,2.8,14,8.3,3.837820444472601e-10,3.758,-3.759,114214,18.453,15.5157,36.9278,36921551,1188.0,3.759,0.0,1.074589724452328e-09,1.8674136321195144e-05,1960.0,"36.857,15.342","(2.0, 3.0]",test,8.0933
3478,1.447206198367729,0.5554200066664756,0.2091308956381827,2.178906583244385,115436.0,67264.0,18.546602249145508,14.950897216796877,BS_manning003/E01267N3753E01646N3535-BS-M792_E01470N3715_D010_S112D50R270_A004781_S062,E01267N3753E01646N3535-BS-M792_E01470N3715_D010_S112D50R270_A004781_S062,1.03,16,7.3,9.09203214780619e-09,3.671,-1.087,115436,18.547,14.7066,37.1526,37151470,237.0,3.671,0.0,9.364793112240376e-09,1.8674136321195144e-05,337.0,"36.857,14.442","(1.0, 2.0]",test,7.928
5429,1.4012963851190856,0.7062858714955944,0.131543736165673,2.763298258092404,129555.0,106727.0,17.722171783447266,11.326876640319824,BS_manning003/E01267N3753E01646N3535-BS-M809_E01488N3647_D010_S202D50R270_A006995_S075,E01267N3753E01646N3535-BS-M809_E01488N3647_D010_S202D50R270_A006995_S075,2.46,16,7.3,5.673692946089579e-09,4.455,-1.296,129575,17.722,14.8835,36.4781,36471488,70.0,4.455,0.0,1.3957284647380365e-08,1.8674136321195144e-05,70.0,"36.257,14.742","(2.0, 3.0]",test,8.0933
8154,1.3616717593472634,0.0219245772338825,0.5878474658207749,1.3686122326465724,86680.0,27436.0,10.379596710205078,10.426225662231444,BS_manning003/E01267N3753E01646N3535-BS-M809_E01502N3737_D010_S157D70R270_A006995_S075,E01267N3753E01646N3535-BS-M809_E01502N3737_D010_S157D70R270_A006995_S075,2.21,17,8.3,1.498122014455583e-09,4.456,-2.601,86680,10.38,15.0245,37.3774,37371502,919.0,4.456,0.0,3.310849651946838e-09,1.8674136321195144e-05,919.0,"37.157,14.742","(2.0, 3.0]",test,8.0933
