ID	Source_Region	Type	Mag	lon	lat	SlipModel	Scaling	RuptureModel	Rigidity	Depth	Strike	Dip	Rake	Length	Area	Slip	Location	LocationCount
E01517N3917E01678N3772-PS-Str_PYes_Hom-M824_E01620N3835_S000	E01517N3917E01678N3772	PS	8.24	16.2	38.35	S000	Str	PYes	Hom								38351620	25.0
E01517N3917E01678N3772-PS-Str_PYes_Hom-M809_E01620N3835_S000	E01517N3917E01678N3772	PS	8.09	16.2	38.35	S000	Str	PYes	Hom								38351620	25.0
E01517N3917E01678N3772-PS-Str_PNo_Hom-M809_E01620N3835_S000	E01517N3917E01678N3772	PS	8.09	16.2	38.35	S000	Str	PNo	Hom								38351620	25.0
E01517N3917E01678N3772-PS-Str_PYes_Var-M824_E01620N3835_S000	E01517N3917E01678N3772	PS	8.24	16.2	38.35	S000	Str	PYes	Var								38351620	25.0
E01517N3917E01678N3772-PS-Mur_PYes_Hom-M809_E01620N3835_S000	E01517N3917E01678N3772	PS	8.09	16.2	38.35	S000	Mur	PYes	Hom								38351620	25.0
E01517N3917E01678N3772-PS-Str_PYes_Var-M809_E01620N3835_S000	E01517N3917E01678N3772	PS	8.09	16.2	38.35	S000	Str	PYes	Var								38351620	25.0
E01517N3917E01678N3772-PS-Mur_PNo_Hom-M809_E01620N3835_S000	E01517N3917E01678N3772	PS	8.09	16.2	38.35	S000	Mur	PNo	Hom								38351620	25.0
E01517N3917E01678N3772-PS-Mur_PYes_Var-M809_E01620N3835_S000	E01517N3917E01678N3772	PS	8.09	16.2	38.35	S000	Mur	PYes	Var								38351620	25.0
E01517N3917E01678N3772-PS-Mur_PYes_Hom-M809_E01632N3846_S000	E01517N3917E01678N3772	PS	8.09	16.32	38.46	S000	Mur	PYes	Hom								38461632	15.0
E02113N3823E02873N3483-PS-Str_PYes_Hom-M861_E02340N3543_S002	E02113N3823E02873N3483	PS	8.61	23.4	35.43	S002	Str	PYes	Hom								35432340	44.0
E01517N3917E01678N3772-PS-Str_PNo_Var-M809_E01620N3835_S000	E01517N3917E01678N3772	PS	8.09	16.2	38.35	S000	Str	PNo	Var								38351620	25.0
E01517N3917E01678N3772-PS-Str_PYes_Hom-M792_E01598N3815_S000	E01517N3917E01678N3772	PS	7.92	15.98	38.15	S000	Str	PYes	Hom								38151598	28.0
E02020N3739E02658N3366-PS-Mur_PNo_Hom-M861_E02218N3646_S005	E02020N3739E02658N3366	PS	8.61	22.18	36.46	S005	Mur	PNo	Hom								36462218	42.0
E02113N3823E02873N3483-PS-Str_PNo_Hom-M888_E02358N3562_S002	E02113N3823E02873N3483	PS	8.88	23.58	35.62	S002	Str	PNo	Hom								35612358	79.0
E02113N3823E02873N3483-PS-Str_PNo_Hom-M888_E02358N3562_S001	E02113N3823E02873N3483	PS	8.88	23.58	35.62	S001	Str	PNo	Hom								35612358	79.0
E02113N3823E02873N3483-PS-Str_PNo_Hom-M888_E02358N3562_S004	E02113N3823E02873N3483	PS	8.88	23.58	35.62	S004	Str	PNo	Hom								35612358	79.0
E02113N3823E02873N3483-PS-Str_PNo_Hom-M888_E02358N3562_S005	E02113N3823E02873N3483	PS	8.88	23.58	35.62	S005	Str	PNo	Hom								35612358	79.0
E01517N3917E01678N3772-PS-Str_PNo_Hom-M809_E01632N3846_S000	E01517N3917E01678N3772	PS	8.09	16.32	38.46	S000	Str	PNo	Hom								38461632	15.0
E01517N3917E01678N3772-PS-Str_PNo_Hom-M809_E01619N3854_S000	E01517N3917E01678N3772	PS	8.09	16.19	38.54	S000	Str	PNo	Hom								38541619	12.0
E01517N3917E01678N3772-PS-Str_PYes_Hom-M809_E01632N3846_S000	E01517N3917E01678N3772	PS	8.09	16.32	38.46	S000	Str	PYes	Hom								38461632	15.0
