Index	Folder	PID	ID	Source_Region	Type	Scaling	Rupture Model	Rigidity	Mag	Slip Model	Lat	Long	max_flow_depth	inundated_pixels	max_eta	is_train	log_max_eta	square_max_eta
1	9_PS_2798	2504	E02020N3739E02658N3366-PS-Mur_PYes_Var-M895_E02260N3540_S003	E02020N3739E02658N3366	PS	Mur	PYes	Var	8.95	S003	35.4	22.6	5.45329	120829	2.951658	TRUE	0.47006604	8.712284949
2	4_PS_2798	1615	E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02226N3538_S004	E02020N3739E02658N3366	PS	Mur	PYes	Var	8.71	S004	35.38	22.26	3.8258443	29841	1.7782873	TRUE	0.25000194	3.162305721
3	5_PS_2798	1755	E02020N3739E02658N3366-PS-Str_PYes_Var-M888_E02146N3630_S005	E02020N3739E02658N3366	PS	Str	PYes	Var	8.88	S005	36.3	21.46	5.77351	90217	2.8157978	TRUE	0.44960147	7.92871725
4	PS_2798	1920	E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02184N3552_S002	E02020N3739E02658N3366	PS	Str	PYes	Hom	9.02	S002	35.52	21.84	6.1865234	152630	3.1774797	TRUE	0.50208277	10.09637724
5	5_PS_2798	124	E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02171N3544_S002	E02020N3739E02658N3366	PS	Str	PYes	Hom	8.8	S002	35.44	21.71	5.675004	50437	2.5069888	TRUE	0.3991524	6.284992843
6	5_PS_2798	1192	E02020N3739E02658N3366-PS-Str_PYes_Hom-M895_E02401N3455_S002	E02020N3739E02658N3366	PS	Str	PYes	Hom	8.95	S002	34.55	24.01	6.370816	75012	2.8922307	TRUE	0.46123293	8.364998422
7	4_PS_2798	2023	E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02226N3538_S001	E02020N3739E02658N3366	PS	Str	PYes	Hom	9.02	S001	35.38	22.26	6.429193	115645	3.6034963	TRUE	0.5567241	12.98518558
8	9_PS_2798	2128	E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02245N3515_S001	E02020N3739E02658N3366	PS	Str	PYes	Hom	9.02	S001	35.15	22.45	9.023411	130158	3.3658671	TRUE	0.527097	11.32906133
9	10_PS_2803	1693	E01548N3896E01854N3659-PS-Str_PYes_Hom-M837_E01791N3825_S000	E01548N3896E01854N3659	PS	Str	PYes	Hom	8.37	S000	38.25	17.91	3.8377047	35544	1.6226436	TRUE	0.21022314	2.632972253
10	6_PS_2798	1814	E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01734N3775_S004	E01548N3896E01854N3659	PS	Str	PYes	Var	8.61	S004	37.75	17.34	6.857118	225123	3.6117654	TRUE	0.5577195	13.0448493
11	10_PS_2803	355	E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02137N3572_S004	E02020N3739E02658N3366	PS	Str	PYes	Var	8.71	S004	35.72	21.37	5.4179764	52127	2.8016102	TRUE	0.44740772	7.849019713
12	9_PS_2798	306	E02020N3739E02658N3366-PS-Mur_PYes_Hom-M850_E02184N3552_S000	E02020N3739E02658N3366	PS	Mur	PYes	Hom	8.5	S000	35.52	21.84	2.0355263	11265	0.95241344	TRUE	-0.021174485	0.907091361
13	PS_2798	1242	E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01683N3810_S003	E01548N3896E01854N3659	PS	Str	PYes	Var	8.61	S003	38.1	16.83	6.953253	224498	3.9703364	TRUE	0.5988273	15.76357113
14	PS_2798	1437	E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02253N3503_S004	E02020N3739E02658N3366	PS	Str	PYes	Var	8.95	S004	35.03	22.53	8.343031	140453	3.1991994	TRUE	0.5050413	10.2348768
15	9_PS_2798	1573	E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02206N3471_S005	E02020N3739E02658N3366	PS	Str	PYes	Var	8.71	S005	34.71	22.06	5.8632655	53341	2.971583	TRUE	0.47298786	8.830305526
16	8_PS_2798	2151	E02020N3739E02658N3366-PS-Str_PYes_Var-M837_E02041N3679_S000	E02020N3739E02658N3366	PS	Str	PYes	Var	8.37	S000	36.79	20.41	2.5394285	15972	0.69604784	TRUE	-0.15736091	0.484482596
17	5_PS_2798	2187	E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02236N3526_S003	E02020N3739E02658N3366	PS	Str	PYes	Var	8.95	S003	35.26	22.36	8.142731	129407	3.0138159	TRUE	0.4791167	9.083086279
18	10_PS_2803	53	E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02229N3514_S005	E02020N3739E02658N3366	PS	Str	PYes	Hom	9.02	S005	35.14	22.29	8.937619	99685	3.418256	TRUE	0.5338046	11.68447408
19	3_PS_2798	1049	E01548N3896E01854N3659-PS-Str_PYes_Var-M809_E01653N3723_S000	E01548N3896E01854N3659	PS	Str	PYes	Var	8.09	S000	37.23	16.53	3.5114107	29366	1.493871	TRUE	0.17431308	2.231650565
20	PS_2798	249	E02020N3739E02658N3366-PS-Mur_PYes_Hom-M861_E02347N3503_S003	E02020N3739E02658N3366	PS	Mur	PYes	Hom	8.61	S003	35.03	23.47	1.938297	10786	0.6842127	TRUE	-0.16480888	0.468147019
21	8_PS_2798	1605	E01577N3897E01966N3571-PS-Str_PYes_Var-M861_E01739N3699_S004	E01577N3897E01966N3571	PS	Str	PYes	Var	8.61	S004	36.99	17.39	7.0391545	281074	3.604592	TRUE	0.5568561	12.99308349
22	3_PS_2798	2071	E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02264N3453_S003	E02020N3739E02658N3366	PS	Str	PYes	Var	8.61	S003	34.53	22.64	4.003669	35085	1.5464923	TRUE	0.18934777	2.391638434
23	PS_2798	2052	E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01734N3775_S005	E01548N3896E01854N3659	PS	Str	PYes	Var	8.61	S005	37.75	17.34	6.7701435	186525	3.7027187	TRUE	0.5685207	13.71012577
24	8_PS_2798	2220	E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02226N3538_S002	E02020N3739E02658N3366	PS	Str	PYes	Hom	8.8	S002	35.38	22.26	5.2035036	36668	2.0082493	TRUE	0.3028176	4.033065251
25	10_PS_2803	2484	E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02174N3531_S002	E02020N3739E02658N3366	PS	Mur	PYes	Var	8.71	S002	35.31	21.74	3.8334737	31992	1.7097126	TRUE	0.23292312	2.923117175
26	3_PS_2798	465	E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02137N3572_S002	E02020N3739E02658N3366	PS	Str	PYes	Hom	8.61	S002	35.72	21.37	4.2340145	31192	2.3946595	TRUE	0.37924376	5.734394121
27	3_PS_2798	72	E01964N3926E02184N3685-PS-Str_PYes_Var-M837_E02048N3695_S000	E01964N3926E02184N3685	PS	Str	PYes	Var	8.37	S000	36.95	20.48	2.4111056	15582	0.6848377	TRUE	-0.16441233	0.469002675
28	PS_2798	1308	E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01701N3725_S004	E01548N3896E01854N3659	PS	Str	PYes	Var	8.61	S004	37.25	17.01	6.6643424	215906	3.5260055	TRUE	0.547283	12.43271479
29	7_PS_2798	86	E02020N3739E02658N3366-PS-Mur_PYes_Hom-M888_E02201N3524_S003	E02020N3739E02658N3366	PS	Mur	PYes	Hom	8.88	S003	35.24	22.01	5.133336	37609	2.2285533	TRUE	0.34802303	4.966449811
30	2_PS_2798	2261	E01548N3896E01854N3659-PS-Str_PYes_Var-M837_E01644N3837_S000	E01548N3896E01854N3659	PS	Str	PYes	Var	8.37	S000	38.37	16.44	4.012147	35189	1.6861744	TRUE	0.22690248	2.843184107
31	10_PS_2803	424	E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01723N3765_S002	E01548N3896E01854N3659	PS	Str	PYes	Hom	8.61	S002	37.65	17.23	6.045503	152322	3.078444	TRUE	0.48833126	9.476817461
32	7_PS_2798	656	E02020N3739E02658N3366-PS-Mur_PYes_Var-M888_E02188N3566_S002	E02020N3739E02658N3366	PS	Mur	PYes	Var	8.88	S002	35.66	21.88	4.5687494	77943	2.380656	TRUE	0.37669665	5.66752299
33	9_PS_2798	1658	E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02184N3552_S004	E02020N3739E02658N3366	PS	Str	PYes	Hom	9.02	S004	35.52	21.84	7.799156	119226	3.2344556	TRUE	0.5098012	10.46170303
34	7_PS_2798	508	E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02264N3453_S002	E02020N3739E02658N3366	PS	Str	PYes	Hom	8.61	S002	34.53	22.64	5.1677284	28214	2.2215421	TRUE	0.34665456	4.935249302
35	9_PS_2798	837	E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01721N3784_S002	E01548N3896E01854N3659	PS	Str	PYes	Hom	8.61	S002	37.84	17.21	5.9873557	161393	3.475081	TRUE	0.5409649	12.07618796
36	10_PS_2803	41	E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01700N3744_S001	E01548N3896E01854N3659	PS	Str	PYes	Hom	8.61	S001	37.44	17	5.0215006	102933	3.543868	TRUE	0.5494775	12.5590004
37	7_PS_2798	545	E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02209N3537_S002	E02020N3739E02658N3366	PS	Str	PYes	Var	8.8	S002	35.37	22.09	5.484269	55066	2.3541672	TRUE	0.37183732	5.542103206
38	10_PS_2803	524	E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02128N3626_S002	E02020N3739E02658N3366	PS	Str	PYes	Hom	8.88	S002	36.26	21.28	5.964589	102632	2.8219447	TRUE	0.4505485	7.96337189
39	7_PS_2798	946	E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02237N3564_S005	E02020N3739E02658N3366	PS	Str	PYes	Hom	8.8	S005	35.64	22.37	5.662797	36330	2.278859	TRUE	0.35771742	5.193198342
40	7_PS_2798	1285	E02020N3739E02658N3366-PS-Mur_PYes_Var-M895_E02243N3539_S004	E02020N3739E02658N3366	PS	Mur	PYes	Var	8.95	S004	35.39	22.43	6.607721	123561	2.5740426	TRUE	0.4106157	6.625695307
41	3_PS_2798	714	E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02263N3578_S002	E02020N3739E02658N3366	PS	Str	PYes	Hom	8.8	S002	35.78	22.63	5.937459	35373	2.4971478	TRUE	0.39744425	6.235747135
42	9_PS_2798	2018	E02020N3739E02658N3366-PS-Str_PNo_Var-M792_E02135N3710_S000	E02020N3739E02658N3366	PS	Str	PNo	Var	7.92	S000	37.1	21.35	0.65613216	2971	0.1723758	TRUE	-0.7635237	0.029713416
43	5_PS_2798	2057	E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02152N3603_S005	E02020N3739E02658N3366	PS	Str	PYes	Hom	8.88	S005	36.03	21.52	8.301832	79597	3.3729517	TRUE	0.52801013	11.37680317
44	3_PS_2798	1766	E02020N3739E02658N3366-PS-Mur_PYes_Var-M880_E02253N3503_S004	E02020N3739E02658N3366	PS	Mur	PYes	Var	8.8	S004	35.03	22.53	6.612298	50537	2.3653486	TRUE	0.37389514	5.594874
45	3_PS_2798	200	E02020N3739E02658N3366-PS-Str_PYes_Var-M850_E02401N3455_S000	E02020N3739E02658N3366	PS	Str	PYes	Var	8.5	S000	34.55	24.01	1.2880033	6791	0.43935105	TRUE	-0.35718834	0.193029345
46	9_PS_2798	1065	E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02195N3500_S003	E02020N3739E02658N3366	PS	Str	PYes	Var	8.71	S003	35	21.95	5.036499	36312	2.189642	TRUE	0.3403731	4.794532088
47	10_PS_2803	1941	E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01756N3795_S003	E01548N3896E01854N3659	PS	Str	PYes	Var	8.61	S003	37.95	17.56	6.2879577	177102	3.1760268	TRUE	0.50188416	10.08714623
