ID,mean_prob
E01267N3753E01646N3535-BS-M754_E01498N3715_D010_S067D50R090_A001972_S039,3.4099388198944863e-06
E01267N3753E01646N3535-BS-M732_E01527N3715_D010_S067D50R090_A001180_S030,3.51757208726462e-06
E01267N3753E01646N3535-BS-M707_E01527N3715_D010_S067D50R090_A000668_S023,5.3944995571671295e-06
E01267N3753E01646N3535-BS-M754_E01502N3737_D010_S247D30R090_A001972_S039,3.2454593142308246e-06
E01267N3753E01646N3535-BS-M754_E01502N3737_D091_S247D30R090_A001972_S039,3.2454593142308246e-06
E01267N3753E01646N3535-BS-M754_E01527N3715_D010_S067D50R090_A001972_S039,2.736397469244707e-06
E01267N3753E01646N3535-BS-M754_E01502N3737_D172_S247D30R090_A001972_S039,3.2454593142308246e-06
E01267N3753E01646N3535-BS-M732_E01502N3737_D076_S247D30R090_A001180_S030,3.126443606054732e-06
E01267N3753E01646N3535-BS-M754_E01527N3715_D091_S067D50R090_A001972_S039,2.736397469244707e-06
E01267N3753E01646N3535-BS-M774_E01502N3737_D107_S247D30R090_A003139_S050,2.119412617644171e-06
E01267N3753E01646N3535-BS-M774_E01498N3715_D010_S067D50R090_A003139_S050,2.2270488949084714e-06
E01267N3753E01646N3535-BS-M774_E01502N3737_D010_S247D30R090_A003139_S050,2.119412617644171e-06
E01267N3753E01646N3535-BS-M774_E01527N3715_D107_S067D50R090_A003139_S050,1.7864681209354786e-06
E01267N3753E01646N3535-BS-M732_E01527N3715_D076_S067D50R090_A001180_S030,3.51757208726462e-06
E01267N3753E01646N3535-BS-M774_E01527N3715_D010_S067D50R090_A003139_S050,1.7864681209354786e-06
E01267N3753E01646N3535-BS-M732_E01502N3737_D010_S247D30R090_A001180_S030,3.126443606054732e-06
E01267N3753E01646N3535-BS-M754_E01527N3715_D172_S067D50R090_A001972_S039,2.736397469244707e-06
E01267N3753E01646N3535-BS-M732_E01502N3737_D142_S247D30R090_A001180_S030,3.126443606054732e-06
E01267N3753E01646N3535-BS-M707_E01502N3737_D062_S247D30R090_A000668_S023,5.112703163451752e-06
E01267N3753E01646N3535-BS-M707_E01502N3737_D010_S247D30R090_A000668_S023,5.112703163451752e-06
E01267N3753E01646N3535-BS-M792_E01498N3715_D010_S067D50R090_A004781_S062,1.2390152666186682e-06
E01267N3753E01646N3535-BS-M792_E01498N3715_D125_S067D50R090_A004781_S062,1.2390152666186682e-06
E01267N3753E01646N3535-BS-M792_E01502N3737_D125_S247D30R090_A004781_S062,1.180396609558128e-06
E01267N3753E01646N3535-BS-M792_E01502N3737_D010_S247D30R090_A004781_S062,1.180396609558128e-06
E01267N3753E01646N3535-BS-M792_E01527N3715_D125_S067D50R090_A004781_S062,1.0000512874025151e-06
E01267N3753E01646N3535-BS-M732_E01502N3737_D208_S247D30R090_A001180_S030,3.126443606054732e-06
E01267N3753E01646N3535-BS-M792_E01527N3715_D010_S067D50R090_A004781_S062,1.0000512874025151e-06
