ID,P05,P16,P50,P84,P95,Pmean
E01267N3753E01646N3535-BS-M754_E01498N3715_D010_S067D50R090_A001972_S039,4.6907759519790996e-07,8.61143477889128e-07,1.9851432052560002e-06,5.99988772349804e-06,1.2172053100728297e-05,3.4099388198944863e-06
E01267N3753E01646N3535-BS-M732_E01527N3715_D010_S067D50R090_A001180_S030,6.5379705628251e-07,1.116691513060609e-06,2.3237884566949153e-06,5.844921538101806e-06,1.109287521790395e-05,3.51757208726462e-06
E01267N3753E01646N3535-BS-M707_E01527N3715_D010_S067D50R090_A000668_S023,1.172090338719422e-06,2.0464780178236383e-06,3.9976235158925e-06,8.796212113935059e-06,1.548536351274676e-05,5.3944995571671295e-06
E01267N3753E01646N3535-BS-M754_E01502N3737_D010_S247D30R090_A001972_S039,4.4146355544227504e-07,8.40397616368352e-07,1.890028947513e-06,5.7826200627852805e-06,1.1062374107411248e-05,3.2454593142308246e-06
E01267N3753E01646N3535-BS-M754_E01502N3737_D091_S247D30R090_A001972_S039,4.4146355544227504e-07,8.40397616368352e-07,1.890028947513e-06,5.7826200627852805e-06,1.1062374107411248e-05,3.2454593142308246e-06
E01267N3753E01646N3535-BS-M754_E01527N3715_D010_S067D50R090_A001972_S039,3.6961688615608666e-07,7.182665151571253e-07,1.616421445800335e-06,4.885425875844521e-06,9.553841924620632e-06,2.736397469244707e-06
E01267N3753E01646N3535-BS-M754_E01502N3737_D172_S247D30R090_A001972_S039,4.4146355544227504e-07,8.40397616368352e-07,1.890028947513e-06,5.7826200627852805e-06,1.1062374107411248e-05,3.2454593142308246e-06
E01267N3753E01646N3535-BS-M732_E01502N3737_D076_S247D30R090_A001180_S030,5.92208823082635e-07,9.86618022324336e-07,2.08071301657275e-06,5.35684554098148e-06,9.432970455577491e-06,3.126443606054732e-06
E01267N3753E01646N3535-BS-M754_E01527N3715_D091_S067D50R090_A001972_S039,3.6961688615608666e-07,7.182665151571253e-07,1.616421445800335e-06,4.885425875844521e-06,9.553841924620632e-06,2.736397469244707e-06
E01267N3753E01646N3535-BS-M774_E01502N3737_D107_S247D30R090_A003139_S050,1.195206521242455e-07,3.9099993758904e-07,1.0622166729357e-06,3.97482503989788e-06,7.771331749147046e-06,2.119412617644171e-06
E01267N3753E01646N3535-BS-M774_E01498N3715_D010_S067D50R090_A003139_S050,1.25118968856597e-07,4.10587277841912e-07,1.10331013986945e-06,4.155242949386099e-06,8.457172856654546e-06,2.2270488949084714e-06
E01267N3753E01646N3535-BS-M774_E01502N3737_D010_S247D30R090_A003139_S050,1.195206521242455e-07,3.9099993758904e-07,1.0622166729357e-06,3.97482503989788e-06,7.771331749147046e-06,2.119412617644171e-06
E01267N3753E01646N3535-BS-M774_E01527N3715_D107_S067D50R090_A003139_S050,1.0140221848285254e-07,3.3881921238360604e-07,8.96530335980875e-07,3.2925233651361497e-06,6.271526789351735e-06,1.7864681209354786e-06
E01267N3753E01646N3535-BS-M732_E01527N3715_D076_S067D50R090_A001180_S030,6.5379705628251e-07,1.116691513060609e-06,2.3237884566949153e-06,5.844921538101806e-06,1.109287521790395e-05,3.51757208726462e-06
E01267N3753E01646N3535-BS-M774_E01527N3715_D010_S067D50R090_A003139_S050,1.0140221848285254e-07,3.3881921238360604e-07,8.96530335980875e-07,3.2925233651361497e-06,6.271526789351735e-06,1.7864681209354786e-06
E01267N3753E01646N3535-BS-M732_E01502N3737_D010_S247D30R090_A001180_S030,5.92208823082635e-07,9.86618022324336e-07,2.08071301657275e-06,5.35684554098148e-06,9.432970455577491e-06,3.126443606054732e-06
E01267N3753E01646N3535-BS-M754_E01527N3715_D172_S067D50R090_A001972_S039,3.6961688615608666e-07,7.182665151571253e-07,1.616421445800335e-06,4.885425875844521e-06,9.553841924620632e-06,2.736397469244707e-06
E01267N3753E01646N3535-BS-M732_E01502N3737_D142_S247D30R090_A001180_S030,5.92208823082635e-07,9.86618022324336e-07,2.08071301657275e-06,5.35684554098148e-06,9.432970455577491e-06,3.126443606054732e-06
E01267N3753E01646N3535-BS-M707_E01502N3737_D062_S247D30R090_A000668_S023,1.153825385752548e-06,1.9379279040321603e-06,3.7516288337300997e-06,8.180812522391327e-06,1.4433482943883791e-05,5.112703163451752e-06
E01267N3753E01646N3535-BS-M707_E01502N3737_D010_S247D30R090_A000668_S023,1.153825385752548e-06,1.9379279040321603e-06,3.7516288337300997e-06,8.180812522391327e-06,1.4433482943883791e-05,5.112703163451752e-06
E01267N3753E01646N3535-BS-M792_E01498N3715_D010_S067D50R090_A004781_S062,0.0,0.0,1.70144875046805e-07,1.993623400880542e-06,5.991681739667999e-06,1.2390152666186682e-06
E01267N3753E01646N3535-BS-M792_E01498N3715_D125_S067D50R090_A004781_S062,0.0,0.0,1.70144875046805e-07,1.993623400880542e-06,5.991681739667999e-06,1.2390152666186682e-06
E01267N3753E01646N3535-BS-M792_E01502N3737_D125_S247D30R090_A004781_S062,0.0,0.0,1.6410752305929e-07,1.909661388224938e-06,5.653679209323972e-06,1.180396609558128e-06
E01267N3753E01646N3535-BS-M792_E01502N3737_D010_S247D30R090_A004781_S062,0.0,0.0,1.6410752305929e-07,1.909661388224938e-06,5.653679209323972e-06,1.180396609558128e-06
E01267N3753E01646N3535-BS-M792_E01527N3715_D125_S067D50R090_A004781_S062,0.0,0.0,1.3955825080854998e-07,1.6374350467397321e-06,4.792880689311222e-06,1.0000512874025151e-06
E01267N3753E01646N3535-BS-M732_E01502N3737_D208_S247D30R090_A001180_S030,5.92208823082635e-07,9.86618022324336e-07,2.08071301657275e-06,5.35684554098148e-06,9.432970455577491e-06,3.126443606054732e-06
E01267N3753E01646N3535-BS-M792_E01527N3715_D010_S067D50R090_A004781_S062,0.0,0.0,1.3955825080854998e-07,1.6374350467397321e-06,4.792880689311222e-06,1.0000512874025151e-06
E01267N3753E01646N3535-BS-M809_E01498N3715_D010_S067D50R090_A006995_S075,0.0,0.0,1.48980222813735e-08,1.3731154656583673e-06,5.0391105011761935e-06,9.685469907493515e-07
E01267N3753E01646N3535-BS-M707_E01502N3737_D115_S247D30R090_A000668_S023,1.153825385752548e-06,1.9379279040321603e-06,3.7516288337300997e-06,8.180812522391327e-06,1.4433482943883791e-05,5.112703163451752e-06
E01267N3753E01646N3535-BS-M774_E01498N3715_D107_S067D50R090_A003139_S050,1.25118968856597e-07,4.10587277841912e-07,1.10331013986945e-06,4.155242949386099e-06,8.457172856654546e-06,2.2270488949084714e-06
E01267N3753E01646N3535-BS-M732_E01498N3715_D010_S067D50R090_A001180_S030,6.1274866155795e-07,1.04014648364502e-06,2.169375149062125e-06,5.343163061525729e-06,1.022053880079228e-05,3.28401093230258e-06
E01108N3882E01527N3690-BS-M754_E01506N3760_D010_S247D30R090_A003524_S022,0.0,0.0,4.7625977037597e-07,1.8401235324501239e-06,2.3601488346012197e-06,7.916408343112657e-07
E01267N3753E01646N3535-BS-M707_E01527N3715_D062_S067D50R090_A000668_S023,1.172090338719422e-06,2.0464780178236383e-06,3.9976235158925e-06,8.796212113935059e-06,1.548536351274676e-05,5.3944995571671295e-06
E01267N3753E01646N3535-BS-M732_E01527N3715_D142_S067D50R090_A001180_S030,6.5379705628251e-07,1.116691513060609e-06,2.3237884566949153e-06,5.844921538101806e-06,1.109287521790395e-05,3.51757208726462e-06
E01267N3753E01646N3535-BS-M809_E01527N3715_D010_S067D50R090_A006995_S075,0.0,0.0,1.22286329831835e-08,1.171326814153344e-06,4.149899384534479e-06,7.828486397060102e-07
E01267N3753E01646N3535-BS-M707_E01502N3737_D168_S247D30R090_A000668_S023,1.153825385752548e-06,1.9379279040321603e-06,3.7516288337300997e-06,8.180812522391327e-06,1.4433482943883791e-05,5.112703163451752e-06
E01108N3882E01527N3690-BS-M774_E01506N3760_D010_S247D30R090_A005608_S028,0.0,0.0,1.9524236880997e-07,1.4731825910418718e-06,1.9281278036512696e-06,5.826410089264228e-07
E01108N3882E01527N3690-BS-M774_E01474N3737_D010_S247D30R090_A005608_S028,0.0,0.0,1.7668808327695998e-07,1.3125337655281919e-06,1.73247161973888e-06,5.175883055952115e-07
E01470N3877E01631N3641-BS-M774_E01534N3760_D010_S202D30R090_A005608_S028,5.957126106395601e-09,1.1259100988550721e-07,4.3252322059789996e-07,1.1677805400111757e-06,2.4622184345260994e-06,7.115146282454453e-07
E01108N3882E01527N3690-BS-M792_E01474N3737_D010_S247D30R090_A008541_S034,0.0,0.0,3.2849968372479995e-08,1.0339399673368322e-06,1.4600076011668e-06,3.791841797896052e-07
E01108N3882E01527N3690-BS-M792_E01477N3760_D010_S247D30R090_A008541_S034,0.0,0.0,3.556620950461e-08,1.154517536244324e-06,1.6121799590360997e-06,4.2479101035862077e-07
E01267N3753E01646N3535-BS-M754_E01502N3737_D010_S067D50R090_A001972_S039,4.96190534204795e-08,8.902552605360241e-08,2.056015178463e-07,5.882351982516119e-07,1.2577797518372048e-06,3.6015256700228657e-07
E01267N3753E01646N3535-BS-M809_E01502N3737_D144_S247D30R090_A006995_S075,0.0,0.0,7.0780031845102505e-09,6.695439562766279e-07,2.4818697657218756e-06,4.6129559973134096e-07
