scenario,max_flow_depth,inundated_pixels,max_eta,is_train,log_max_eta,square_max_eta
3_PS_2798/1583_E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01742N3823_S005,6.4423532,235543,3.730759,TRUE,0.5717972,13.91856272
2_PS_2798/2730_E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02330N3507_S002,4.4436007,36750,2.0653973,TRUE,0.3150036,4.265866007
9_PS_2798/0741_E01548N3896E01854N3659-PS-Mur_PYes_Hom-M732_E01692N3696_S000,0.75059044,3272,0.217837,TRUE,-0.66186833,0.047452959
5_PS_2798/2389_E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02361N3475_S004,11.6298275,237883,4.182156,TRUE,0.62140024,17.49042881
5_PS_2798/0118_E01548N3896E01854N3659-PS-Str_PYes_Var-M754_E01666N3714_S000,1.2691278,6139,0.37523365,TRUE,-0.42569822,0.140800292
4_PS_2798/0148_E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02304N3498_S003,11.5459,165308,4.253943,TRUE,0.6287917,18.09603105
3_PS_2798/0242_E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01703N3706_S005,7.6017585,294667,4.894794,TRUE,0.6897344,23.9590083
10_PS_2803/0433_E02020N3739E02658N3366-PS-Mur_PYes_Var-M888_E02321N3496_S002,6.5181503,111099,2.979382,TRUE,0.4741262,8.876717102
6_PS_2798/1315_E02113N3823E02873N3483-PS-Str_PNo_Var-M861_E02287N3633_S004,2.318037,15289,0.78822374,TRUE,-0.10335049,0.621296664
6_PS_2798/0214_E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01780N3796_S001,7.9766173,250377,4.50438,TRUE,0.653635,20.28943918
7_PS_2798/0102_E01849N3766E02950N3220-PS-Str_PYes_Hom-M837_E02051N3574_S000,1.761797,8855,0.6967783,TRUE,-0.15690538,0.485499999
2_PS_2798/0141_E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01742N3823_S002,7.572767,285988,3.8865333,TRUE,0.5895624,15.10514109
3_PS_2798/1762_E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02361N3475_S001,11.6298275,237883,4.182156,TRUE,0.62140024,17.49042881
3_PS_2798/1021_E02020N3739E02658N3366-PS-Mur_PYes_Var-M880_E02171N3606_S001,4.5779047,57466,1.909868,TRUE,0.28100336,3.647595777
6_PS_2798/1507_E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02441N3439_S001,12.461443,294391,4.7202663,TRUE,0.6739665,22.28091394
4_PS_2798/0174_E01548N3896E01854N3659-PS-Str_PYes_Var-M837_E01676N3743_S000,5.159162,68885,2.6332808,TRUE,0.42049718,6.934167772
4_PS_2798/0033_E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02391N3445_S002,2.937314,16499,1.3200363,TRUE,0.12058587,1.742495833
8_PS_2798/0418_E01548N3896E01854N3659-PS-Mur_PYes_Hom-M850_E01779N3815_S000,3.263936,25626,1.87318,TRUE,0.27257952,3.508803312
PS_2798/0308_E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01734N3775_S003,6.8677993,237169,4.6010427,TRUE,0.6628563,21.16959393
5_PS_2798/0676_E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02284N3476_S005,5.697772,90707,2.4896686,TRUE,0.39614153,6.198449738
PS_2798/2037_E01577N3897E01966N3571-PS-Str_PYes_Var-M861_E01774N3710_S002,8.756868,290226,4.998481,TRUE,0.69883806,24.98481231
2_PS_2798/0013_E02020N3739E02658N3366-PS-Mur_PYes_Hom-M895_E02328N3482_S004,8.512518,85817,3.224428,TRUE,0.50845265,10.39693593
8_PS_2798/0050_E02020N3739E02658N3366-PS-Mur_PYes_Hom-M888_E02408N3442_S005,6.985757,58820,2.7515388,TRUE,0.43957564,7.570965768
6_PS_2798/2327_E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01804N3797_S003,7.558308,265034,4.226484,TRUE,0.6259792,17.863167
2_PS_2798/0390_E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01804N3797_S005,7.9805236,328801,3.8352528,TRUE,0.583794,14.70916404
5_PS_2798/1846_E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02253N3527_S005,4.638917,22425,1.9480351,TRUE,0.2895968,3.794840751
5_PS_2798/2468_E01849N3766E02950N3220-PS-Mur_PYes_Var-M792_E02002N3682_S000,1.9128366,11313,0.61739933,TRUE,-0.20943384,0.381181933
8_PS_2798/1041_E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02478N3458_S004,9.513399,258773,3.9722998,TRUE,0.599042,15.7791657
