ID	max_flow_depth	inundated_pixels	max_eta	is_train	log_max_eta	square_max_eta	folder	pid	Source_Region	Mag	lon	lat	Location	LocationCount	DepCat	InuCat
3_PS_2798/1583_E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01742N3823_S005	6.4423532	235543	3.730759	True	0.5717972	13.91856272	3_PS_2798	1583	E01548N3896E01854N3659	8.61	17.42	38.23	38221742	26.0	4	5
2_PS_2798/2730_E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02330N3507_S002	4.4436007	36750	2.0653973	True	0.3150036	4.265866007	2_PS_2798	2730	E02020N3739E02658N3366	8.71	23.3	35.07	35072330	28.0	3	3
9_PS_2798/0741_E01548N3896E01854N3659-PS-Mur_PYes_Hom-M732_E01692N3696_S000	0.75059044	3272	0.217837	True	-0.66186833	0.047452959	9_PS_2798	0741	E01548N3896E01854N3659	7.32	16.92	36.96	36961692	18.0	1	1
5_PS_2798/2389_E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02361N3475_S004	11.6298275	237883	4.182156	True	0.62140024	17.49042881	5_PS_2798	2389	E02020N3739E02658N3366	8.95	23.61	34.75	34752361	63.0	5	5
5_PS_2798/0118_E01548N3896E01854N3659-PS-Str_PYes_Var-M754_E01666N3714_S000	1.2691278	6139	0.37523365	True	-0.42569822	0.140800292	5_PS_2798	0118	E01548N3896E01854N3659	7.54	16.66	37.14	37141666	15.0	2	1
4_PS_2798/0148_E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02304N3498_S003	11.5459	165308	4.253943	True	0.6287917	18.09603105	4_PS_2798	0148	E02020N3739E02658N3366	9.02	23.04	34.98	34972304	53.0	5	5
3_PS_2798/0242_E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01703N3706_S005	7.6017585	294667	4.894794	True	0.6897344	23.9590083	3_PS_2798	0242	E01548N3896E01854N3659	8.61	17.03	37.06	37061703	19.0	5	5
10_PS_2803/0433_E02020N3739E02658N3366-PS-Mur_PYes_Var-M888_E02321N3496_S002	6.5181503	111099	2.979382	True	0.4741262	8.876717102	10_PS_2803	0433	E02020N3739E02658N3366	8.88	23.21	34.96	34962321	60.0	4	5
6_PS_2798/1315_E02113N3823E02873N3483-PS-Str_PNo_Var-M861_E02287N3633_S004	2.318037	15289	0.78822374	True	-0.10335049	0.621296664	6_PS_2798	1315	E02113N3823E02873N3483	8.61	22.87	36.33	36332287	33.0	3	2
6_PS_2798/0214_E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01780N3796_S001	7.9766173	250377	4.50438	True	0.653635	20.28943918	6_PS_2798	0214	E01548N3896E01854N3659	8.61	17.8	37.96	37961780	22.0	5	5
