Region	Type	UL_Lon	UL_Lat	LR_Lon	LR_Lat
E01267N3753E01646N3535	BS	12.67	37.53	16.46	35.35
E01108N3882E01527N3690	BS	11.08	38.82	15.27	36.9
E01470N3877E01631N3641	BS	14.7	38.77	16.31	36.41
E01889N4173E02097N3847	BS	18.89	41.73	20.97	38.47
E01517N3917E01678N3772	BS/PS	15.17	39.17	16.78	37.72
E01446N4259E02038N3783	BS	14.46	42.59	20.38	37.83
E01380N4178E01687N3892	BS	13.8	41.78	16.87	38.92
E01598N4052E01840N3892	BS	15.98	40.52	18.4	38.92
E01522N3585E03578N2685	BS	15.22	35.85	35.78	26.85
E00979N4372E01586N3827	BS	9.79	43.72	15.86	38.27
E01548N3896E01854N3659	BS/PS	15.48	38.96	18.54	36.59
E01577N3897E01966N3571	BS/PS	15.77	38.97	19.66	35.71
E01074N3655E02165N3000	BS	10.74	36.55	21.65	30
E01849N3766E02950N3220	BS/PS	18.49	37.66	29.5	32.2
E01964N3926E02184N3685	BS/PS	19.64	39.26	21.84	36.85
E02020N3739E02658N3366	BS/PS	20.2	37.39	26.58	33.66
E02113N3823E02873N3483	BS/PS	21.13	38.23	28.73	34.83
E02872N3705E03360N3467	PS	28.72	37.05	33.6	34.67
E02643N3661E02922N3454	PS	26.43	36.61	29.22	34.54
E02922N3596E03202N3383	PS	29.22	35.96	32.02	33.83
E03177N3588E03306N3420	PS	31.77	35.88	33.06	34.2
E03207N3695E03590N3419	PS	32.07	36.95	35.9	34.19
