Foglio,Value
AG202,2234900
AG203,9380600
AG204,189756700
AG205,29336100
AG206,2752000
AG207,26355000
AG208,57966900
AG209,136417400
AG210,73955000
AG211,1720000
AG212,5730000
AG213,3394000
AG214,2350500
AG216,5622000
AG217,2771700
AG218,12064000
AG219,16800
CR192,24542700
CR193,9338400
CR194,68192600
CR195,7493500
CR196,9835500
CR197,16988200
CR198,9100300
CR199,1583400
CR200,1166900
CR201,3265100
CR220,25900
CR221,307300
CT029,649821200
CT030,154484600
CT031,434748400
CT033,504916000
CT034,72468000
CT036,163794000
CT037,515041400
CT038,672542000
CT039,251494000
CT040,51849600
CT041,828000
CT042,118416000
CT043,120416000
CT044,806000
CT045,111132000
CT055,172667400
CT056,141516000
CT060,37791000
CT062,73809000
CT063,241352000
CT065,674803100
CT067,77448700
CT070,378260500
CT071,1207905000
CT077,169112000
CT080,475685000
CT081,22650000
CT082,880757800
CT084,18141000
CT085,685741600
CT086,5555000
CT089,189219000
CT090,258620400
CT092,16430100
CT093,10057000
CT094,699902200
CT095,298425300
CT096,374201800
CT097,433232800
CT100,232562800
CT101,228443000
CT102,1528000
CT103,98000
CT104,26600000
CT105,308333000
CT106,30079000
CT107,292406600
CT108,387871000
CT109,184070300
CT110,268112400
CT111,113954800
CT112,72872000
CT113,514347200
CT114,179326200
CT115,300067000
CT116,845549000
CT117,1588000
CT119,115474700
CT120,361200
CT121,5661600
CT123,8021300
CT126,237737500
CT127,401000
CT128,23823900
CT129,3511312100
CT131,187000
CT132,169000
CT134,70595000
CT138,15951300
CT139,915952400
CT140,330400
CT141,526000
CT142,268462900
CT143,43720500
CT144,511332900
CT145,26034200
CT146,471348000
CT147,117068000
CT148,134339200
CT149,44124700
CT150,1206000
CT151,25047400
CT152,389740200
CT153,659993200
CT154,246208400
CT155,751591600
CT156,7091700
CT165,828100
CT166,9583400
CT168,4858700
CT169,2126065400
CT170,7844900
CT171,976950200
CT172,10961200
CT173,6172000
CT174,47774000
CT175,50523900
CT176,680400
CT177,166624200
CT178,132888700
CT179,97489700
CT180,8069300
CT181,63412700
CT182,10660000
CT183,68313300
CT184,1127000
CT185,5663900
CT186,16723500
CT187,6921000
CT188,150000
LT191,72800
