lat,lon,intensity
37.31034,15.07326,3
37.31034,15.07338,3
37.31034,15.07349,3
37.31034,15.07361,3
37.31034,15.07372,3
37.31034,15.07383,3
37.31034,15.07395,3
37.31034,15.07406,3
37.31034,15.07417,3
37.31034,15.07429,3
37.31034,15.0744,3
37.31034,15.07451,3
37.31034,15.07463,3
37.31034,15.07474,3
37.31034,15.07486,3
37.31034,15.07497,3
37.31034,15.07508,3
37.31034,15.0752,3
37.31034,15.07531,3
37.31034,15.07542,3
37.31034,15.07554,3
37.31034,15.07565,3
37.31034,15.07577,3
37.31034,15.07588,3
37.31034,15.07599,3
37.31034,15.07611,3
37.31034,15.07622,3
37.31034,15.07633,3
37.31034,15.07645,3
37.31034,15.07656,3
37.31034,15.07668,3
37.31034,15.07679,3
37.31034,15.0769,3
37.31034,15.07702,3
37.31034,15.07713,3
37.31034,15.07724,3
37.31034,15.07736,3
37.31034,15.07747,3
37.31034,15.07758,3
37.31034,15.0777,3
37.31034,15.07781,3
37.31034,15.07793,3
37.31034,15.07804,3
37.31034,15.07815,3
37.31034,15.07827,3
37.31034,15.07838,3
37.31034,15.07849,3
37.31034,15.07861,3
37.31034,15.07872,3
37.31034,15.07884,3
37.31034,15.07895,3
37.31034,15.07906,3
37.31034,15.07918,3
37.31034,15.07929,3
37.31034,15.0794,3
37.31034,15.07952,3
37.31034,15.07963,3
37.31034,15.07975,3
37.31034,15.07986,3
37.31034,15.07997,3
37.31034,15.08009,3
37.31034,15.0802,3
37.31034,15.08031,3
37.31034,15.08043,3
37.31034,15.08054,3
37.31034,15.08065,3
37.31034,15.08077,3
37.31034,15.08088,3
37.31034,15.081,3
37.31034,15.08111,3
37.31034,15.08122,3
37.31034,15.08134,3
37.31034,15.08145,3
37.31034,15.08156,3
37.31034,15.08168,3
37.31034,15.08179,3
37.31034,15.08191,3
37.31034,15.08202,3
37.31034,15.08213,3
37.31034,15.08225,3
37.31034,15.08236,3
37.31034,15.08247,3
37.31034,15.08259,3
37.31034,15.0827,3
37.31034,15.08282,3
37.31034,15.08293,3
37.31034,15.08304,3
37.31034,15.08316,3
37.31034,15.08327,3
37.31034,15.08338,3
37.31034,15.0835,3
37.31034,15.08361,3
37.31034,15.08372,3
37.31034,15.08384,3
37.31034,15.08395,3
37.31034,15.08407,3
37.31034,15.08418,3
37.31034,15.08429,3
37.31034,15.08441,3
37.31034,15.08452,3
37.31034,15.08463,3
37.31034,15.08475,3
37.31034,15.08486,3
37.31034,15.08498,3
37.31034,15.08509,3
37.31034,15.0852,3
37.31034,15.08532,3
37.31034,15.08543,3
37.31034,15.08554,3
37.31034,15.08566,3
37.31034,15.08577,3
37.31034,15.08589,3
37.31034,15.086,3
37.31034,15.08611,3
37.31034,15.08623,3
37.31034,15.08634,3
37.31034,15.08645,3
37.31034,15.08657,3
37.31034,15.08668,3
37.31034,15.08679,3
37.31034,15.08691,3
37.31034,15.08702,3
37.31034,15.08714,3
37.31034,15.08725,3
37.31034,15.08736,3
37.31034,15.08748,3
37.31034,15.08759,3
37.31034,15.0877,3
37.31034,15.08782,3
37.31034,15.08793,3
37.31034,15.08805,3
37.31034,15.08816,3
37.31034,15.08827,3
37.31034,15.08839,3
37.31034,15.0885,3
37.31034,15.08861,3
37.31034,15.08873,3
37.31034,15.08884,3
37.31034,15.08896,3
37.31034,15.08907,3
37.31034,15.08918,3
37.31034,15.0893,3
37.31034,15.08941,3
37.31034,15.08952,3
37.31034,15.08964,3
37.31034,15.08975,3
37.31034,15.08986,3
37.31034,15.08998,3
37.31034,15.09009,3
37.31034,15.09021,3
37.31034,15.09032,3
37.31034,15.09043,3
37.31034,15.09055,3
37.31034,15.09066,3
37.31034,15.09077,3
37.31034,15.09089,3
37.31034,15.091,3
37.31034,15.09112,3
37.31034,15.09123,3
37.31034,15.09134,3
37.31034,15.09146,3
37.31034,15.09157,3
37.31034,15.09168,3
37.31034,15.0918,3
37.31034,15.09191,3
37.31034,15.09203,3
37.31034,15.09214,3
37.31034,15.09225,3
37.31034,15.09237,3
37.31034,15.09248,3
37.31034,15.09259,3
37.31034,15.09271,3
37.31034,15.09282,3
37.31034,15.09294,3
37.31034,15.09305,3
37.31034,15.09316,3
37.31034,15.09328,3
37.31034,15.09339,3
37.31034,15.0935,3
37.31034,15.09362,3
37.31034,15.09373,3
37.31034,15.09384,3
37.31034,15.09396,3
37.31034,15.09407,3
37.31034,15.09419,3
37.31034,15.0943,3
37.31034,15.09441,3
37.31034,15.09453,3
37.31034,15.09464,3
37.31034,15.09475,3
37.31034,15.09487,3
37.31034,15.09498,3
37.31034,15.0951,3
37.31034,15.09521,3
37.31034,15.09532,3
37.31034,15.09544,3
37.31034,15.09555,3
37.31034,15.09566,3
37.31034,15.09578,3
37.31034,15.09589,3
37.31034,15.09601,3
37.31034,15.09612,3
37.31034,15.09623,3
37.31034,15.09635,3
37.31034,15.09646,3
37.31034,15.09657,3
37.31034,15.09669,3
37.31034,15.0968,3
37.31034,15.09691,3
37.31034,15.09703,3
37.31034,15.09714,3
37.31034,15.09726,3
37.31034,15.09737,3
37.31034,15.09748,3
37.31034,15.0976,3
37.31034,15.09771,3
37.31034,15.09782,3
37.31034,15.09794,3
37.31034,15.09805,3
37.31034,15.09817,3
37.31034,15.09828,3
37.31034,15.09839,3
37.31034,15.09851,3
37.31034,15.09862,3
37.31034,15.09873,3
37.31034,15.09885,3
37.31034,15.09896,3
37.31034,15.09908,3
37.31034,15.09919,3
37.31034,15.0993,3
37.31034,15.09942,3
37.31034,15.09953,3
37.31034,15.09964,3
37.31034,15.09976,3
37.31034,15.09987,3
37.31034,15.09998,3
37.31034,15.1001,3
37.31034,15.10021,3
37.31034,15.10033,3
37.31034,15.10044,3
37.31034,15.10055,3
37.31034,15.10067,3
37.31034,15.10078,3
37.31034,15.10089,3
37.31034,15.10101,3
37.31034,15.10112,3
37.31034,15.10124,3
37.31034,15.10135,3
37.31034,15.10146,3
37.31034,15.10158,3
37.31034,15.10169,3
37.31034,15.1018,3
37.31034,15.10192,3
37.31034,15.10203,3
37.31034,15.10215,3
37.31034,15.10226,3
37.31034,15.10237,3
37.31034,15.10249,3
37.31034,15.1026,3
37.31034,15.10271,3
37.31034,15.10283,3
37.31034,15.10294,3
37.31034,15.10305,3
37.31034,15.10317,3
37.31034,15.10328,3
37.31034,15.1034,3
37.31034,15.10351,3
37.31034,15.10362,3
37.31034,15.10374,3
37.31034,15.10385,3
37.31034,15.10396,3
37.31034,15.10408,3
37.31034,15.10419,3
37.31034,15.10431,3
37.31034,15.10442,3
37.31034,15.10453,3
37.31034,15.10465,3
37.31034,15.10476,3
37.31034,15.10487,3
37.31034,15.10499,3
37.31034,15.1051,3
37.31034,15.10522,3
37.31034,15.10533,3
37.31034,15.10544,3
37.31034,15.10556,3
37.31034,15.10567,3
37.31034,15.10578,3
37.31034,15.1059,3
37.31034,15.10601,3
37.31034,15.10612,3
37.31034,15.10624,3
37.31034,15.10635,3
37.31034,15.10647,3
37.31034,15.10658,3
37.31034,15.10669,3
37.31034,15.10681,3
37.31034,15.10692,3
37.31034,15.11329,3
37.31034,15.1134,3
37.31034,15.11352,3
37.31034,15.11363,3
37.31034,15.11374,3
37.31034,15.11386,3
37.31034,15.11397,3
37.31034,15.11408,3
37.31034,15.1142,3
37.31034,15.11431,3
37.31034,15.11443,3
37.31034,15.11454,3
37.31034,15.11465,3
37.31034,15.11477,3
37.31034,15.11488,3
37.31034,15.11499,3
37.31034,15.11511,3
37.31034,15.11522,3
37.31034,15.11533,3
37.31034,15.11545,3
37.31034,15.11556,3
37.31034,15.11568,3
37.31034,15.11579,3
37.31034,15.1159,3
