,eid,eve_id,id,mean_prob
0,0,E01964N3926E02184N3685-PS-Str_PYes_Hom-M792_E02033N3761_S000,PS_manning003/E01964N3926E02184N3685-PS-Str_PYes_Hom-M792_E02033N3761_S000,8.044025980719022e-06
1,1,E02020N3739E02658N3366-PS-Str_PYes_Hom-M850_E02272N3440_S000,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M850_E02272N3440_S000,1.424721293201083e-07
2,2,E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02515N3431_S001,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02515N3431_S001,7.063590725773581e-09
3,3,E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02090N3619_S005,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02090N3619_S005,2.87054430475798e-08
4,4,E02020N3739E02658N3366-PS-Str_PYes_Hom-M774_E02076N3673_S000,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M774_E02076N3673_S000,1.2193333959257664e-06
5,5,E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02233N3624_S002,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02233N3624_S002,1.8913621717267352e-08
6,6,E02020N3739E02658N3366-PS-Str_PYes_Var-M754_E02309N3460_S000,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M754_E02309N3460_S000,1.3172027234045947e-06
7,7,E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02220N3597_S003,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02220N3597_S003,2.0218755469919842e-08
8,8,E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02156N3574_S004,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02156N3574_S004,2.8179384452012565e-08
9,9,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02229N3514_S005,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02229N3514_S005,6.856568140512544e-09
10,10,E01517N3917E01678N3772-PS-Str_PNo_Hom-M732_E01587N3805_S000,PS_manning003/E01517N3917E01678N3772-PS-Str_PNo_Hom-M732_E01587N3805_S000,1.4521011864510177e-05
11,11,E01548N3896E01854N3659-PS-Mur_PYes_Hom-M707_E01778N3834_S000,PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M707_E01778N3834_S000,1.7035789583832091e-06
12,12,E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02076N3673_S002,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02076N3673_S002,3.0853331020915594e-08
13,13,E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02220N3597_S005,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02220N3597_S005,3.110875655443902e-08
14,14,E02020N3739E02658N3366-PS-Str_PYes_Hom-M850_E02344N3478_S000,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M850_E02344N3478_S000,1.9717964067459174e-07
15,15,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M837_E02121N3611_S000,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M837_E02121N3611_S000,1.1034198048132153e-07
16,16,E01548N3896E01854N3659-PS-Mur_PYes_Hom-M774_E01755N3814_S000,PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M774_E01755N3814_S000,1.884692610229323e-07
17,17,E02113N3823E02873N3483-PS-Str_PNo_Hom-M774_E02148N3750_S000,PS_manning003/E02113N3823E02873N3483-PS-Str_PNo_Hom-M774_E02148N3750_S000,1.1219957949311518e-05
18,18,E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02134N3641_S004,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02134N3641_S004,7.314898346768627e-09
19,19,E01548N3896E01854N3659-PS-Str_PNo_Hom-M754_E01634N3808_S000,PS_manning003/E01548N3896E01854N3659-PS-Str_PNo_Hom-M754_E01634N3808_S000,3.057623774298517e-06
20,20,E02020N3739E02658N3366-PS-Mur_PYes_Var-M850_E02183N3593_S000,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M850_E02183N3593_S000,1.854496816997601e-07
21,21,E02020N3739E02658N3366-PS-Mur_PYes_Var-M895_E02277N3489_S002,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M895_E02277N3489_S002,7.902725316745727e-09
22,22,E02113N3823E02873N3483-PS-Str_PNo_Var-M871_E02293N3602_S002,PS_manning003/E02113N3823E02873N3483-PS-Str_PNo_Var-M871_E02293N3602_S002,5.7781957265295123e-08
23,23,E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02359N3451_S003,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02359N3451_S003,2.7870144965899632e-08
24,24,E02020N3739E02658N3366-PS-Str_PYes_Hom-M809_E02140N3614_S000,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M809_E02140N3614_S000,3.445824550765833e-07
25,25,E01548N3896E01854N3659-PS-Str_PYes_Var-M754_E01623N3797_S000,PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Var-M754_E01623N3797_S000,3.055092223076039e-06
26,26,E02020N3739E02658N3366-PS-Mur_PYes_Var-M809_E02297N3425_S000,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M809_E02297N3425_S000,1.3488016054708836e-07
27,27,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02253N3503_S002,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02253N3503_S002,6.845958278485367e-09
28,28,E02020N3739E02658N3366-PS-Mur_PYes_Var-M809_E02227N3634_S000,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M809_E02227N3634_S000,1.0614040568994442e-06
29,29,E02020N3739E02658N3366-PS-Mur_PYes_Var-M824_E02210N3510_S000,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M824_E02210N3510_S000,1.7768522091173377e-07
