eid,s0
0,8.044025980719022e-06
1,1.424721293201083e-07
2,7.063590725773581e-09
3,2.87054430475798e-08
4,1.2193333959257664e-06
5,1.8913621717267352e-08
6,1.3172027234045947e-06
7,2.0218755469919842e-08
8,2.8179384452012565e-08
9,6.856568140512544e-09
10,1.4521011864510177e-05
11,1.7035789583832091e-06
12,3.0853331020915594e-08
13,3.110875655443902e-08
14,1.9717964067459174e-07
15,1.1034198048132153e-07
16,1.884692610229323e-07
17,1.1219957949311518e-05
18,7.314898346768627e-09
19,3.057623774298517e-06
20,1.854496816997601e-07
21,7.902725316745727e-09
22,5.7781957265295123e-08
23,2.7870144965899632e-08
24,3.445824550765833e-07
25,3.055092223076039e-06
26,1.3488016054708836e-07
27,6.845958278485367e-09
28,1.0614040568994442e-06
29,1.7768522091173377e-07
30,2.7802888931330197e-08
31,5.133469851611971e-07
32,8.573216649950927e-06
33,2.3697023776803332e-08
34,2.9112198773681988e-08
35,2.4957290355441534e-08
36,2.00210584039469e-08
37,1.1434873187559245e-07
38,2.0242702943916945e-07
39,1.8910122294346124e-08
40,2.76393323902107e-08
41,2.2564726920867089e-07
42,2.7773939801532066e-08
43,3.365917730779072e-06
44,6.75453915602872e-07
45,8.051575854649505e-07
46,2.1492740295675082e-07
47,1.4708275285587673e-05
48,1.896632471529476e-08
49,1.8862748123471345e-08
50,1.828166781608177e-08
51,1.415920190559312e-07
52,2.9588914515760132e-08
53,2.794013836801066e-08
54,2.563378518919695e-09
55,6.469887829836834e-08
56,2.8747121160712506e-08
57,5.679695014228743e-09
58,9.723758611013488e-08
59,6.873406559406669e-09
60,6.646073817342086e-06
61,2.030162223456432e-07
62,1.3493981556941878e-07
63,2.809040752371548e-08
64,8.359462452540993e-08
65,2.6988438772908037e-09
66,1.2305581387467449e-05
67,2.1768590349572497e-07
68,3.246853328598778e-06
69,1.5677478481452318e-06
70,3.062162207326369e-08
71,2.155781228084532e-07
72,1.3139693033169596e-07
73,3.108221934189017e-08
74,4.868818178550847e-07
75,8.26660686048534e-08
76,1.3378305565241161e-08
77,2.562017312641401e-08
78,1.471533030251171e-07
79,4.731703123005821e-07
80,4.0911634497750016e-08
81,6.547735646407343e-06
82,8.75590639979713e-08
83,7.799009320084345e-09
84,6.764739074625674e-06
85,7.050509988604217e-09
86,2.6917608888761043e-08
