eid,p84
0,1.6887571926919e-05
1,3.54539877300996e-07
2,1.86984974060631e-08
3,4.147439175259559e-08
4,2.997253250575558e-06
5,1.9821961396905674e-08
6,1.97875346260168e-06
7,5.10708608e-08
8,4.081151322652388e-08
9,1.81512328951299e-08
10,2.378886921956744e-05
11,3.86491423883186e-06
12,4.407209565365911e-08
13,4.55954769061272e-08
14,4.94846625767406e-07
15,2.67857971014707e-07
16,4.3037872189093063e-07
17,1.5399247604530757e-05
18,1.97191193235591e-08
19,4.86550000000389e-06
20,4.63571621054222e-07
21,0.0
22,0.0
23,6.977369193304768e-08
24,8.69322033897644e-07
25,4.870766426597335e-06
26,1.7546701673055263e-07
27,1.80808451766819e-08
28,1.7708263092245136e-06
29,3.6844459878257e-07
30,7.050908785060229e-08
31,1.05301282051341e-06
32,1.64161270197582e-05
33,5.345856490445957e-08
34,4.18577319587813e-08
35,1.64338183917934e-08
36,5.01721624e-08
37,9.459971195673348e-08
38,4.965687834062016e-07
39,4.65076422e-08
40,3.956021830370294e-08
41,3.33511177907257e-07
42,6.949623916086112e-08
43,5.4626648219322e-06
44,1.41329973853037e-06
45,2.28327981985002e-06
46,2.8103608626659846e-07
47,3.0378263223654895e-05
48,4.63836838e-08
49,4.63062098e-08
50,1.963001693274275e-08
51,1.96384180790811e-07
52,5.342480884951866e-08
53,4.01882342079924e-08
54,1.4481126252098304e-09
55,1.24819140245072e-07
56,4.147439175259559e-08
57,1.4823044212020014e-09
58,1.3939144939983332e-07
59,1.83113649545991e-08
60,1.1384347559570266e-05
61,3.19425925925779e-07
62,3.3623188405824e-07
63,7.101457159420968e-08
64,2.052994379568278e-07
65,1.5332942045822146e-09
66,1.675078954774506e-05
67,5.40140055514393e-07
68,6.33099486170712e-06
69,2.4833725409527864e-06
70,4.397792836875581e-08
71,2.8337044928786893e-07
72,3.34460604801116e-08
73,4.52599313642772e-08
74,1.18406876790666e-06
75,2.04705882353064e-07
76,3.0346081354051006e-08
77,5.6840187403269e-08
78,2.0035736059373892e-07
79,1.0069765384616286e-06
80,2.70212328766999e-08
81,1.131761589958237e-05
82,1.66318706249306e-07
83,0.0
84,1.0316837575402216e-05
85,1.8671928312024588e-08
86,6.04782100203679e-08
87,1.91581661890851e-07
88,3.574521788936456e-08
89,5.59041237112564e-08
90,1.8642365470276424e-08
91,5.11793244e-08
92,1.4884822886536203e-09
93,6.977369193304768e-08
94,6.966303819478559e-08
95,7.153822432559047e-08
96,1.89282912e-08
97,3.864390769232568e-07
98,3.0235679999999994e-05
99,3.4862451422416552e-09
100,1.78503253987647e-08
101,4.282910696781314e-08
102,4.94846625767406e-07
103,3.94862000318133e-06
104,4.240130076928988e-08
105,4.282910696781314e-08
106,2.5876637071999993e-09
107,9.274868686859414e-09
108,5.091472535029677e-05
109,5.27133096e-08
110,2.7026053529673146e-09
111,5.36986209301945e-07
112,7.640698871181968e-08
113,4.96066022e-08
114,1.40854368932073e-05
115,5.04045844e-08
116,1.8574370934255656e-08
117,5.39064092e-08
118,1.86984974060631e-08
119,0.0
120,1.89282912e-08
121,7.164507670903237e-08
122,1.87600866597051e-08
123,3.91233259208589e-06
124,1.95340206185653e-08
125,1.48725623287381e-09
126,3.0357e-08
127,2.4261536465653365e-07
128,5.786598995081237e-06
129,5.44022428e-08
130,4.5005379612483367e-08
131,3.4074399554334237e-08
132,5.14349886e-08
133,5.051687290244937e-07
134,1.9897547809759665e-06
135,1.4603749695125656e-09
136,1.22504854368961e-07
137,5.078365418056589e-06
138,1.62934054072528e-08
139,5.38521774e-08
140,1.21009500030892e-05
141,3.52431289099429e-07
142,4.38743362831665e-08
143,4.52599313642772e-08
144,3.2892012854845415e-07
145,4.397366780427858e-08
146,3.50396895431582e-05
147,1.861964089875942e-05
148,1.18127431540236e-07
149,1.4844266262042027e-09
150,4.6825700064568834e-08
151,2.150836238221252e-05
152,5.56388349514697e-08
153,2.6699096684316663e-05
154,1.131761589958237e-05
155,1.89061411754847e-08
156,2.139651943442e-07
157,2.4796535895717555e-06
158,1.4525935511711582e-09
159,1.45893529506602e-07
160,1.85225281099431e-08
161,1.5038380889498351e-05
162,9.56685552407358e-07
163,4.268844276102541e-08
164,4.397792836875581e-08
165,8.758862098589213e-08
166,5.9228935199999464e-08
167,1.0447702679666532e-06
168,2.2945120361843498e-06
169,5.174244444448583e-07
170,2.699718760967315e-09
171,5.52210186449754e-07
172,1.91978939357155e-07
173,4.0828178694176e-08
174,1.2930879772607917e-05
175,2.88326923077085e-07
176,3.020478946560068e-08
177,2.11383559975963e-07
178,3.2865801151246895e-08
179,4.66700961945808e-07
180,2.5181514175999993e-09
181,2.3479697784020955e-09
182,1.49572409221198e-07
183,2.695388872967316e-09
184,8.623799086759223e-08
185,3.2669812428818894e-08
186,1.40854368932073e-05
187,2.7026053529673146e-09
188,4.8660469394232e-07
189,1.89576192e-08
190,1.03323871519927e-06
191,4.166862962039521e-08
192,4.4907762372483365e-08
193,4.220756525618172e-06
194,1.80833333333478e-07
195,5.0939155e-08
196,3.93523972694119e-08
197,4.9125655942081394e-05
198,3.1545234083790936e-05
199,1.84996521014475e-08
200,4.674796349007444e-08
201,4.98617230137831e-08
202,5.203755161695955e-07
203,0.0
204,1.80245350019235e-08
205,8.014978532102942e-06
206,8.06790123456419e-07
207,4.85529558e-08
208,2.8330678484204175e-07
209,3.164109423065231e-08
210,2.25857934720572e-06
211,1.6120922592238677e-07
212,4.4988913811132e-08
213,2.53737252673272e-06
214,6.718716577543e-07
215,4.96066022e-08
