POI,Lat,Lon,IDAG,n,distance,feature_x,feature_y,nearest_x,nearest_y
"1","37.5022","15.096","19087015000001342700","1",0.000000000000000,15.096000000000000,37.502200000000002,15.096000000000000,37.502200000000002
"2","37.48876","15.08936","19087015000001962900","1",0.001338577487970,15.089359999999999,37.488759999999999,15.088847212526456,37.489996462170176
"3","37.47193","15.07816","19087015000001669800","1",0.000899825116557,15.078160000000000,37.471930000000000,15.078942004612411,37.472375144950050
"4","37.46273","15.08527","19087015000001947900","1",0.000232497668508,15.085270000000000,37.462730000000001,15.085103542142896,37.462892317428739
"5","37.46252","15.08587","19087015000001960000","1",0.000557280428463,15.085870000000000,37.462519999999998,15.085344894882912,37.462333382498258
"6","37.45312","15.07874","19087015000001794600","1",0.000607997589750,15.078740000000000,37.453119999999998,15.078204331570728,37.453407611548833
"7","37.42821","15.08506","19087015000002227900","1",0.000748448125711,15.085060000000000,37.428210000000000,15.084313145905851,37.428258821705512
"8","37.40958","15.08075","19087015000002086800","1",0.000498772083504,15.080750000000000,37.409579999999998,15.080369746555496,37.409257229324091
"9","37.38595","15.08539","19087015000000183100","1",0.001586303054235,15.085390000000000,37.385950000000001,15.086715707748118,37.385078876388533
"10","37.35084","15.08575","19089006000000263400","1",0.000741100821087,15.085750000000001,37.350839999999998,15.085026303549258,37.350999668012442
"11","37.33049","15.07029","19089001000000035900","1",0.005269439830563,15.070290000000000,37.330489999999998,15.074570131188024,37.327416325791297
"12","37.40675","15.05037","19087015000002073100","1",0.004545543511375,15.050369999999999,37.406750000000002,15.051736724768608,37.411085208094278
