,Train_size,Depth,Site,True,Pred,Bias,Sigma
0,225,2.5,1,9.790820556949785e-06,2.1093948152635353e-05,1.1303127595685569e-05,2.115994154085426e-05
1,225,2.5,2,6.9633672609836665e-06,1.1862430218346881e-05,4.899062957363215e-06,1.605220043770361e-05
2,225,2.5,3,1.6397590145028309e-06,2.927226920753124e-06,1.2874679062502932e-06,2.689916451794532e-06
3,225,2.5,4,1.7544427594776545e-05,2.6038550683935322e-05,8.494123089158776e-06,4.638479529246866e-05
4,225,2.5,5,0.0001627210058078646,0.0002331164891996532,7.03954833917886e-05,0.00020652760446716805
5,225,2.5,6,4.980955713710995e-06,6.952402592092221e-06,1.971446878381226e-06,9.052739793459383e-06
6,225,2.5,7,2.0570886881830543e-05,3.5327237471795655e-05,1.4756350589965112e-05,3.837642636115962e-05
7,225,2.5,8,9.768929627346277e-07,1.1877644755042373e-06,2.1087151276960965e-07,1.941654943084865e-06
8,225,2.5,9,1.4935754808249986e-05,1.5497746636223477e-05,5.619918279734907e-07,1.0730694848276374e-05
9,225,2.5,10,1.585005364599623e-06,2.828960884994404e-06,1.243955520394781e-06,2.3456005745698374e-06
10,225,2.5,11,8.031347903566456e-07,9.181077070571072e-07,1.1497291670046159e-07,9.385879712295536e-07
11,225,2.5,12,2.2698084423608207e-08,1e-11,-2.2688084423608206e-08,0.0
12,529,2.5,1,9.790820556949785e-06,1.9748307248090364e-05,9.95748669114058e-06,1.2756128155594888e-05
13,529,2.5,2,6.9633672609836665e-06,9.737009920215062e-06,2.7736426592313957e-06,8.61593237261177e-06
14,529,2.5,3,1.6397590145028309e-06,2.132957485851289e-06,4.93198471348458e-07,2.7164657714331335e-06
15,529,2.5,4,1.7544427594776545e-05,2.4644658897316248e-05,7.100231302539703e-06,2.4495694008966203e-05
16,529,2.5,5,0.0001627210058078646,0.00020153343869404964,3.8812432886185035e-05,8.012586076475709e-05
17,529,2.5,6,4.980955713710995e-06,5.620222038190491e-06,6.392663244794954e-07,4.608123177541825e-06
18,529,2.5,7,2.0570886881830543e-05,2.4083392088358945e-05,3.5125052065284023e-06,2.6000005466813168e-05
19,529,2.5,8,9.768929627346277e-07,8.317455673175713e-07,-1.4514739541705634e-07,5.544446557520444e-07
20,529,2.5,9,1.4935754808249986e-05,1.4581736139650256e-05,-3.5401866859973054e-07,1.616645453355805e-05
21,529,2.5,10,1.585005364599623e-06,1.8543140665650686e-06,2.6930870196544563e-07,2.840527570164981e-06
22,529,2.5,11,8.031347903566456e-07,7.959188620095266e-07,-7.215928347119058e-09,6.984990742173113e-07
