timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2025/02/14 13:47:58.926, 0, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 13:47:58.927, 1, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 13:47:58.928, 2, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 13:47:58.929, 3, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 13:48:28.931, 0, NVIDIA A100 80GB PCIe, 2 %, 0 %, 2425 MiB, 81920 MiB
2025/02/14 13:48:28.932, 1, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 13:48:28.932, 2, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 13:48:28.933, 3, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 13:48:58.934, 0, NVIDIA A100 80GB PCIe, 37 %, 12 %, 23767 MiB, 81920 MiB
2025/02/14 13:48:58.935, 1, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 13:48:58.936, 2, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 13:48:58.937, 3, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 13:49:28.938, 0, NVIDIA A100 80GB PCIe, 44 %, 24 %, 27637 MiB, 81920 MiB
2025/02/14 13:49:28.939, 1, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 13:49:28.939, 2, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 13:49:28.940, 3, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 13:49:58.941, 0, NVIDIA A100 80GB PCIe, 59 %, 30 %, 27637 MiB, 81920 MiB
2025/02/14 13:49:58.942, 1, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 13:49:58.943, 2, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 13:49:58.943, 3, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 13:50:28.945, 0, NVIDIA A100 80GB PCIe, 37 %, 12 %, 27637 MiB, 81920 MiB
