,Train_size,Depth,Site,True,Pred,Bias,Sigma
0,225,2.5,1,9.790820556949785e-06,2.5772058368048587e-05,1.5981237811098804e-05,3.948265953900109e-05
1,225,2.5,2,6.9633672609836665e-06,9.153917701438238e-06,2.1905504404545717e-06,1.399487208538296e-05
2,225,2.5,3,1.6397590145028309e-06,2.729753489063115e-06,1.089994474560284e-06,2.8772446170892236e-06
3,225,2.5,4,1.7544427594776545e-05,1.7057058505867688e-05,-4.873690889088573e-07,3.3196769225052e-05
4,225,2.5,5,0.0001627210058078646,0.000188078141241509,2.5357135433644383e-05,0.00010613426371809762
5,225,2.5,6,4.980955713710995e-06,5.8185037714195605e-06,8.375480577085653e-07,6.278588721678726e-06
6,225,2.5,7,2.0570886881830543e-05,1.910735337119327e-05,-1.4635335106372723e-06,3.0882101074563494e-05
7,225,2.5,8,9.768929627346277e-07,1.3484684441919967e-06,3.7157548145736906e-07,3.902902622955829e-06
8,225,2.5,9,1.4935754808249986e-05,9.302599586021115e-06,-5.633155222228871e-06,7.938119536538343e-06
9,225,2.5,10,1.585005364599623e-06,1.8188893988835425e-06,2.3388403428391962e-07,3.7049627934888766e-06
10,225,2.5,11,8.031347903566456e-07,5.356456608013121e-07,-2.674891295553336e-07,8.897591878704477e-07
11,225,2.5,12,2.2698084423608207e-08,1e-11,-2.2688084423608206e-08,1.0122439012241585e-08
12,529,2.5,1,9.790820556949785e-06,1.8165538519849332e-05,8.374717962899547e-06,1.3267774730913855e-05
13,529,2.5,2,6.9633672609836665e-06,1.096357622227823e-05,4.000208961294564e-06,1.009048969020417e-05
14,529,2.5,3,1.6397590145028309e-06,2.335035271326892e-06,6.95276256824061e-07,3.612295144244169e-06
15,529,2.5,4,1.7544427594776545e-05,2.489947695968686e-05,7.3550493649103154e-06,2.6001669435512785e-05
16,529,2.5,5,0.0001627210058078646,0.0002051382701398489,4.2417264331984304e-05,9.834609237035905e-05
17,529,2.5,6,4.980955713710995e-06,6.2566928654801445e-06,1.2757371517691492e-06,5.33761113481808e-06
18,529,2.5,7,2.0570886881830543e-05,2.840589639770008e-05,7.835009515869536e-06,2.565863583057468e-05
19,529,2.5,8,9.768929627346277e-07,1.1424225252375397e-06,1.6552956250291207e-07,2.1697233161655924e-06
20,529,2.5,9,1.4935754808249986e-05,1.7858766781739775e-05,2.9230119734897883e-06,2.21870779740174e-05
21,529,2.5,10,1.585005364599623e-06,2.8160225965664343e-06,1.2310172319668113e-06,2.267889994791606e-06
22,529,2.5,11,8.031347903566456e-07,9.161229510799223e-07,1.1298816072327662e-07,7.219435144725807e-07
23,529,2.5,12,2.2698084423608207e-08,1e-11,-2.2688084423608206e-08,5.377122853926063e-08
24,892,2.5,1,9.790820556949785e-06,1.608744309837986e-05,6.296622541430075e-06,8.764486147918345e-06
