,Train_size,Depth,Site,True,Pred,Bias,Sigma
0,228,2.5,1,2.4456497292828046e-06,2.0699265081670238e-06,-3.7572322111578084e-07,2.5800973280340593e-06
1,228,2.5,2,8.375779829530438e-05,0.00011113068813890835,2.7372889843603975e-05,5.419044201048837e-05
2,228,2.5,3,9.213575713941165e-07,1.1975882762817473e-06,2.762307048876308e-07,1.0365614805782901e-06
3,228,2.5,4,5.316615684514291e-06,6.006792975436963e-06,6.901772909226723e-07,1.1116884754806268e-05
4,550,2.5,1,2.4456497292828046e-06,1.7659983072798648e-06,-6.796514220029398e-07,1.933071151082769e-06
5,550,2.5,2,8.375779829530438e-05,0.00010766195837406092,2.3904160078756545e-05,7.675456473411642e-05
6,550,2.5,3,9.213575713941165e-07,1.3351852156964152e-06,4.138276443022987e-07,9.797989913536553e-07
7,550,2.5,4,5.316615684514291e-06,5.4470889374309576e-06,1.304732529166665e-07,8.68129463061708e-06
8,961,2.5,1,2.4456497292828046e-06,2.1945198902407376e-06,-2.51129839042067e-07,1.9101262221117535e-06
9,961,2.5,2,8.375779829530438e-05,0.00011761536143819099,3.385756314288661e-05,6.909071876130707e-05
10,961,2.5,3,9.213575713941165e-07,1.233002081554439e-06,3.116445101603226e-07,9.738370168241244e-07
11,961,2.5,4,5.316615684514291e-06,8.361906178568896e-06,3.0452904940546047e-06,1.0507811604267319e-05
12,1773,2.5,1,2.4456497292828046e-06,2.8645998933482495e-06,4.1895016406544493e-07,1.959602168931674e-06
13,1773,2.5,2,8.375779829530438e-05,9.308539346469464e-05,9.327595169390267e-06,3.944638236576011e-05
14,1773,2.5,3,9.213575713941165e-07,1.2631697954282078e-06,3.418122240340913e-07,6.922355683257036e-07
15,1773,2.5,4,5.316615684514291e-06,6.087621303989609e-06,7.710056194753177e-07,3.7496739377065734e-06
16,3669,2.5,1,2.4456497292828046e-06,2.2506215012414985e-06,-1.9502822804130614e-07,9.953488578596742e-07
17,3669,2.5,2,8.375779829530438e-05,9.428157960831943e-05,1.0523781313015053e-05,3.2409788248999785e-05
18,3669,2.5,3,9.213575713941165e-07,1.1262724476620704e-06,2.049148762679539e-07,4.1072221328796637e-07
19,3669,2.5,4,5.316615684514291e-06,6.120011208725195e-06,8.033955242109037e-07,4.0358427264451545e-06
20,6941,2.5,1,2.4456497292828046e-06,2.4482854449785688e-06,2.6357156957641354e-09,8.097277197751947e-07
21,6941,2.5,2,8.375779829530438e-05,9.09201690484054e-05,7.162370753101028e-06,2.777258199605838e-05
22,6941,2.5,3,9.213575713941165e-07,1.1868243618653201e-06,2.6546679047120364e-07,3.8035505888999003e-07
23,6941,2.5,4,5.316615684514291e-06,5.763575938298328e-06,4.4696025378403725e-07,3.5002211155239454e-06
